Web Search Interest
France; 2004 - present

Interest over time
Week,Fun & Trivia
2010-05-02 - 2010-05-08,+75%
2010-05-09 - 2010-05-15,+96%
2010-05-16 - 2010-05-22,+75%
2010-05-23 - 2010-05-29,+82%
2010-05-30 - 2010-06-05,+68%
2010-06-06 - 2010-06-12,+68%
2010-06-13 - 2010-06-19,+75%
2010-06-20 - 2010-06-26,+82%
2010-06-27 - 2010-07-03,+86%
2010-07-04 - 2010-07-10,+82%
2010-07-11 - 2010-07-17,+89%
2010-07-18 - 2010-07-24,+79%
2010-07-25 - 2010-07-31,+82%
2010-08-01 - 2010-08-07,+89%
2010-08-08 - 2010-08-14,+89%
2010-08-15 - 2010-08-21,+104%
2010-08-22 - 2010-08-28,+93%
2010-08-29 - 2010-09-04,+79%
2010-09-05 - 2010-09-11,+64%
2010-09-12 - 2010-09-18,+46%
2010-09-19 - 2010-09-25,+57%
2010-09-26 - 2010-10-02,+57%
2010-10-03 - 2010-10-09,+61%
2010-10-10 - 2010-10-16,+75%
2010-10-17 - 2010-10-23,+71%
2010-10-24 - 2010-10-30,+107%
2010-10-31 - 2010-11-06,+96%
2010-11-07 - 2010-11-13,+89%
2010-11-14 - 2010-11-20,+75%
2010-11-21 - 2010-11-27,+75%
2010-11-28 - 2010-12-04,+82%
2010-12-05 - 2010-12-11,+89%
2010-12-12 - 2010-12-18,+104%
2010-12-19 - 2010-12-25,+157%
2010-12-26 - 2011-01-01,+139%
2011-01-02 - 2011-01-08,+75%
2011-01-09 - 2011-01-15,+79%
2011-01-16 - 2011-01-22,+79%
2011-01-23 - 2011-01-29,+82%
2011-01-30 - 2011-02-05,+82%
2011-02-06 - 2011-02-12,+82%
2011-02-13 - 2011-02-19,+93%
2011-02-20 - 2011-02-26,+96%
2011-02-27 - 2011-03-05,+100%
2011-03-06 - 2011-03-12,+82%
2011-03-13 - 2011-03-19,+71%
2011-03-20 - 2011-03-26,+71%
2011-03-27 - 2011-04-02,+71%
2011-04-03 - 2011-04-09,+71%
2011-04-10 - 2011-04-16,+75%
2011-04-17 - 2011-04-23,+89%
2011-04-24 - 2011-04-30,+104%
2011-05-01 - 2011-05-07,+79%
2011-05-08 - 2011-05-14,+64%
2011-05-15 - 2011-05-21,+68%
2011-05-22 - 2011-05-28,+61%
2011-05-29 - 2011-06-04,+79%
2011-06-05 - 2011-06-11,+64%
2011-06-12 - 2011-06-18,+71%
2011-06-19 - 2011-06-25,+71%
2011-06-26 - 2011-07-02,+75%
2011-07-03 - 2011-07-09,+71%
2011-07-10 - 2011-07-16,+79%
2011-07-17 - 2011-07-23,+75%
2011-07-24 - 2011-07-30,+79%
2011-07-31 - 2011-08-06,+86%
2011-08-07 - 2011-08-13,+86%
2011-08-14 - 2011-08-20,+89%
2011-08-21 - 2011-08-27,+93%
2011-08-28 - 2011-09-03,+93%
2011-09-04 - 2011-09-10,+54%
2011-09-11 - 2011-09-17,+46%
2011-09-18 - 2011-09-24,+54%
2011-09-25 - 2011-10-01,+50%
2011-10-02 - 2011-10-08,+46%
2011-10-09 - 2011-10-15,+46%
2011-10-16 - 2011-10-22,+54%
2011-10-23 - 2011-10-29,+96%
2011-10-30 - 2011-11-05,+82%
2011-11-06 - 2011-11-12,+71%
2011-11-13 - 2011-11-19,+61%
2011-11-20 - 2011-11-26,+64%
2011-11-27 - 2011-12-03,+64%
2011-12-04 - 2011-12-10,+71%
2011-12-11 - 2011-12-17,+89%
2011-12-18 - 2011-12-24,+132%
2011-12-25 - 2011-12-31,+104%
2012-01-01 - 2012-01-07,+64%
2012-01-08 - 2012-01-14,+57%
2012-01-15 - 2012-01-21,+61%
2012-01-22 - 2012-01-28,+64%
2012-01-29 - 2012-02-04,+64%
2012-02-05 - 2012-02-11,+64%
2012-02-12 - 2012-02-18,+79%
2012-02-19 - 2012-02-25,+79%
2012-02-26 - 2012-03-03,+79%
2012-03-04 - 2012-03-10,+64%
2012-03-11 - 2012-03-17,+57%
2012-03-18 - 2012-03-24,+54%
2012-03-25 - 2012-03-31,+46%
2012-04-01 - 2012-04-07,+54%
2012-04-08 - 2012-04-14,+68%
2012-04-15 - 2012-04-21,+68%
2012-04-22 - 2012-04-28,+68%
2012-04-29 - 2012-05-05,+61%
2012-05-06 - 2012-05-12,+57%
2012-05-13 - 2012-05-19,+68%
2012-05-20 - 2012-05-26,+46%
2012-05-27 - 2012-06-02,+50%
2012-06-03 - 2012-06-09,+46%
2012-06-10 - 2012-06-16,+50%
2012-06-17 - 2012-06-23,+50%
2012-06-24 - 2012-06-30,+57%
2012-07-01 - 2012-07-07,+61%
2012-07-08 - 2012-07-14,+57%
2012-07-15 - 2012-07-21,+50%
2012-07-22 - 2012-07-28,+50%
2012-07-29 - 2012-08-04,+61%
2012-08-05 - 2012-08-11,+54%
2012-08-12 - 2012-08-18,+57%
2012-08-19 - 2012-08-25,+57%
2012-08-26 - 2012-09-01,+61%
2012-09-02 - 2012-09-08,+39%
2012-09-09 - 2012-09-15,+25%
2012-09-16 - 2012-09-22,+25%
2012-09-23 - 2012-09-29,+32%
2012-09-30 - 2012-10-06,+25%
2012-10-07 - 2012-10-13,+25%
2012-10-14 - 2012-10-20,+25%
2012-10-21 - 2012-10-27,+36%
2012-10-28 - 2012-11-03,+75%
2012-11-04 - 2012-11-10,+71%
2012-11-11 - 2012-11-17,+36%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
jeux,100
bimbo,85
ma,85
ma bimbo,85
jeux de,70
jeux fille,50
jeux de fille,40
jeu,40
flash,30
quizz,20
stardoll,20
test,20
jeu fille,15
jeux gratuit,15
jeu de fille,15
quiz,15
qi,10
mabimbo,10
jeux filles,10
barbie,10



Rising searches
bimbo,Breakout
jeu de fille,Breakout
jeu fille,Breakout
jeux de fille,Breakout
jeux fille,Breakout
ma,Breakout
ma bimbo,Breakout
mabimbo,Breakout
stardoll,Breakout
jeux de,+1,350%



