Web Search Interest
United States; 2004 - present

Interest over time
Week,Fan Fiction
2009-11-01 - 2009-11-07,-31%
2009-11-08 - 2009-11-14,-35%
2009-11-15 - 2009-11-21,-35%
2009-11-22 - 2009-11-28,-30%
2009-11-29 - 2009-12-05,-36%
2009-12-06 - 2009-12-12,-35%
2009-12-13 - 2009-12-19,-34%
2009-12-20 - 2009-12-26,-27%
2009-12-27 - 2010-01-02,-27%
2010-01-03 - 2010-01-09,-36%
2010-01-10 - 2010-01-16,-36%
2010-01-17 - 2010-01-23,-36%
2010-01-24 - 2010-01-30,-36%
2010-01-31 - 2010-02-06,-37%
2010-02-07 - 2010-02-13,-37%
2010-02-14 - 2010-02-20,-36%
2010-02-21 - 2010-02-27,-40%
2010-02-28 - 2010-03-06,-38%
2010-03-07 - 2010-03-13,-35%
2010-03-14 - 2010-03-20,-38%
2010-03-21 - 2010-03-27,-38%
2010-03-28 - 2010-04-03,-34%
2010-04-04 - 2010-04-10,-35%
2010-04-11 - 2010-04-17,-36%
2010-04-18 - 2010-04-24,-38%
2010-04-25 - 2010-05-01,-36%
2010-05-02 - 2010-05-08,-35%
2010-05-09 - 2010-05-15,-35%
2010-05-16 - 2010-05-22,-34%
2010-05-23 - 2010-05-29,-37%
2010-05-30 - 2010-06-05,-34%
2010-06-06 - 2010-06-12,-37%
2010-06-13 - 2010-06-19,-34%
2010-06-20 - 2010-06-26,-33%
2010-06-27 - 2010-07-03,-30%
2010-07-04 - 2010-07-10,-28%
2010-07-11 - 2010-07-17,-29%
2010-07-18 - 2010-07-24,-31%
2010-07-25 - 2010-07-31,-31%
2010-08-01 - 2010-08-07,-31%
2010-08-08 - 2010-08-14,-29%
2010-08-15 - 2010-08-21,-31%
2010-08-22 - 2010-08-28,-31%
2010-08-29 - 2010-09-04,-31%
2010-09-05 - 2010-09-11,-27%
2010-09-12 - 2010-09-18,-34%
2010-09-19 - 2010-09-25,-30%
2010-09-26 - 2010-10-02,-29%
2010-10-03 - 2010-10-09,-33%
2010-10-10 - 2010-10-16,-29%
2010-10-17 - 2010-10-23,-31%
2010-10-24 - 2010-10-30,-35%
2010-10-31 - 2010-11-06,-33%
2010-11-07 - 2010-11-13,-31%
2010-11-14 - 2010-11-20,-30%
2010-11-21 - 2010-11-27,-27%
2010-11-28 - 2010-12-04,-30%
2010-12-05 - 2010-12-11,-31%
2010-12-12 - 2010-12-18,-30%
2010-12-19 - 2010-12-25,-26%
2010-12-26 - 2011-01-01,-23%
2011-01-02 - 2011-01-08,-28%
2011-01-09 - 2011-01-15,-29%
2011-01-16 - 2011-01-22,-30%
2011-01-23 - 2011-01-29,-31%
2011-01-30 - 2011-02-05,-30%
2011-02-06 - 2011-02-12,-33%
2011-02-13 - 2011-02-19,-31%
2011-02-20 - 2011-02-26,-31%
2011-02-27 - 2011-03-05,-34%
2011-03-06 - 2011-03-12,-34%
2011-03-13 - 2011-03-19,-34%
2011-03-20 - 2011-03-26,-30%
2011-03-27 - 2011-04-02,-30%
2011-04-03 - 2011-04-09,-29%
2011-04-10 - 2011-04-16,-29%
2011-04-17 - 2011-04-23,-29%
2011-04-24 - 2011-04-30,-27%
2011-05-01 - 2011-05-07,-31%
2011-05-08 - 2011-05-14,-29%
2011-05-15 - 2011-05-21,-29%
2011-05-22 - 2011-05-28,-31%
2011-05-29 - 2011-06-04,-24%
2011-06-05 - 2011-06-11,-29%
2011-06-12 - 2011-06-18,-27%
2011-06-19 - 2011-06-25,-27%
2011-06-26 - 2011-07-02,-24%
2011-07-03 - 2011-07-09,-21%
2011-07-10 - 2011-07-16,-19%
2011-07-17 - 2011-07-23,-20%
2011-07-24 - 2011-07-30,-22%
2011-07-31 - 2011-08-06,-20%
2011-08-07 - 2011-08-13,-20%
2011-08-14 - 2011-08-20,-23%
2011-08-21 - 2011-08-27,-24%
2011-08-28 - 2011-09-03,-28%
2011-09-04 - 2011-09-10,-23%
2011-09-11 - 2011-09-17,-26%
2011-09-18 - 2011-09-24,-29%
2011-09-25 - 2011-10-01,-26%
2011-10-02 - 2011-10-08,-30%
2011-10-09 - 2011-10-15,-29%
2011-10-16 - 2011-10-22,-28%
2011-10-23 - 2011-10-29,-28%
2011-10-30 - 2011-11-05,-24%
2011-11-06 - 2011-11-12,-20%
2011-11-13 - 2011-11-19,-24%
2011-11-20 - 2011-11-26,-23%
2011-11-27 - 2011-12-03,-29%
2011-12-04 - 2011-12-10,-30%
2011-12-11 - 2011-12-17,-30%
2011-12-18 - 2011-12-24,-23%
2011-12-25 - 2011-12-31,-17%
2012-01-01 - 2012-01-07,-19%
2012-01-08 - 2012-01-14,-22%
2012-01-15 - 2012-01-21,-16%
2012-01-22 - 2012-01-28,-26%
2012-01-29 - 2012-02-04,-26%
2012-02-05 - 2012-02-11,-29%
2012-02-12 - 2012-02-18,-29%
2012-02-19 - 2012-02-25,-24%
2012-02-26 - 2012-03-03,-27%
2012-03-04 - 2012-03-10,-30%
2012-03-11 - 2012-03-17,-27%
2012-03-18 - 2012-03-24,-27%
2012-03-25 - 2012-03-31,-27%
2012-04-01 - 2012-04-07,-23%
2012-04-08 - 2012-04-14,-22%
2012-04-15 - 2012-04-21,-24%
2012-04-22 - 2012-04-28,-24%
2012-04-29 - 2012-05-05,-24%
2012-05-06 - 2012-05-12,-21%
2012-05-13 - 2012-05-19,-24%
2012-05-20 - 2012-05-26,-21%
2012-05-27 - 2012-06-02,-14%
2012-06-03 - 2012-06-09,-17%
2012-06-10 - 2012-06-16,-15%
2012-06-17 - 2012-06-23,-16%
2012-06-24 - 2012-06-30,-14%
2012-07-01 - 2012-07-07,-9%
2012-07-08 - 2012-07-14,-13%
2012-07-15 - 2012-07-21,-12%
2012-07-22 - 2012-07-28,-16%
2012-07-29 - 2012-08-04,-16%
2012-08-05 - 2012-08-11,-16%
2012-08-12 - 2012-08-18,-15%
2012-08-19 - 2012-08-25,-14%
2012-08-26 - 2012-09-01,-23%
2012-09-02 - 2012-09-08,-22%
2012-09-09 - 2012-09-15,-23%
2012-09-16 - 2012-09-22,-21%
2012-09-23 - 2012-09-29,-24%
2012-09-30 - 2012-10-06,-23%
2012-10-07 - 2012-10-13,-23%
2012-10-14 - 2012-10-20,-23%
2012-10-21 - 2012-10-27,-23%
2012-10-28 - 2012-11-03,-24%
2012-11-04 - 2012-11-10,-26%
2012-11-11 - 2012-11-17,-21%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
fanfiction,100
fanfic,20
fan fiction,15
eragon,10
quizilla,10
ss,10
james patterson,5
aebn,5
fic,5
vampire diaries,5
each other,5
fanfiction harry potter,5
inheritance,5
inuyasha,5
air national guard,5
disgaea,5
fanfics,5
mcfarland,5
kinks,5
eragon book,5



Rising searches
vampire diaries,Breakout
teddy geiger,+950%
garrett hedlund,+700%
inheritance,+650%
eragon book,+450%
each other,+140%
eragon,+100%
aebn,+90%
ss,+80%
fanfiction,+70%



