Web Search Interest
Spain; 2004 - present

Interest over time
Week,Family-Oriented Games & Activities
2006-02-05 - 2006-02-11,+24%
2006-02-12 - 2006-02-18,+32%
2006-02-19 - 2006-02-25,+32%
2006-02-26 - 2006-03-04,+32%
2006-03-05 - 2006-03-11,+29%
2006-03-12 - 2006-03-18,+26%
2006-03-19 - 2006-03-25,+29%
2006-03-26 - 2006-04-01,+26%
2006-04-02 - 2006-04-08,+32%
2006-04-09 - 2006-04-15,+42%
2006-04-16 - 2006-04-22,+21%
2006-04-23 - 2006-04-29,+24%
2006-04-30 - 2006-05-06,+18%
2006-05-07 - 2006-05-13,+16%
2006-05-14 - 2006-05-20,+16%
2006-05-21 - 2006-05-27,+16%
2006-05-28 - 2006-06-03,+18%
2006-06-04 - 2006-06-10,+13%
2006-06-11 - 2006-06-17,+21%
2006-06-18 - 2006-06-24,+29%
2006-06-25 - 2006-07-01,+26%
2006-07-02 - 2006-07-08,+16%
2006-07-09 - 2006-07-15,+11%
2006-07-16 - 2006-07-22,+5%
2006-07-23 - 2006-07-29,+13%
2006-07-30 - 2006-08-05,+18%
2006-08-06 - 2006-08-12,+13%
2006-08-13 - 2006-08-19,+21%
2006-08-20 - 2006-08-26,+13%
2006-08-27 - 2006-09-02,+18%
2006-09-03 - 2006-09-09,+24%
2006-09-10 - 2006-09-16,+16%
2006-09-17 - 2006-09-23,+21%
2006-09-24 - 2006-09-30,+21%
2006-10-01 - 2006-10-07,+18%
2006-10-08 - 2006-10-14,+37%
2006-10-15 - 2006-10-21,+29%
2006-10-22 - 2006-10-28,+34%
2006-10-29 - 2006-11-04,+47%
2006-11-05 - 2006-11-11,+37%
2006-11-12 - 2006-11-18,+37%
2006-11-19 - 2006-11-25,+42%
2006-11-26 - 2006-12-02,+47%
2006-12-03 - 2006-12-09,+71%
2006-12-10 - 2006-12-16,+47%
2006-12-17 - 2006-12-23,+61%
2006-12-24 - 2006-12-30,+71%
2006-12-31 - 2007-01-06,+53%
2007-01-07 - 2007-01-13,+13%
2007-01-14 - 2007-01-20,+32%
2007-01-21 - 2007-01-27,+39%
2007-01-28 - 2007-02-03,+39%
2007-02-04 - 2007-02-10,+39%
2007-02-11 - 2007-02-17,+45%
2007-02-18 - 2007-02-24,+53%
2007-02-25 - 2007-03-03,+55%
2007-03-04 - 2007-03-10,+47%
2007-03-11 - 2007-03-17,+50%
2007-03-18 - 2007-03-24,+53%
2007-03-25 - 2007-03-31,+63%
2007-04-01 - 2007-04-07,+87%
2007-04-08 - 2007-04-14,+58%
2007-04-15 - 2007-04-21,+53%
2007-04-22 - 2007-04-28,+50%
2007-04-29 - 2007-05-05,+66%
2007-05-06 - 2007-05-12,+42%
2007-05-13 - 2007-05-19,+50%
2007-05-20 - 2007-05-26,+53%
2007-05-27 - 2007-06-02,+53%
2007-06-03 - 2007-06-09,+55%
2007-06-10 - 2007-06-16,+66%
2007-06-17 - 2007-06-23,+79%
2007-06-24 - 2007-06-30,+89%
2007-07-01 - 2007-07-07,+76%
2007-07-08 - 2007-07-14,+74%
2007-07-15 - 2007-07-21,+66%
2007-07-22 - 2007-07-28,+61%
2007-07-29 - 2007-08-04,+61%
2007-08-05 - 2007-08-11,+61%
2007-08-12 - 2007-08-18,+68%
2007-08-19 - 2007-08-25,+66%
2007-08-26 - 2007-09-01,+58%
2007-09-02 - 2007-09-08,+58%
2007-09-09 - 2007-09-15,+66%
2007-09-16 - 2007-09-22,+58%
2007-09-23 - 2007-09-29,+68%
2007-09-30 - 2007-10-06,+53%
2007-10-07 - 2007-10-13,+68%
2007-10-14 - 2007-10-20,+63%
2007-10-21 - 2007-10-27,+76%
2007-10-28 - 2007-11-03,+118%
2007-11-04 - 2007-11-10,+79%
2007-11-11 - 2007-11-17,+87%
2007-11-18 - 2007-11-24,+105%
2007-11-25 - 2007-12-01,+113%
2007-12-02 - 2007-12-08,+134%
2007-12-09 - 2007-12-15,+111%
2007-12-16 - 2007-12-22,+126%
2007-12-23 - 2007-12-29,+158%
2007-12-30 - 2008-01-05,+145%
2008-01-06 - 2008-01-12,+61%
2008-01-13 - 2008-01-19,+82%
2008-01-20 - 2008-01-26,+89%
2008-01-27 - 2008-02-02,+95%
2008-02-03 - 2008-02-09,+97%
2008-02-10 - 2008-02-16,+100%
2008-02-17 - 2008-02-23,+103%
2008-02-24 - 2008-03-01,+100%
2008-03-02 - 2008-03-08,+95%
2008-03-09 - 2008-03-15,+113%
2008-03-16 - 2008-03-22,+150%
2008-03-23 - 2008-03-29,+113%
2008-03-30 - 2008-04-05,+95%
2008-04-06 - 2008-04-12,+100%
2008-04-13 - 2008-04-19,+111%
2008-04-20 - 2008-04-26,+103%
2008-04-27 - 2008-05-03,+118%
2008-05-04 - 2008-05-10,+92%
2008-05-11 - 2008-05-17,+105%
2008-05-18 - 2008-05-24,+105%
2008-05-25 - 2008-05-31,+105%
2008-06-01 - 2008-06-07,+108%
2008-06-08 - 2008-06-14,+116%
2008-06-15 - 2008-06-21,+121%
2008-06-22 - 2008-06-28,+132%
2008-06-29 - 2008-07-05,+124%
2008-07-06 - 2008-07-12,+111%
2008-07-13 - 2008-07-19,+108%
2008-07-20 - 2008-07-26,+103%
2008-07-27 - 2008-08-02,+105%
2008-08-03 - 2008-08-09,+111%
2008-08-10 - 2008-08-16,+121%
2008-08-17 - 2008-08-23,+105%
2008-08-24 - 2008-08-30,+113%
2008-08-31 - 2008-09-06,+118%
2008-09-07 - 2008-09-13,+126%
2008-09-14 - 2008-09-20,+103%
2008-09-21 - 2008-09-27,+97%
2008-09-28 - 2008-10-04,+108%
2008-10-05 - 2008-10-11,+108%
2008-10-12 - 2008-10-18,+108%
2008-10-19 - 2008-10-25,+111%
2008-10-26 - 2008-11-01,+118%
2008-11-02 - 2008-11-08,+116%
2008-11-09 - 2008-11-15,+108%
2008-11-16 - 2008-11-22,+116%
2008-11-23 - 2008-11-29,+118%
2008-11-30 - 2008-12-06,+124%
2008-12-07 - 2008-12-13,+132%
2008-12-14 - 2008-12-20,+129%
2008-12-21 - 2008-12-27,+163%
2008-12-28 - 2009-01-03,+155%
2009-01-04 - 2009-01-10,+89%
2009-01-11 - 2009-01-17,+79%
2009-01-18 - 2009-01-24,+95%
2009-01-25 - 2009-01-31,+100%
2009-02-01 - 2009-02-07,+100%
2009-02-08 - 2009-02-14,+100%
2009-02-15 - 2009-02-21,+100%
2009-02-22 - 2009-02-28,+105%
2009-03-01 - 2009-03-07,+97%
2009-03-08 - 2009-03-14,+89%
2009-03-15 - 2009-03-21,+100%
2009-03-22 - 2009-03-28,+87%
2009-03-29 - 2009-04-04,+105%
2009-04-05 - 2009-04-11,+161%
2009-04-12 - 2009-04-18,+111%
2009-04-19 - 2009-04-25,+100%
2009-04-26 - 2009-05-02,+121%
2009-05-03 - 2009-05-09,+95%
2009-05-10 - 2009-05-16,+100%
2009-05-17 - 2009-05-23,+92%
2009-05-24 - 2009-05-30,+95%
2009-05-31 - 2009-06-06,+105%
2009-06-07 - 2009-06-13,+113%
2009-06-14 - 2009-06-20,+121%
2009-06-21 - 2009-06-27,+142%
2009-06-28 - 2009-07-04,+132%
2009-07-05 - 2009-07-11,+124%
2009-07-12 - 2009-07-18,+118%
2009-07-19 - 2009-07-25,+118%
2009-07-26 - 2009-08-01,+126%
2009-08-02 - 2009-08-08,+134%
2009-08-09 - 2009-08-15,+129%
2009-08-16 - 2009-08-22,+129%
2009-08-23 - 2009-08-29,+124%
2009-08-30 - 2009-09-05,+118%
2009-09-06 - 2009-09-12,+118%
2009-09-13 - 2009-09-19,+108%
2009-09-20 - 2009-09-26,+97%
2009-09-27 - 2009-10-03,+89%
2009-10-04 - 2009-10-10,+92%
2009-10-11 - 2009-10-17,+100%
2009-10-18 - 2009-10-24,+105%
2009-10-25 - 2009-10-31,+116%
2009-11-01 - 2009-11-07,+108%
2009-11-08 - 2009-11-14,+111%
2009-11-15 - 2009-11-21,+111%
2009-11-22 - 2009-11-28,+111%
2009-11-29 - 2009-12-05,+118%
2009-12-06 - 2009-12-12,+132%
2009-12-13 - 2009-12-19,+126%
2009-12-20 - 2009-12-26,+163%
2009-12-27 - 2010-01-02,+161%
2010-01-03 - 2010-01-09,+113%
2010-01-10 - 2010-01-16,+84%
2010-01-17 - 2010-01-23,+100%
2010-01-24 - 2010-01-30,+111%
2010-01-31 - 2010-02-06,+113%
2010-02-07 - 2010-02-13,+118%
2010-02-14 - 2010-02-20,+126%
2010-02-21 - 2010-02-27,+111%
2010-02-28 - 2010-03-06,+113%
2010-03-07 - 2010-03-13,+113%
2010-03-14 - 2010-03-20,+116%
2010-03-21 - 2010-03-27,+121%
2010-03-28 - 2010-04-03,+150%
2010-04-04 - 2010-04-10,+116%
2010-04-11 - 2010-04-17,+103%
2010-04-18 - 2010-04-24,+105%
2010-04-25 - 2010-05-01,+100%
2010-05-02 - 2010-05-08,+97%
2010-05-09 - 2010-05-15,+108%
2010-05-16 - 2010-05-22,+97%
2010-05-23 - 2010-05-29,+97%
2010-05-30 - 2010-06-05,+113%
2010-06-06 - 2010-06-12,+111%
2010-06-13 - 2010-06-19,+118%
2010-06-20 - 2010-06-26,+126%
2010-06-27 - 2010-07-03,+132%
2010-07-04 - 2010-07-10,+113%
2010-07-11 - 2010-07-17,+113%
2010-07-18 - 2010-07-24,+108%
2010-07-25 - 2010-07-31,+118%
2010-08-01 - 2010-08-07,+118%
2010-08-08 - 2010-08-14,+118%
2010-08-15 - 2010-08-21,+124%
2010-08-22 - 2010-08-28,+113%
2010-08-29 - 2010-09-04,+108%
2010-09-05 - 2010-09-11,+108%
2010-09-12 - 2010-09-18,+87%
2010-09-19 - 2010-09-25,+95%
2010-09-26 - 2010-10-02,+89%
2010-10-03 - 2010-10-09,+92%
2010-10-10 - 2010-10-16,+124%
2010-10-17 - 2010-10-23,+95%
2010-10-24 - 2010-10-30,+111%
2010-10-31 - 2010-11-06,+118%
2010-11-07 - 2010-11-13,+111%
2010-11-14 - 2010-11-20,+118%
2010-11-21 - 2010-11-27,+118%
2010-11-28 - 2010-12-04,+118%
2010-12-05 - 2010-12-11,+153%
2010-12-12 - 2010-12-18,+129%
2010-12-19 - 2010-12-25,+150%
2010-12-26 - 2011-01-01,+153%
2011-01-02 - 2011-01-08,+95%
2011-01-09 - 2011-01-15,+53%
2011-01-16 - 2011-01-22,+71%
2011-01-23 - 2011-01-29,+76%
2011-01-30 - 2011-02-05,+76%
2011-02-06 - 2011-02-12,+76%
2011-02-13 - 2011-02-19,+84%
2011-02-20 - 2011-02-26,+89%
2011-02-27 - 2011-03-05,+89%
2011-03-06 - 2011-03-12,+84%
2011-03-13 - 2011-03-19,+71%
2011-03-20 - 2011-03-26,+76%
2011-03-27 - 2011-04-02,+79%
2011-04-03 - 2011-04-09,+71%
2011-04-10 - 2011-04-16,+79%
2011-04-17 - 2011-04-23,+113%
2011-04-24 - 2011-04-30,+68%
2011-05-01 - 2011-05-07,+66%
2011-05-08 - 2011-05-14,+66%
2011-05-15 - 2011-05-21,+71%
2011-05-22 - 2011-05-28,+66%
2011-05-29 - 2011-06-04,+74%
2011-06-05 - 2011-06-11,+76%
2011-06-12 - 2011-06-18,+76%
2011-06-19 - 2011-06-25,+89%
2011-06-26 - 2011-07-02,+89%
2011-07-03 - 2011-07-09,+79%
2011-07-10 - 2011-07-16,+74%
2011-07-17 - 2011-07-23,+74%
2011-07-24 - 2011-07-30,+76%
2011-07-31 - 2011-08-06,+79%
2011-08-07 - 2011-08-13,+76%
2011-08-14 - 2011-08-20,+76%
2011-08-21 - 2011-08-27,+79%
2011-08-28 - 2011-09-03,+76%
2011-09-04 - 2011-09-10,+82%
2011-09-11 - 2011-09-17,+58%
2011-09-18 - 2011-09-24,+61%
2011-09-25 - 2011-10-01,+61%
2011-10-02 - 2011-10-08,+55%
2011-10-09 - 2011-10-15,+87%
2011-10-16 - 2011-10-22,+92%
2011-10-23 - 2011-10-29,+108%
2011-10-30 - 2011-11-05,+121%
2011-11-06 - 2011-11-12,+97%
2011-11-13 - 2011-11-19,+100%
2011-11-20 - 2011-11-26,+103%
2011-11-27 - 2011-12-03,+116%
2011-12-04 - 2011-12-10,+153%
2011-12-11 - 2011-12-17,+116%
2011-12-18 - 2011-12-24,+139%
2011-12-25 - 2011-12-31,+150%
2012-01-01 - 2012-01-07,+124%
2012-01-08 - 2012-01-14,+71%
2012-01-15 - 2012-01-21,+87%
2012-01-22 - 2012-01-28,+92%
2012-01-29 - 2012-02-04,+95%
2012-02-05 - 2012-02-11,+95%
2012-02-12 - 2012-02-18,+92%
2012-02-19 - 2012-02-25,+95%
2012-02-26 - 2012-03-03,+92%
2012-03-04 - 2012-03-10,+87%
2012-03-11 - 2012-03-17,+87%
2012-03-18 - 2012-03-24,+95%
2012-03-25 - 2012-03-31,+95%
2012-04-01 - 2012-04-07,+132%
2012-04-08 - 2012-04-14,+89%
2012-04-15 - 2012-04-21,+82%
2012-04-22 - 2012-04-28,+82%
2012-04-29 - 2012-05-05,+92%
2012-05-06 - 2012-05-12,+74%
2012-05-13 - 2012-05-19,+76%
2012-05-20 - 2012-05-26,+76%
2012-05-27 - 2012-06-02,+74%
2012-06-03 - 2012-06-09,+74%
2012-06-10 - 2012-06-16,+84%
2012-06-17 - 2012-06-23,+97%
2012-06-24 - 2012-06-30,+97%
2012-07-01 - 2012-07-07,+76%
2012-07-08 - 2012-07-14,+76%
2012-07-15 - 2012-07-21,+74%
2012-07-22 - 2012-07-28,+74%
2012-07-29 - 2012-08-04,+74%
2012-08-05 - 2012-08-11,+68%
2012-08-12 - 2012-08-18,+68%
2012-08-19 - 2012-08-25,+68%
2012-08-26 - 2012-09-01,+84%
2012-09-02 - 2012-09-08,+82%
2012-09-09 - 2012-09-15,+63%
2012-09-16 - 2012-09-22,+55%
2012-09-23 - 2012-09-29,+71%
2012-09-30 - 2012-10-06,+61%
2012-10-07 - 2012-10-13,+74%
2012-10-14 - 2012-10-20,+74%
2012-10-21 - 2012-10-27,+76%
2012-10-28 - 2012-11-03,+108%
2012-11-04 - 2012-11-10,+79%
2012-11-11 - 2012-11-17,+84%
2012-11-18 - 2012-11-24,+147%
2012-11-25 - 2012-12-01, 



Top searches
juegos,100
juegos juegos,100
juegos de,80
dibujos,30
niños,30
vestir,30
colorear,30
juegos vestir,30
juegos de vestir,25
para colorear,25
dibujos colorear,20
dibujos para colorear,15
juegos de cocina,15
juegos cocina,15
barbie,10
friv,10
juegos chicas,10
stardoll,10
juegos niños,10
barbie juegos,10



Rising searches
friv,Breakout
juegos cocina,Breakout
juegos de chicas,Breakout
juegos de cocina,Breakout
juegos de vestir,Breakout
juegos vestir,Breakout
stardoll,Breakout
vestir,+2,900%
juegos chicas,+1,800%
juegos de,+600%



