Web Search Interest
Spain; 2004 - present

Interest over time
Week,Online Journals & Personal Sites
2005-12-18 - 2005-12-24,+33%
2005-12-25 - 2005-12-31,+17%
2006-01-01 - 2006-01-07,+25%
2006-01-08 - 2006-01-14,+8%
2006-01-15 - 2006-01-21,+25%
2006-01-22 - 2006-01-28,+17%
2006-01-29 - 2006-02-04,+25%
2006-02-05 - 2006-02-11,+25%
2006-02-12 - 2006-02-18,+42%
2006-02-19 - 2006-02-25,+50%
2006-02-26 - 2006-03-04,+42%
2006-03-05 - 2006-03-11,+42%
2006-03-12 - 2006-03-18,+50%
2006-03-19 - 2006-03-25,+50%
2006-03-26 - 2006-04-01,+42%
2006-04-02 - 2006-04-08,+50%
2006-04-09 - 2006-04-15,+67%
2006-04-16 - 2006-04-22,+50%
2006-04-23 - 2006-04-29,+42%
2006-04-30 - 2006-05-06,+50%
2006-05-07 - 2006-05-13,+33%
2006-05-14 - 2006-05-20,+50%
2006-05-21 - 2006-05-27,+33%
2006-05-28 - 2006-06-03,+33%
2006-06-04 - 2006-06-10,+25%
2006-06-11 - 2006-06-17,+42%
2006-06-18 - 2006-06-24,+33%
2006-06-25 - 2006-07-01,+42%
2006-07-02 - 2006-07-08,+50%
2006-07-09 - 2006-07-15,+42%
2006-07-16 - 2006-07-22,+33%
2006-07-23 - 2006-07-29,+67%
2006-07-30 - 2006-08-05,+58%
2006-08-06 - 2006-08-12,+58%
2006-08-13 - 2006-08-19,+50%
2006-08-20 - 2006-08-26,+58%
2006-08-27 - 2006-09-02,+42%
2006-09-03 - 2006-09-09,+42%
2006-09-10 - 2006-09-16,+42%
2006-09-17 - 2006-09-23,+42%
2006-09-24 - 2006-09-30,+67%
2006-10-01 - 2006-10-07,+92%
2006-10-08 - 2006-10-14,+75%
2006-10-15 - 2006-10-21,+75%
2006-10-22 - 2006-10-28,+92%
2006-10-29 - 2006-11-04,+125%
2006-11-05 - 2006-11-11,+125%
2006-11-12 - 2006-11-18,+150%
2006-11-19 - 2006-11-25,+150%
2006-11-26 - 2006-12-02,+167%
2006-12-03 - 2006-12-09,+183%
2006-12-10 - 2006-12-16,+175%
2006-12-17 - 2006-12-23,+192%
2006-12-24 - 2006-12-30,+208%
2006-12-31 - 2007-01-06,+175%
2007-01-07 - 2007-01-13,+167%
2007-01-14 - 2007-01-20,+183%
2007-01-21 - 2007-01-27,+167%
2007-01-28 - 2007-02-03,+200%
2007-02-04 - 2007-02-10,+192%
2007-02-11 - 2007-02-17,+208%
2007-02-18 - 2007-02-24,+192%
2007-02-25 - 2007-03-03,+217%
2007-03-04 - 2007-03-10,+242%
2007-03-11 - 2007-03-17,+217%
2007-03-18 - 2007-03-24,+217%
2007-03-25 - 2007-03-31,+225%
2007-04-01 - 2007-04-07,+292%
2007-04-08 - 2007-04-14,+283%
2007-04-15 - 2007-04-21,+308%
2007-04-22 - 2007-04-28,+317%
2007-04-29 - 2007-05-05,+358%
2007-05-06 - 2007-05-12,+333%
2007-05-13 - 2007-05-19,+383%
2007-05-20 - 2007-05-26,+358%
2007-05-27 - 2007-06-02,+400%
2007-06-03 - 2007-06-09,+458%
2007-06-10 - 2007-06-16,+433%
2007-06-17 - 2007-06-23,+458%
2007-06-24 - 2007-06-30,+475%
2007-07-01 - 2007-07-07,+483%
2007-07-08 - 2007-07-14,+500%
2007-07-15 - 2007-07-21,+517%
2007-07-22 - 2007-07-28,+467%
2007-07-29 - 2007-08-04,+467%
2007-08-05 - 2007-08-11,+442%
2007-08-12 - 2007-08-18,+492%
2007-08-19 - 2007-08-25,+508%
2007-08-26 - 2007-09-01,+517%
2007-09-02 - 2007-09-08,+392%
2007-09-09 - 2007-09-15,+408%
2007-09-16 - 2007-09-22,+392%
2007-09-23 - 2007-09-29,+383%
2007-09-30 - 2007-10-06,+358%
2007-10-07 - 2007-10-13,+383%
2007-10-14 - 2007-10-20,+358%
2007-10-21 - 2007-10-27,+358%
2007-10-28 - 2007-11-03,+442%
2007-11-04 - 2007-11-10,+400%
2007-11-11 - 2007-11-17,+408%
2007-11-18 - 2007-11-24,+475%
2007-11-25 - 2007-12-01,+467%
2007-12-02 - 2007-12-08,+492%
2007-12-09 - 2007-12-15,+467%
2007-12-16 - 2007-12-22,+467%
2007-12-23 - 2007-12-29,+592%
2007-12-30 - 2008-01-05,+525%
2008-01-06 - 2008-01-12,+475%
2008-01-13 - 2008-01-19,+500%
2008-01-20 - 2008-01-26,+492%
2008-01-27 - 2008-02-02,+483%
2008-02-03 - 2008-02-09,+492%
2008-02-10 - 2008-02-16,+500%
2008-02-17 - 2008-02-23,+467%
2008-02-24 - 2008-03-01,+492%
2008-03-02 - 2008-03-08,+492%
2008-03-09 - 2008-03-15,+508%
2008-03-16 - 2008-03-22,+592%
2008-03-23 - 2008-03-29,+550%
2008-03-30 - 2008-04-05,+558%
2008-04-06 - 2008-04-12,+525%
2008-04-13 - 2008-04-19,+533%
2008-04-20 - 2008-04-26,+533%
2008-04-27 - 2008-05-03,+558%
2008-05-04 - 2008-05-10,+525%
2008-05-11 - 2008-05-17,+567%
2008-05-18 - 2008-05-24,+558%
2008-05-25 - 2008-05-31,+558%
2008-06-01 - 2008-06-07,+600%
2008-06-08 - 2008-06-14,+567%
2008-06-15 - 2008-06-21,+583%
2008-06-22 - 2008-06-28,+583%
2008-06-29 - 2008-07-05,+650%
2008-07-06 - 2008-07-12,+650%
2008-07-13 - 2008-07-19,+633%
2008-07-20 - 2008-07-26,+650%
2008-07-27 - 2008-08-02,+683%
2008-08-03 - 2008-08-09,+692%
2008-08-10 - 2008-08-16,+650%
2008-08-17 - 2008-08-23,+658%
2008-08-24 - 2008-08-30,+608%
2008-08-31 - 2008-09-06,+592%
2008-09-07 - 2008-09-13,+558%
2008-09-14 - 2008-09-20,+642%
2008-09-21 - 2008-09-27,+558%
2008-09-28 - 2008-10-04,+575%
2008-10-05 - 2008-10-11,+575%
2008-10-12 - 2008-10-18,+533%
2008-10-19 - 2008-10-25,+567%
2008-10-26 - 2008-11-01,+533%
2008-11-02 - 2008-11-08,+542%
2008-11-09 - 2008-11-15,+517%
2008-11-16 - 2008-11-22,+542%
2008-11-23 - 2008-11-29,+550%
2008-11-30 - 2008-12-06,+567%
2008-12-07 - 2008-12-13,+625%
2008-12-14 - 2008-12-20,+658%
2008-12-21 - 2008-12-27,+692%
2008-12-28 - 2009-01-03,+733%
2009-01-04 - 2009-01-10,+692%
2009-01-11 - 2009-01-17,+658%
2009-01-18 - 2009-01-24,+675%
2009-01-25 - 2009-01-31,+667%
2009-02-01 - 2009-02-07,+658%
2009-02-08 - 2009-02-14,+633%
2009-02-15 - 2009-02-21,+642%
2009-02-22 - 2009-02-28,+658%
2009-03-01 - 2009-03-07,+642%
2009-03-08 - 2009-03-14,+675%
2009-03-15 - 2009-03-21,+683%
2009-03-22 - 2009-03-28,+650%
2009-03-29 - 2009-04-04,+617%
2009-04-05 - 2009-04-11,+667%
2009-04-12 - 2009-04-18,+625%
2009-04-19 - 2009-04-25,+575%
2009-04-26 - 2009-05-02,+550%
2009-05-03 - 2009-05-09,+567%
2009-05-10 - 2009-05-16,+575%
2009-05-17 - 2009-05-23,+567%
2009-05-24 - 2009-05-30,+583%
2009-05-31 - 2009-06-06,+567%
2009-06-07 - 2009-06-13,+567%
2009-06-14 - 2009-06-20,+600%
2009-06-21 - 2009-06-27,+592%
2009-06-28 - 2009-07-04,+567%
2009-07-05 - 2009-07-11,+592%
2009-07-12 - 2009-07-18,+583%
2009-07-19 - 2009-07-25,+567%
2009-07-26 - 2009-08-01,+608%
2009-08-02 - 2009-08-08,+625%
2009-08-09 - 2009-08-15,+642%
2009-08-16 - 2009-08-22,+692%
2009-08-23 - 2009-08-29,+600%
2009-08-30 - 2009-09-05,+592%
2009-09-06 - 2009-09-12,+575%
2009-09-13 - 2009-09-19,+542%
2009-09-20 - 2009-09-26,+508%
2009-09-27 - 2009-10-03,+417%
2009-10-04 - 2009-10-10,+433%
2009-10-11 - 2009-10-17,+450%
2009-10-18 - 2009-10-24,+450%
2009-10-25 - 2009-10-31,+408%
2009-11-01 - 2009-11-07,+408%
2009-11-08 - 2009-11-14,+400%
2009-11-15 - 2009-11-21,+408%
2009-11-22 - 2009-11-28,+392%
2009-11-29 - 2009-12-05,+392%
2009-12-06 - 2009-12-12,+417%
2009-12-13 - 2009-12-19,+408%
2009-12-20 - 2009-12-26,+500%
2009-12-27 - 2010-01-02,+525%
2010-01-03 - 2010-01-09,+483%
2010-01-10 - 2010-01-16,+458%
2010-01-17 - 2010-01-23,+450%
2010-01-24 - 2010-01-30,+475%
2010-01-31 - 2010-02-06,+417%
2010-02-07 - 2010-02-13,+433%
2010-02-14 - 2010-02-20,+417%
2010-02-21 - 2010-02-27,+433%
2010-02-28 - 2010-03-06,+450%
2010-03-07 - 2010-03-13,+433%
2010-03-14 - 2010-03-20,+450%
2010-03-21 - 2010-03-27,+458%
2010-03-28 - 2010-04-03,+525%
2010-04-04 - 2010-04-10,+483%
2010-04-11 - 2010-04-17,+458%
2010-04-18 - 2010-04-24,+458%
2010-04-25 - 2010-05-01,+467%
2010-05-02 - 2010-05-08,+458%
2010-05-09 - 2010-05-15,+450%
2010-05-16 - 2010-05-22,+475%
2010-05-23 - 2010-05-29,+458%
2010-05-30 - 2010-06-05,+450%
2010-06-06 - 2010-06-12,+450%
2010-06-13 - 2010-06-19,+442%
2010-06-20 - 2010-06-26,+475%
2010-06-27 - 2010-07-03,+467%
2010-07-04 - 2010-07-10,+483%
2010-07-11 - 2010-07-17,+492%
2010-07-18 - 2010-07-24,+525%
2010-07-25 - 2010-07-31,+500%
2010-08-01 - 2010-08-07,+533%
2010-08-08 - 2010-08-14,+550%
2010-08-15 - 2010-08-21,+542%
2010-08-22 - 2010-08-28,+542%
2010-08-29 - 2010-09-04,+508%
2010-09-05 - 2010-09-11,+483%
2010-09-12 - 2010-09-18,+467%
2010-09-19 - 2010-09-25,+483%
2010-09-26 - 2010-10-02,+450%
2010-10-03 - 2010-10-09,+458%
2010-10-10 - 2010-10-16,+517%
2010-10-17 - 2010-10-23,+450%
2010-10-24 - 2010-10-30,+433%
2010-10-31 - 2010-11-06,+483%
2010-11-07 - 2010-11-13,+475%
2010-11-14 - 2010-11-20,+417%
2010-11-21 - 2010-11-27,+425%
2010-11-28 - 2010-12-04,+442%
2010-12-05 - 2010-12-11,+467%
2010-12-12 - 2010-12-18,+433%
2010-12-19 - 2010-12-25,+442%
2010-12-26 - 2011-01-01,+500%
2011-01-02 - 2011-01-08,+517%
2011-01-09 - 2011-01-15,+467%
2011-01-16 - 2011-01-22,+458%
2011-01-23 - 2011-01-29,+492%
2011-01-30 - 2011-02-05,+475%
2011-02-06 - 2011-02-12,+458%
2011-02-13 - 2011-02-19,+425%
2011-02-20 - 2011-02-26,+458%
2011-02-27 - 2011-03-05,+433%
2011-03-06 - 2011-03-12,+425%
2011-03-13 - 2011-03-19,+475%
2011-03-20 - 2011-03-26,+475%
2011-03-27 - 2011-04-02,+458%
2011-04-03 - 2011-04-09,+458%
2011-04-10 - 2011-04-16,+467%
2011-04-17 - 2011-04-23,+542%
2011-04-24 - 2011-04-30,+500%
2011-05-01 - 2011-05-07,+475%
2011-05-08 - 2011-05-14,+475%
2011-05-15 - 2011-05-21,+442%
2011-05-22 - 2011-05-28,+425%
2011-05-29 - 2011-06-04,+450%
2011-06-05 - 2011-06-11,+442%
2011-06-12 - 2011-06-18,+442%
2011-06-19 - 2011-06-25,+475%
2011-06-26 - 2011-07-02,+433%
2011-07-03 - 2011-07-09,+442%
2011-07-10 - 2011-07-16,+442%
2011-07-17 - 2011-07-23,+442%
2011-07-24 - 2011-07-30,+450%
2011-07-31 - 2011-08-06,+467%
2011-08-07 - 2011-08-13,+475%
2011-08-14 - 2011-08-20,+500%
2011-08-21 - 2011-08-27,+467%
2011-08-28 - 2011-09-03,+442%
2011-09-04 - 2011-09-10,+442%
2011-09-11 - 2011-09-17,+433%
2011-09-18 - 2011-09-24,+408%
2011-09-25 - 2011-10-01,+408%
2011-10-02 - 2011-10-08,+408%
2011-10-09 - 2011-10-15,+425%
2011-10-16 - 2011-10-22,+425%
2011-10-23 - 2011-10-29,+433%
2011-10-30 - 2011-11-05,+433%
2011-11-06 - 2011-11-12,+442%
2011-11-13 - 2011-11-19,+442%
2011-11-20 - 2011-11-26,+433%
2011-11-27 - 2011-12-03,+425%
2011-12-04 - 2011-12-10,+458%
2011-12-11 - 2011-12-17,+458%
2011-12-18 - 2011-12-24,+442%
2011-12-25 - 2011-12-31,+492%
2012-01-01 - 2012-01-07,+450%
2012-01-08 - 2012-01-14,+400%
2012-01-15 - 2012-01-21,+383%
2012-01-22 - 2012-01-28,+383%
2012-01-29 - 2012-02-04,+383%
2012-02-05 - 2012-02-11,+417%
2012-02-12 - 2012-02-18,+417%
2012-02-19 - 2012-02-25,+417%
2012-02-26 - 2012-03-03,+392%
2012-03-04 - 2012-03-10,+375%
2012-03-11 - 2012-03-17,+392%
2012-03-18 - 2012-03-24,+383%
2012-03-25 - 2012-03-31,+400%
2012-04-01 - 2012-04-07,+408%
2012-04-08 - 2012-04-14,+400%
2012-04-15 - 2012-04-21,+392%
2012-04-22 - 2012-04-28,+367%
2012-04-29 - 2012-05-05,+383%
2012-05-06 - 2012-05-12,+375%
2012-05-13 - 2012-05-19,+383%
2012-05-20 - 2012-05-26,+383%
2012-05-27 - 2012-06-02,+383%
2012-06-03 - 2012-06-09,+350%
2012-06-10 - 2012-06-16,+358%
2012-06-17 - 2012-06-23,+383%
2012-06-24 - 2012-06-30,+392%
2012-07-01 - 2012-07-07,+408%
2012-07-08 - 2012-07-14,+408%
2012-07-15 - 2012-07-21,+417%
2012-07-22 - 2012-07-28,+417%
2012-07-29 - 2012-08-04,+425%
2012-08-05 - 2012-08-11,+433%
2012-08-12 - 2012-08-18,+500%
2012-08-19 - 2012-08-25,+483%
2012-08-26 - 2012-09-01,+442%
2012-09-02 - 2012-09-08,+442%
2012-09-09 - 2012-09-15,+442%
2012-09-16 - 2012-09-22,+408%
2012-09-23 - 2012-09-29,+375%
2012-09-30 - 2012-10-06,+383%
2012-10-07 - 2012-10-13,+417%
2012-10-14 - 2012-10-20,+375%
2012-10-21 - 2012-10-27,+350%
2012-10-28 - 2012-11-03,+367%
2012-11-04 - 2012-11-10,+350%
2012-11-11 - 2012-11-17,+342%
2012-11-18 - 2012-11-24,+475%
2012-11-25 - 2012-12-01, 



Top searches
badoo,100
diari,5
el punt,0
punt diari,0
el punt diari,0
chiclana,0
diari sport,0
badoo.es,0
punt diari girona,0
el punt girona,0
diari de girona,0
diari menorca,0
menorca diario,0
lucie silvas,0
diari ara,0
bado,0
els pets,0
diari sabadell,0
betania,0
felicitari,0



Rising searches
bado,Breakout
badoo,Breakout
badoo.es,Breakout
diari ara,Breakout
erreway,Breakout
lucie silvas,Breakout



