Web Search Interest
Spain; 2004 - present

Interest over time
Week,Dating & Personals
2005-05-01 - 2005-05-07,-5%
2005-05-08 - 2005-05-14,-3%
2005-05-15 - 2005-05-21,+2%
2005-05-22 - 2005-05-28,+7%
2005-05-29 - 2005-06-04,+2%
2005-06-05 - 2005-06-11,+2%
2005-06-12 - 2005-06-18,+0%
2005-06-19 - 2005-06-25,+13%
2005-06-26 - 2005-07-02,+10%
2005-07-03 - 2005-07-09,+5%
2005-07-10 - 2005-07-16,+10%
2005-07-17 - 2005-07-23,+7%
2005-07-24 - 2005-07-30,+15%
2005-07-31 - 2005-08-06,+10%
2005-08-07 - 2005-08-13,+25%
2005-08-14 - 2005-08-20,+30%
2005-08-21 - 2005-08-27,+20%
2005-08-28 - 2005-09-03,+2%
2005-09-04 - 2005-09-10,+7%
2005-09-11 - 2005-09-17,+5%
2005-09-18 - 2005-09-24,+2%
2005-09-25 - 2005-10-01,+2%
2005-10-02 - 2005-10-08,+2%
2005-10-09 - 2005-10-15,+10%
2005-10-16 - 2005-10-22,+2%
2005-10-23 - 2005-10-29,+10%
2005-10-30 - 2005-11-05,+7%
2005-11-06 - 2005-11-12,+5%
2005-11-13 - 2005-11-19,+5%
2005-11-20 - 2005-11-26,+5%
2005-11-27 - 2005-12-03,+7%
2005-12-04 - 2005-12-10,+23%
2005-12-11 - 2005-12-17,+15%
2005-12-18 - 2005-12-24,+20%
2005-12-25 - 2005-12-31,+40%
2006-01-01 - 2006-01-07,+57%
2006-01-08 - 2006-01-14,+32%
2006-01-15 - 2006-01-21,+30%
2006-01-22 - 2006-01-28,+27%
2006-01-29 - 2006-02-04,+32%
2006-02-05 - 2006-02-11,+32%
2006-02-12 - 2006-02-18,+38%
2006-02-19 - 2006-02-25,+30%
2006-02-26 - 2006-03-04,+38%
2006-03-05 - 2006-03-11,+32%
2006-03-12 - 2006-03-18,+30%
2006-03-19 - 2006-03-25,+38%
2006-03-26 - 2006-04-01,+35%
2006-04-02 - 2006-04-08,+38%
2006-04-09 - 2006-04-15,+57%
2006-04-16 - 2006-04-22,+43%
2006-04-23 - 2006-04-29,+35%
2006-04-30 - 2006-05-06,+48%
2006-05-07 - 2006-05-13,+40%
2006-05-14 - 2006-05-20,+45%
2006-05-21 - 2006-05-27,+38%
2006-05-28 - 2006-06-03,+35%
2006-06-04 - 2006-06-10,+40%
2006-06-11 - 2006-06-17,+43%
2006-06-18 - 2006-06-24,+52%
2006-06-25 - 2006-07-01,+60%
2006-07-02 - 2006-07-08,+60%
2006-07-09 - 2006-07-15,+60%
2006-07-16 - 2006-07-22,+60%
2006-07-23 - 2006-07-29,+73%
2006-07-30 - 2006-08-05,+63%
2006-08-06 - 2006-08-12,+65%
2006-08-13 - 2006-08-19,+83%
2006-08-20 - 2006-08-26,+83%
2006-08-27 - 2006-09-02,+73%
2006-09-03 - 2006-09-09,+70%
2006-09-10 - 2006-09-16,+57%
2006-09-17 - 2006-09-23,+52%
2006-09-24 - 2006-09-30,+60%
2006-10-01 - 2006-10-07,+63%
2006-10-08 - 2006-10-14,+83%
2006-10-15 - 2006-10-21,+65%
2006-10-22 - 2006-10-28,+68%
2006-10-29 - 2006-11-04,+80%
2006-11-05 - 2006-11-11,+70%
2006-11-12 - 2006-11-18,+75%
2006-11-19 - 2006-11-25,+70%
2006-11-26 - 2006-12-02,+73%
2006-12-03 - 2006-12-09,+88%
2006-12-10 - 2006-12-16,+83%
2006-12-17 - 2006-12-23,+85%
2006-12-24 - 2006-12-30,+95%
2006-12-31 - 2007-01-06,+98%
2007-01-07 - 2007-01-13,+77%
2007-01-14 - 2007-01-20,+80%
2007-01-21 - 2007-01-27,+85%
2007-01-28 - 2007-02-03,+90%
2007-02-04 - 2007-02-10,+90%
2007-02-11 - 2007-02-17,+85%
2007-02-18 - 2007-02-24,+88%
2007-02-25 - 2007-03-03,+90%
2007-03-04 - 2007-03-10,+88%
2007-03-11 - 2007-03-17,+90%
2007-03-18 - 2007-03-24,+85%
2007-03-25 - 2007-03-31,+85%
2007-04-01 - 2007-04-07,+150%
2007-04-08 - 2007-04-14,+100%
2007-04-15 - 2007-04-21,+88%
2007-04-22 - 2007-04-28,+90%
2007-04-29 - 2007-05-05,+93%
2007-05-06 - 2007-05-12,+83%
2007-05-13 - 2007-05-19,+88%
2007-05-20 - 2007-05-26,+80%
2007-05-27 - 2007-06-02,+88%
2007-06-03 - 2007-06-09,+85%
2007-06-10 - 2007-06-16,+80%
2007-06-17 - 2007-06-23,+77%
2007-06-24 - 2007-06-30,+73%
2007-07-01 - 2007-07-07,+85%
2007-07-08 - 2007-07-14,+95%
2007-07-15 - 2007-07-21,+93%
2007-07-22 - 2007-07-28,+73%
2007-07-29 - 2007-08-04,+73%
2007-08-05 - 2007-08-11,+73%
2007-08-12 - 2007-08-18,+77%
2007-08-19 - 2007-08-25,+77%
2007-08-26 - 2007-09-01,+68%
2007-09-02 - 2007-09-08,+48%
2007-09-09 - 2007-09-15,+60%
2007-09-16 - 2007-09-22,+45%
2007-09-23 - 2007-09-29,+38%
2007-09-30 - 2007-10-06,+27%
2007-10-07 - 2007-10-13,+43%
2007-10-14 - 2007-10-20,+30%
2007-10-21 - 2007-10-27,+30%
2007-10-28 - 2007-11-03,+50%
2007-11-04 - 2007-11-10,+35%
2007-11-11 - 2007-11-17,+43%
2007-11-18 - 2007-11-24,+52%
2007-11-25 - 2007-12-01,+50%
2007-12-02 - 2007-12-08,+57%
2007-12-09 - 2007-12-15,+48%
2007-12-16 - 2007-12-22,+52%
2007-12-23 - 2007-12-29,+63%
2007-12-30 - 2008-01-05,+60%
2008-01-06 - 2008-01-12,+43%
2008-01-13 - 2008-01-19,+50%
2008-01-20 - 2008-01-26,+50%
2008-01-27 - 2008-02-02,+48%
2008-02-03 - 2008-02-09,+45%
2008-02-10 - 2008-02-16,+45%
2008-02-17 - 2008-02-23,+52%
2008-02-24 - 2008-03-01,+40%
2008-03-02 - 2008-03-08,+43%
2008-03-09 - 2008-03-15,+48%
2008-03-16 - 2008-03-22,+63%
2008-03-23 - 2008-03-29,+50%
2008-03-30 - 2008-04-05,+45%
2008-04-06 - 2008-04-12,+38%
2008-04-13 - 2008-04-19,+32%
2008-04-20 - 2008-04-26,+38%
2008-04-27 - 2008-05-03,+45%
2008-05-04 - 2008-05-10,+38%
2008-05-11 - 2008-05-17,+43%
2008-05-18 - 2008-05-24,+38%
2008-05-25 - 2008-05-31,+38%
2008-06-01 - 2008-06-07,+38%
2008-06-08 - 2008-06-14,+43%
2008-06-15 - 2008-06-21,+38%
2008-06-22 - 2008-06-28,+40%
2008-06-29 - 2008-07-05,+40%
2008-07-06 - 2008-07-12,+35%
2008-07-13 - 2008-07-19,+38%
2008-07-20 - 2008-07-26,+40%
2008-07-27 - 2008-08-02,+43%
2008-08-03 - 2008-08-09,+50%
2008-08-10 - 2008-08-16,+50%
2008-08-17 - 2008-08-23,+50%
2008-08-24 - 2008-08-30,+48%
2008-08-31 - 2008-09-06,+38%
2008-09-07 - 2008-09-13,+32%
2008-09-14 - 2008-09-20,+27%
2008-09-21 - 2008-09-27,+20%
2008-09-28 - 2008-10-04,+23%
2008-10-05 - 2008-10-11,+20%
2008-10-12 - 2008-10-18,+20%
2008-10-19 - 2008-10-25,+15%
2008-10-26 - 2008-11-01,+13%
2008-11-02 - 2008-11-08,+13%
2008-11-09 - 2008-11-15,+18%
2008-11-16 - 2008-11-22,+10%
2008-11-23 - 2008-11-29,+10%
2008-11-30 - 2008-12-06,+7%
2008-12-07 - 2008-12-13,+13%
2008-12-14 - 2008-12-20,+18%
2008-12-21 - 2008-12-27,+18%
2008-12-28 - 2009-01-03,+23%
2009-01-04 - 2009-01-10,+15%
2009-01-11 - 2009-01-17,+7%
2009-01-18 - 2009-01-24,+5%
2009-01-25 - 2009-01-31,+0%
2009-02-01 - 2009-02-07,+2%
2009-02-08 - 2009-02-14,+0%
2009-02-15 - 2009-02-21,-3%
2009-02-22 - 2009-02-28,-5%
2009-03-01 - 2009-03-07,-3%
2009-03-08 - 2009-03-14,+0%
2009-03-15 - 2009-03-21,-3%
2009-03-22 - 2009-03-28,-3%
2009-03-29 - 2009-04-04,-3%
2009-04-05 - 2009-04-11,+7%
2009-04-12 - 2009-04-18,+2%
2009-04-19 - 2009-04-25,+0%
2009-04-26 - 2009-05-02,-3%
2009-05-03 - 2009-05-09,-3%
2009-05-10 - 2009-05-16,-5%
2009-05-17 - 2009-05-23,-7%
2009-05-24 - 2009-05-30,-7%
2009-05-31 - 2009-06-06,-10%
2009-06-07 - 2009-06-13,-10%
2009-06-14 - 2009-06-20,-3%
2009-06-21 - 2009-06-27,-3%
2009-06-28 - 2009-07-04,-3%
2009-07-05 - 2009-07-11,-3%
2009-07-12 - 2009-07-18,-5%
2009-07-19 - 2009-07-25,-5%
2009-07-26 - 2009-08-01,+0%
2009-08-02 - 2009-08-08,+0%
2009-08-09 - 2009-08-15,+2%
2009-08-16 - 2009-08-22,+5%
2009-08-23 - 2009-08-29,+0%
2009-08-30 - 2009-09-05,-10%
2009-09-06 - 2009-09-12,-10%
2009-09-13 - 2009-09-19,-15%
2009-09-20 - 2009-09-26,-20%
2009-09-27 - 2009-10-03,-30%
2009-10-04 - 2009-10-10,-30%
2009-10-11 - 2009-10-17,-28%
2009-10-18 - 2009-10-24,-30%
2009-10-25 - 2009-10-31,-30%
2009-11-01 - 2009-11-07,-28%
2009-11-08 - 2009-11-14,-30%
2009-11-15 - 2009-11-21,-30%
2009-11-22 - 2009-11-28,-32%
2009-11-29 - 2009-12-05,-30%
2009-12-06 - 2009-12-12,-25%
2009-12-13 - 2009-12-19,-30%
2009-12-20 - 2009-12-26,-28%
2009-12-27 - 2010-01-02,-28%
2010-01-03 - 2010-01-09,-25%
2010-01-10 - 2010-01-16,-25%
2010-01-17 - 2010-01-23,-28%
2010-01-24 - 2010-01-30,-30%
2010-01-31 - 2010-02-06,-32%
2010-02-07 - 2010-02-13,-28%
2010-02-14 - 2010-02-20,-28%
2010-02-21 - 2010-02-27,-28%
2010-02-28 - 2010-03-06,-32%
2010-03-07 - 2010-03-13,-30%
2010-03-14 - 2010-03-20,-30%
2010-03-21 - 2010-03-27,-30%
2010-03-28 - 2010-04-03,-25%
2010-04-04 - 2010-04-10,-32%
2010-04-11 - 2010-04-17,-32%
2010-04-18 - 2010-04-24,-32%
2010-04-25 - 2010-05-01,-32%
2010-05-02 - 2010-05-08,-32%
2010-05-09 - 2010-05-15,-35%
2010-05-16 - 2010-05-22,-35%
2010-05-23 - 2010-05-29,-35%
2010-05-30 - 2010-06-05,-32%
2010-06-06 - 2010-06-12,-32%
2010-06-13 - 2010-06-19,-30%
2010-06-20 - 2010-06-26,-32%
2010-06-27 - 2010-07-03,-32%
2010-07-04 - 2010-07-10,-30%
2010-07-11 - 2010-07-17,-28%
2010-07-18 - 2010-07-24,-28%
2010-07-25 - 2010-07-31,-28%
2010-08-01 - 2010-08-07,-25%
2010-08-08 - 2010-08-14,-25%
2010-08-15 - 2010-08-21,-25%
2010-08-22 - 2010-08-28,-22%
2010-08-29 - 2010-09-04,-28%
2010-09-05 - 2010-09-11,-30%
2010-09-12 - 2010-09-18,-32%
2010-09-19 - 2010-09-25,-30%
2010-09-26 - 2010-10-02,-32%
2010-10-03 - 2010-10-09,-35%
2010-10-10 - 2010-10-16,-28%
2010-10-17 - 2010-10-23,-32%
2010-10-24 - 2010-10-30,-32%
2010-10-31 - 2010-11-06,-32%
2010-11-07 - 2010-11-13,-30%
2010-11-14 - 2010-11-20,-35%
2010-11-21 - 2010-11-27,-35%
2010-11-28 - 2010-12-04,-35%
2010-12-05 - 2010-12-11,-32%
2010-12-12 - 2010-12-18,-35%
2010-12-19 - 2010-12-25,-35%
2010-12-26 - 2011-01-01,-32%
2011-01-02 - 2011-01-08,-32%
2011-01-09 - 2011-01-15,-35%
2011-01-16 - 2011-01-22,-37%
2011-01-23 - 2011-01-29,-35%
2011-01-30 - 2011-02-05,-37%
2011-02-06 - 2011-02-12,-35%
2011-02-13 - 2011-02-19,-32%
2011-02-20 - 2011-02-26,-35%
2011-02-27 - 2011-03-05,-35%
2011-03-06 - 2011-03-12,-37%
2011-03-13 - 2011-03-19,-37%
2011-03-20 - 2011-03-26,-37%
2011-03-27 - 2011-04-02,-35%
2011-04-03 - 2011-04-09,-40%
2011-04-10 - 2011-04-16,-37%
2011-04-17 - 2011-04-23,-32%
2011-04-24 - 2011-04-30,-37%
2011-05-01 - 2011-05-07,-37%
2011-05-08 - 2011-05-14,-32%
2011-05-15 - 2011-05-21,-35%
2011-05-22 - 2011-05-28,-30%
2011-05-29 - 2011-06-04,-37%
2011-06-05 - 2011-06-11,-37%
2011-06-12 - 2011-06-18,-35%
2011-06-19 - 2011-06-25,-30%
2011-06-26 - 2011-07-02,-28%
2011-07-03 - 2011-07-09,-30%
2011-07-10 - 2011-07-16,-30%
2011-07-17 - 2011-07-23,-25%
2011-07-24 - 2011-07-30,-28%
2011-07-31 - 2011-08-06,-28%
2011-08-07 - 2011-08-13,-25%
2011-08-14 - 2011-08-20,-22%
2011-08-21 - 2011-08-27,-25%
2011-08-28 - 2011-09-03,-32%
2011-09-04 - 2011-09-10,-32%
2011-09-11 - 2011-09-17,-35%
2011-09-18 - 2011-09-24,-37%
2011-09-25 - 2011-10-01,-35%
2011-10-02 - 2011-10-08,-35%
2011-10-09 - 2011-10-15,-32%
2011-10-16 - 2011-10-22,-37%
2011-10-23 - 2011-10-29,-37%
2011-10-30 - 2011-11-05,-37%
2011-11-06 - 2011-11-12,-40%
2011-11-13 - 2011-11-19,-37%
2011-11-20 - 2011-11-26,-37%
2011-11-27 - 2011-12-03,-37%
2011-12-04 - 2011-12-10,-37%
2011-12-11 - 2011-12-17,-37%
2011-12-18 - 2011-12-24,-37%
2011-12-25 - 2011-12-31,-37%
2012-01-01 - 2012-01-07,-37%
2012-01-08 - 2012-01-14,-37%
2012-01-15 - 2012-01-21,-40%
2012-01-22 - 2012-01-28,-37%
2012-01-29 - 2012-02-04,-37%
2012-02-05 - 2012-02-11,-35%
2012-02-12 - 2012-02-18,-32%
2012-02-19 - 2012-02-25,-32%
2012-02-26 - 2012-03-03,-37%
2012-03-04 - 2012-03-10,-35%
2012-03-11 - 2012-03-17,-37%
2012-03-18 - 2012-03-24,-37%
2012-03-25 - 2012-03-31,-35%
2012-04-01 - 2012-04-07,-32%
2012-04-08 - 2012-04-14,-35%
2012-04-15 - 2012-04-21,-37%
2012-04-22 - 2012-04-28,-35%
2012-04-29 - 2012-05-05,-35%
2012-05-06 - 2012-05-12,-35%
2012-05-13 - 2012-05-19,-37%
2012-05-20 - 2012-05-26,-35%
2012-05-27 - 2012-06-02,-37%
2012-06-03 - 2012-06-09,-37%
2012-06-10 - 2012-06-16,-37%
2012-06-17 - 2012-06-23,-37%
2012-06-24 - 2012-06-30,-32%
2012-07-01 - 2012-07-07,-32%
2012-07-08 - 2012-07-14,-35%
2012-07-15 - 2012-07-21,-32%
2012-07-22 - 2012-07-28,-35%
2012-07-29 - 2012-08-04,-32%
2012-08-05 - 2012-08-11,-30%
2012-08-12 - 2012-08-18,-25%
2012-08-19 - 2012-08-25,-22%
2012-08-26 - 2012-09-01,-30%
2012-09-02 - 2012-09-08,-32%
2012-09-09 - 2012-09-15,-35%
2012-09-16 - 2012-09-22,-35%
2012-09-23 - 2012-09-29,-37%
2012-09-30 - 2012-10-06,-37%
2012-10-07 - 2012-10-13,-35%
2012-10-14 - 2012-10-20,-37%
2012-10-21 - 2012-10-27,-37%
2012-10-28 - 2012-11-03,-40%
2012-11-04 - 2012-11-10,-37%
2012-11-11 - 2012-11-17,-37%
2012-11-18 - 2012-11-24,-22%
2012-11-25 - 2012-12-01, 



Top searches
meetic,100
montañes,90
diario montañes,85
el diario,60
sexyono,60
el diario montañes,55
pareja,25
vota,20
vota mi,20
votamicuerpo,20
vota mi cuerpo,20
dating,15
singles,10
gentemessenger,5
women,5
rusas,5
affinity,5
diario montañes cantabria,5
eldiariomontanes,5
buscar pareja,5



Rising searches
sexyono,Breakout
vota,Breakout
vota mi,Breakout
vota mi cuerpo,Breakout
votamicuerpo,Breakout
dating,+350%
diario montañes,+70%
el diario montañes,+70%
montañes,+70%
el diario,+60%



