Web Search Interest
Spain; 2004 - present

Interest over time
Week,Virtual Worlds
2005-05-01 - 2005-05-07,+40%
2005-05-08 - 2005-05-14,+35%
2005-05-15 - 2005-05-21,+15%
2005-05-22 - 2005-05-28,+30%
2005-05-29 - 2005-06-04,+35%
2005-06-05 - 2005-06-11,+35%
2005-06-12 - 2005-06-18,+55%
2005-06-19 - 2005-06-25,+65%
2005-06-26 - 2005-07-02,+70%
2005-07-03 - 2005-07-09,+50%
2005-07-10 - 2005-07-16,+45%
2005-07-17 - 2005-07-23,+55%
2005-07-24 - 2005-07-30,+55%
2005-07-31 - 2005-08-06,+65%
2005-08-07 - 2005-08-13,+80%
2005-08-14 - 2005-08-20,+90%
2005-08-21 - 2005-08-27,+80%
2005-08-28 - 2005-09-03,+60%
2005-09-04 - 2005-09-10,+75%
2005-09-11 - 2005-09-17,+55%
2005-09-18 - 2005-09-24,+50%
2005-09-25 - 2005-10-01,+40%
2005-10-02 - 2005-10-08,+40%
2005-10-09 - 2005-10-15,+80%
2005-10-16 - 2005-10-22,+60%
2005-10-23 - 2005-10-29,+55%
2005-10-30 - 2005-11-05,+80%
2005-11-06 - 2005-11-12,+65%
2005-11-13 - 2005-11-19,+50%
2005-11-20 - 2005-11-26,+80%
2005-11-27 - 2005-12-03,+105%
2005-12-04 - 2005-12-10,+175%
2005-12-11 - 2005-12-17,+110%
2005-12-18 - 2005-12-24,+105%
2005-12-25 - 2005-12-31,+120%
2006-01-01 - 2006-01-07,+135%
2006-01-08 - 2006-01-14,+80%
2006-01-15 - 2006-01-21,+75%
2006-01-22 - 2006-01-28,+95%
2006-01-29 - 2006-02-04,+120%
2006-02-05 - 2006-02-11,+100%
2006-02-12 - 2006-02-18,+100%
2006-02-19 - 2006-02-25,+110%
2006-02-26 - 2006-03-04,+135%
2006-03-05 - 2006-03-11,+125%
2006-03-12 - 2006-03-18,+105%
2006-03-19 - 2006-03-25,+125%
2006-03-26 - 2006-04-01,+100%
2006-04-02 - 2006-04-08,+115%
2006-04-09 - 2006-04-15,+195%
2006-04-16 - 2006-04-22,+175%
2006-04-23 - 2006-04-29,+130%
2006-04-30 - 2006-05-06,+155%
2006-05-07 - 2006-05-13,+130%
2006-05-14 - 2006-05-20,+120%
2006-05-21 - 2006-05-27,+115%
2006-05-28 - 2006-06-03,+115%
2006-06-04 - 2006-06-10,+135%
2006-06-11 - 2006-06-17,+145%
2006-06-18 - 2006-06-24,+170%
2006-06-25 - 2006-07-01,+180%
2006-07-02 - 2006-07-08,+150%
2006-07-09 - 2006-07-15,+165%
2006-07-16 - 2006-07-22,+160%
2006-07-23 - 2006-07-29,+165%
2006-07-30 - 2006-08-05,+175%
2006-08-06 - 2006-08-12,+185%
2006-08-13 - 2006-08-19,+215%
2006-08-20 - 2006-08-26,+180%
2006-08-27 - 2006-09-02,+200%
2006-09-03 - 2006-09-09,+210%
2006-09-10 - 2006-09-16,+195%
2006-09-17 - 2006-09-23,+140%
2006-09-24 - 2006-09-30,+120%
2006-10-01 - 2006-10-07,+115%
2006-10-08 - 2006-10-14,+165%
2006-10-15 - 2006-10-21,+150%
2006-10-22 - 2006-10-28,+195%
2006-10-29 - 2006-11-04,+185%
2006-11-05 - 2006-11-11,+165%
2006-11-12 - 2006-11-18,+145%
2006-11-19 - 2006-11-25,+165%
2006-11-26 - 2006-12-02,+135%
2006-12-03 - 2006-12-09,+185%
2006-12-10 - 2006-12-16,+135%
2006-12-17 - 2006-12-23,+225%
2006-12-24 - 2006-12-30,+280%
2006-12-31 - 2007-01-06,+280%
2007-01-07 - 2007-01-13,+115%
2007-01-14 - 2007-01-20,+190%
2007-01-21 - 2007-01-27,+220%
2007-01-28 - 2007-02-03,+165%
2007-02-04 - 2007-02-10,+135%
2007-02-11 - 2007-02-17,+190%
2007-02-18 - 2007-02-24,+190%
2007-02-25 - 2007-03-03,+175%
2007-03-04 - 2007-03-10,+160%
2007-03-11 - 2007-03-17,+145%
2007-03-18 - 2007-03-24,+145%
2007-03-25 - 2007-03-31,+150%
2007-04-01 - 2007-04-07,+225%
2007-04-08 - 2007-04-14,+190%
2007-04-15 - 2007-04-21,+165%
2007-04-22 - 2007-04-28,+170%
2007-04-29 - 2007-05-05,+220%
2007-05-06 - 2007-05-12,+230%
2007-05-13 - 2007-05-19,+385%
2007-05-20 - 2007-05-26,+260%
2007-05-27 - 2007-06-02,+235%
2007-06-03 - 2007-06-09,+245%
2007-06-10 - 2007-06-16,+255%
2007-06-17 - 2007-06-23,+275%
2007-06-24 - 2007-06-30,+310%
2007-07-01 - 2007-07-07,+235%
2007-07-08 - 2007-07-14,+240%
2007-07-15 - 2007-07-21,+220%
2007-07-22 - 2007-07-28,+195%
2007-07-29 - 2007-08-04,+180%
2007-08-05 - 2007-08-11,+155%
2007-08-12 - 2007-08-18,+210%
2007-08-19 - 2007-08-25,+180%
2007-08-26 - 2007-09-01,+170%
2007-09-02 - 2007-09-08,+155%
2007-09-09 - 2007-09-15,+165%
2007-09-16 - 2007-09-22,+135%
2007-09-23 - 2007-09-29,+115%
2007-09-30 - 2007-10-06,+95%
2007-10-07 - 2007-10-13,+120%
2007-10-14 - 2007-10-20,+95%
2007-10-21 - 2007-10-27,+90%
2007-10-28 - 2007-11-03,+145%
2007-11-04 - 2007-11-10,+115%
2007-11-11 - 2007-11-17,+110%
2007-11-18 - 2007-11-24,+115%
2007-11-25 - 2007-12-01,+125%
2007-12-02 - 2007-12-08,+185%
2007-12-09 - 2007-12-15,+160%
2007-12-16 - 2007-12-22,+175%
2007-12-23 - 2007-12-29,+225%
2007-12-30 - 2008-01-05,+225%
2008-01-06 - 2008-01-12,+100%
2008-01-13 - 2008-01-19,+100%
2008-01-20 - 2008-01-26,+115%
2008-01-27 - 2008-02-02,+155%
2008-02-03 - 2008-02-09,+165%
2008-02-10 - 2008-02-16,+140%
2008-02-17 - 2008-02-23,+180%
2008-02-24 - 2008-03-01,+160%
2008-03-02 - 2008-03-08,+150%
2008-03-09 - 2008-03-15,+160%
2008-03-16 - 2008-03-22,+270%
2008-03-23 - 2008-03-29,+230%
2008-03-30 - 2008-04-05,+205%
2008-04-06 - 2008-04-12,+190%
2008-04-13 - 2008-04-19,+185%
2008-04-20 - 2008-04-26,+175%
2008-04-27 - 2008-05-03,+215%
2008-05-04 - 2008-05-10,+180%
2008-05-11 - 2008-05-17,+195%
2008-05-18 - 2008-05-24,+190%
2008-05-25 - 2008-05-31,+195%
2008-06-01 - 2008-06-07,+225%
2008-06-08 - 2008-06-14,+235%
2008-06-15 - 2008-06-21,+300%
2008-06-22 - 2008-06-28,+330%
2008-06-29 - 2008-07-05,+320%
2008-07-06 - 2008-07-12,+295%
2008-07-13 - 2008-07-19,+275%
2008-07-20 - 2008-07-26,+275%
2008-07-27 - 2008-08-02,+260%
2008-08-03 - 2008-08-09,+260%
2008-08-10 - 2008-08-16,+260%
2008-08-17 - 2008-08-23,+260%
2008-08-24 - 2008-08-30,+255%
2008-08-31 - 2008-09-06,+250%
2008-09-07 - 2008-09-13,+260%
2008-09-14 - 2008-09-20,+200%
2008-09-21 - 2008-09-27,+185%
2008-09-28 - 2008-10-04,+190%
2008-10-05 - 2008-10-11,+190%
2008-10-12 - 2008-10-18,+215%
2008-10-19 - 2008-10-25,+195%
2008-10-26 - 2008-11-01,+220%
2008-11-02 - 2008-11-08,+205%
2008-11-09 - 2008-11-15,+215%
2008-11-16 - 2008-11-22,+205%
2008-11-23 - 2008-11-29,+195%
2008-11-30 - 2008-12-06,+200%
2008-12-07 - 2008-12-13,+240%
2008-12-14 - 2008-12-20,+230%
2008-12-21 - 2008-12-27,+300%
2008-12-28 - 2009-01-03,+295%
2009-01-04 - 2009-01-10,+200%
2009-01-11 - 2009-01-17,+160%
2009-01-18 - 2009-01-24,+170%
2009-01-25 - 2009-01-31,+175%
2009-02-01 - 2009-02-07,+165%
2009-02-08 - 2009-02-14,+155%
2009-02-15 - 2009-02-21,+155%
2009-02-22 - 2009-02-28,+185%
2009-03-01 - 2009-03-07,+175%
2009-03-08 - 2009-03-14,+175%
2009-03-15 - 2009-03-21,+200%
2009-03-22 - 2009-03-28,+175%
2009-03-29 - 2009-04-04,+180%
2009-04-05 - 2009-04-11,+265%
2009-04-12 - 2009-04-18,+210%
2009-04-19 - 2009-04-25,+180%
2009-04-26 - 2009-05-02,+190%
2009-05-03 - 2009-05-09,+175%
2009-05-10 - 2009-05-16,+165%
2009-05-17 - 2009-05-23,+170%
2009-05-24 - 2009-05-30,+175%
2009-05-31 - 2009-06-06,+205%
2009-06-07 - 2009-06-13,+230%
2009-06-14 - 2009-06-20,+250%
2009-06-21 - 2009-06-27,+280%
2009-06-28 - 2009-07-04,+270%
2009-07-05 - 2009-07-11,+270%
2009-07-12 - 2009-07-18,+275%
2009-07-19 - 2009-07-25,+265%
2009-07-26 - 2009-08-01,+265%
2009-08-02 - 2009-08-08,+260%
2009-08-09 - 2009-08-15,+275%
2009-08-16 - 2009-08-22,+280%
2009-08-23 - 2009-08-29,+270%
2009-08-30 - 2009-09-05,+265%
2009-09-06 - 2009-09-12,+290%
2009-09-13 - 2009-09-19,+235%
2009-09-20 - 2009-09-26,+200%
2009-09-27 - 2009-10-03,+170%
2009-10-04 - 2009-10-10,+165%
2009-10-11 - 2009-10-17,+195%
2009-10-18 - 2009-10-24,+180%
2009-10-25 - 2009-10-31,+165%
2009-11-01 - 2009-11-07,+180%
2009-11-08 - 2009-11-14,+155%
2009-11-15 - 2009-11-21,+150%
2009-11-22 - 2009-11-28,+150%
2009-11-29 - 2009-12-05,+170%
2009-12-06 - 2009-12-12,+235%
2009-12-13 - 2009-12-19,+215%
2009-12-20 - 2009-12-26,+295%
2009-12-27 - 2010-01-02,+295%
2010-01-03 - 2010-01-09,+240%
2010-01-10 - 2010-01-16,+165%
2010-01-17 - 2010-01-23,+175%
2010-01-24 - 2010-01-30,+185%
2010-01-31 - 2010-02-06,+190%
2010-02-07 - 2010-02-13,+210%
2010-02-14 - 2010-02-20,+245%
2010-02-21 - 2010-02-27,+230%
2010-02-28 - 2010-03-06,+230%
2010-03-07 - 2010-03-13,+230%
2010-03-14 - 2010-03-20,+245%
2010-03-21 - 2010-03-27,+250%
2010-03-28 - 2010-04-03,+320%
2010-04-04 - 2010-04-10,+260%
2010-04-11 - 2010-04-17,+235%
2010-04-18 - 2010-04-24,+250%
2010-04-25 - 2010-05-01,+230%
2010-05-02 - 2010-05-08,+230%
2010-05-09 - 2010-05-15,+220%
2010-05-16 - 2010-05-22,+220%
2010-05-23 - 2010-05-29,+215%
2010-05-30 - 2010-06-05,+245%
2010-06-06 - 2010-06-12,+250%
2010-06-13 - 2010-06-19,+275%
2010-06-20 - 2010-06-26,+345%
2010-06-27 - 2010-07-03,+340%
2010-07-04 - 2010-07-10,+335%
2010-07-11 - 2010-07-17,+325%
2010-07-18 - 2010-07-24,+300%
2010-07-25 - 2010-07-31,+310%
2010-08-01 - 2010-08-07,+315%
2010-08-08 - 2010-08-14,+295%
2010-08-15 - 2010-08-21,+305%
2010-08-22 - 2010-08-28,+285%
2010-08-29 - 2010-09-04,+295%
2010-09-05 - 2010-09-11,+300%
2010-09-12 - 2010-09-18,+235%
2010-09-19 - 2010-09-25,+220%
2010-09-26 - 2010-10-02,+220%
2010-10-03 - 2010-10-09,+185%
2010-10-10 - 2010-10-16,+260%
2010-10-17 - 2010-10-23,+195%
2010-10-24 - 2010-10-30,+205%
2010-10-31 - 2010-11-06,+245%
2010-11-07 - 2010-11-13,+195%
2010-11-14 - 2010-11-20,+195%
2010-11-21 - 2010-11-27,+195%
2010-11-28 - 2010-12-04,+210%
2010-12-05 - 2010-12-11,+310%
2010-12-12 - 2010-12-18,+260%
2010-12-19 - 2010-12-25,+355%
2010-12-26 - 2011-01-01,+400%
2011-01-02 - 2011-01-08,+345%
2011-01-09 - 2011-01-15,+205%
2011-01-16 - 2011-01-22,+200%
2011-01-23 - 2011-01-29,+220%
2011-01-30 - 2011-02-05,+210%
2011-02-06 - 2011-02-12,+205%
2011-02-13 - 2011-02-19,+195%
2011-02-20 - 2011-02-26,+195%
2011-02-27 - 2011-03-05,+205%
2011-03-06 - 2011-03-12,+240%
2011-03-13 - 2011-03-19,+245%
2011-03-20 - 2011-03-26,+235%
2011-03-27 - 2011-04-02,+245%
2011-04-03 - 2011-04-09,+230%
2011-04-10 - 2011-04-16,+240%
2011-04-17 - 2011-04-23,+345%
2011-04-24 - 2011-04-30,+280%
2011-05-01 - 2011-05-07,+255%
2011-05-08 - 2011-05-14,+260%
2011-05-15 - 2011-05-21,+255%
2011-05-22 - 2011-05-28,+245%
2011-05-29 - 2011-06-04,+235%
2011-06-05 - 2011-06-11,+240%
2011-06-12 - 2011-06-18,+245%
2011-06-19 - 2011-06-25,+300%
2011-06-26 - 2011-07-02,+315%
2011-07-03 - 2011-07-09,+295%
2011-07-10 - 2011-07-16,+305%
2011-07-17 - 2011-07-23,+315%
2011-07-24 - 2011-07-30,+300%
2011-07-31 - 2011-08-06,+285%
2011-08-07 - 2011-08-13,+300%
2011-08-14 - 2011-08-20,+320%
2011-08-21 - 2011-08-27,+295%
2011-08-28 - 2011-09-03,+290%
2011-09-04 - 2011-09-10,+320%
2011-09-11 - 2011-09-17,+265%
2011-09-18 - 2011-09-24,+250%
2011-09-25 - 2011-10-01,+235%
2011-10-02 - 2011-10-08,+215%
2011-10-09 - 2011-10-15,+245%
2011-10-16 - 2011-10-22,+195%
2011-10-23 - 2011-10-29,+190%
2011-10-30 - 2011-11-05,+225%
2011-11-06 - 2011-11-12,+190%
2011-11-13 - 2011-11-19,+175%
2011-11-20 - 2011-11-26,+200%
2011-11-27 - 2011-12-03,+195%
2011-12-04 - 2011-12-10,+275%
2011-12-11 - 2011-12-17,+195%
2011-12-18 - 2011-12-24,+275%
2011-12-25 - 2011-12-31,+335%
2012-01-01 - 2012-01-07,+265%
2012-01-08 - 2012-01-14,+135%
2012-01-15 - 2012-01-21,+150%
2012-01-22 - 2012-01-28,+180%
2012-01-29 - 2012-02-04,+185%
2012-02-05 - 2012-02-11,+195%
2012-02-12 - 2012-02-18,+190%
2012-02-19 - 2012-02-25,+200%
2012-02-26 - 2012-03-03,+210%
2012-03-04 - 2012-03-10,+185%
2012-03-11 - 2012-03-17,+190%
2012-03-18 - 2012-03-24,+210%
2012-03-25 - 2012-03-31,+225%
2012-04-01 - 2012-04-07,+310%
2012-04-08 - 2012-04-14,+220%
2012-04-15 - 2012-04-21,+175%
2012-04-22 - 2012-04-28,+175%
2012-04-29 - 2012-05-05,+210%
2012-05-06 - 2012-05-12,+145%
2012-05-13 - 2012-05-19,+160%
2012-05-20 - 2012-05-26,+170%
2012-05-27 - 2012-06-02,+160%
2012-06-03 - 2012-06-09,+160%
2012-06-10 - 2012-06-16,+205%
2012-06-17 - 2012-06-23,+240%
2012-06-24 - 2012-06-30,+260%
2012-07-01 - 2012-07-07,+215%
2012-07-08 - 2012-07-14,+185%
2012-07-15 - 2012-07-21,+205%
2012-07-22 - 2012-07-28,+230%
2012-07-29 - 2012-08-04,+215%
2012-08-05 - 2012-08-11,+190%
2012-08-12 - 2012-08-18,+215%
2012-08-19 - 2012-08-25,+200%
2012-08-26 - 2012-09-01,+235%
2012-09-02 - 2012-09-08,+220%
2012-09-09 - 2012-09-15,+185%
2012-09-16 - 2012-09-22,+155%
2012-09-23 - 2012-09-29,+220%
2012-09-30 - 2012-10-06,+205%
2012-10-07 - 2012-10-13,+220%
2012-10-14 - 2012-10-20,+230%
2012-10-21 - 2012-10-27,+215%
2012-10-28 - 2012-11-03,+255%
2012-11-04 - 2012-11-10,+180%
2012-11-11 - 2012-11-17,+195%
2012-11-18 - 2012-11-24,+275%
2012-11-25 - 2012-12-01, 



Top searches
habbo,100
habbo habbo,100
club penguin,30
club,30
habbo hotel,5
second,5
second life,5
habo,0
imvu,0
habbohotel,0
habbo creditos,0
habbo fantasy,0
haboo,0
trucos habbo,0
habbo.es,0
habbo pvp,0
club penguin trucos,0
habbo paraiso,0
clubpenguin,0
boom bang,0



Rising searches
club,Breakout
club penguin,Breakout
habbo fantasy,Breakout
imvu,Breakout
second,Breakout
second life,Breakout
habbo,+130%
habbo habbo,+130%
habo,+40%



