Web Search Interest
Spain; 2004 - present

Interest over time
Week,Personal Aircraft
2005-05-01 - 2005-05-07,-7%
2005-05-08 - 2005-05-14,-18%
2005-05-15 - 2005-05-21,-30%
2005-05-22 - 2005-05-28,-27%
2005-05-29 - 2005-06-04,-27%
2005-06-05 - 2005-06-11,-25%
2005-06-12 - 2005-06-18,-20%
2005-06-19 - 2005-06-25,-20%
2005-06-26 - 2005-07-02,-17%
2005-07-03 - 2005-07-09,-21%
2005-07-10 - 2005-07-16,-30%
2005-07-17 - 2005-07-23,-25%
2005-07-24 - 2005-07-30,-23%
2005-07-31 - 2005-08-06,-1%
2005-08-07 - 2005-08-13,+21%
2005-08-14 - 2005-08-20,-4%
2005-08-21 - 2005-08-27,-10%
2005-08-28 - 2005-09-03,-17%
2005-09-04 - 2005-09-10,-23%
2005-09-11 - 2005-09-17,-23%
2005-09-18 - 2005-09-24,-24%
2005-09-25 - 2005-10-01,-28%
2005-10-02 - 2005-10-08,-32%
2005-10-09 - 2005-10-15,-32%
2005-10-16 - 2005-10-22,-37%
2005-10-23 - 2005-10-29,-38%
2005-10-30 - 2005-11-05,-27%
2005-11-06 - 2005-11-12,-24%
2005-11-13 - 2005-11-19,-37%
2005-11-20 - 2005-11-26,-38%
2005-11-27 - 2005-12-03,-27%
2005-12-04 - 2005-12-10,-24%
2005-12-11 - 2005-12-17,-39%
2005-12-18 - 2005-12-24,-41%
2005-12-25 - 2005-12-31,-39%
2006-01-01 - 2006-01-07,-34%
2006-01-08 - 2006-01-14,-37%
2006-01-15 - 2006-01-21,-37%
2006-01-22 - 2006-01-28,-30%
2006-01-29 - 2006-02-04,-30%
2006-02-05 - 2006-02-11,-32%
2006-02-12 - 2006-02-18,-41%
2006-02-19 - 2006-02-25,-44%
2006-02-26 - 2006-03-04,-28%
2006-03-05 - 2006-03-11,-41%
2006-03-12 - 2006-03-18,-35%
2006-03-19 - 2006-03-25,-41%
2006-03-26 - 2006-04-01,-46%
2006-04-02 - 2006-04-08,-32%
2006-04-09 - 2006-04-15,-32%
2006-04-16 - 2006-04-22,-34%
2006-04-23 - 2006-04-29,-42%
2006-04-30 - 2006-05-06,-31%
2006-05-07 - 2006-05-13,-28%
2006-05-14 - 2006-05-20,-37%
2006-05-21 - 2006-05-27,-35%
2006-05-28 - 2006-06-03,-35%
2006-06-04 - 2006-06-10,-38%
2006-06-11 - 2006-06-17,-35%
2006-06-18 - 2006-06-24,-31%
2006-06-25 - 2006-07-01,-42%
2006-07-02 - 2006-07-08,-39%
2006-07-09 - 2006-07-15,-37%
2006-07-16 - 2006-07-22,-35%
2006-07-23 - 2006-07-29,-21%
2006-07-30 - 2006-08-05,-35%
2006-08-06 - 2006-08-12,-37%
2006-08-13 - 2006-08-19,-35%
2006-08-20 - 2006-08-26,-27%
2006-08-27 - 2006-09-02,-38%
2006-09-03 - 2006-09-09,-39%
2006-09-10 - 2006-09-16,-35%
2006-09-17 - 2006-09-23,-39%
2006-09-24 - 2006-09-30,-44%
2006-10-01 - 2006-10-07,-41%
2006-10-08 - 2006-10-14,-38%
2006-10-15 - 2006-10-21,-41%
2006-10-22 - 2006-10-28,-49%
2006-10-29 - 2006-11-04,-41%
2006-11-05 - 2006-11-11,-42%
2006-11-12 - 2006-11-18,-41%
2006-11-19 - 2006-11-25,-37%
2006-11-26 - 2006-12-02,-32%
2006-12-03 - 2006-12-09,-44%
2006-12-10 - 2006-12-16,-41%
2006-12-17 - 2006-12-23,-45%
2006-12-24 - 2006-12-30,-52%
2006-12-31 - 2007-01-06,-39%
2007-01-07 - 2007-01-13,-35%
2007-01-14 - 2007-01-20,-32%
2007-01-21 - 2007-01-27,-32%
2007-01-28 - 2007-02-03,-37%
2007-02-04 - 2007-02-10,-37%
2007-02-11 - 2007-02-17,-44%
2007-02-18 - 2007-02-24,-41%
2007-02-25 - 2007-03-03,-38%
2007-03-04 - 2007-03-10,-34%
2007-03-11 - 2007-03-17,-44%
2007-03-18 - 2007-03-24,-41%
2007-03-25 - 2007-03-31,-35%
2007-04-01 - 2007-04-07,-39%
2007-04-08 - 2007-04-14,-45%
2007-04-15 - 2007-04-21,-46%
2007-04-22 - 2007-04-28,-39%
2007-04-29 - 2007-05-05,-39%
2007-05-06 - 2007-05-12,-37%
2007-05-13 - 2007-05-19,-42%
2007-05-20 - 2007-05-26,-41%
2007-05-27 - 2007-06-02,-41%
2007-06-03 - 2007-06-09,-35%
2007-06-10 - 2007-06-16,-38%
2007-06-17 - 2007-06-23,-45%
2007-06-24 - 2007-06-30,-39%
2007-07-01 - 2007-07-07,-39%
2007-07-08 - 2007-07-14,-34%
2007-07-15 - 2007-07-21,-35%
2007-07-22 - 2007-07-28,-38%
2007-07-29 - 2007-08-04,-32%
2007-08-05 - 2007-08-11,-39%
2007-08-12 - 2007-08-18,-37%
2007-08-19 - 2007-08-25,-41%
2007-08-26 - 2007-09-01,-42%
2007-09-02 - 2007-09-08,-48%
2007-09-09 - 2007-09-15,-41%
2007-09-16 - 2007-09-22,-45%
2007-09-23 - 2007-09-29,-42%
2007-09-30 - 2007-10-06,-46%
2007-10-07 - 2007-10-13,-49%
2007-10-14 - 2007-10-20,-45%
2007-10-21 - 2007-10-27,-54%
2007-10-28 - 2007-11-03,-45%
2007-11-04 - 2007-11-10,-41%
2007-11-11 - 2007-11-17,-44%
2007-11-18 - 2007-11-24,-45%
2007-11-25 - 2007-12-01,-45%
2007-12-02 - 2007-12-08,-46%
2007-12-09 - 2007-12-15,-45%
2007-12-16 - 2007-12-22,-51%
2007-12-23 - 2007-12-29,-48%
2007-12-30 - 2008-01-05,-38%
2008-01-06 - 2008-01-12,-44%
2008-01-13 - 2008-01-19,-41%
2008-01-20 - 2008-01-26,-46%
2008-01-27 - 2008-02-02,-45%
2008-02-03 - 2008-02-09,-39%
2008-02-10 - 2008-02-16,-46%
2008-02-17 - 2008-02-23,-45%
2008-02-24 - 2008-03-01,-49%
2008-03-02 - 2008-03-08,-44%
2008-03-09 - 2008-03-15,-46%
2008-03-16 - 2008-03-22,-44%
2008-03-23 - 2008-03-29,-46%
2008-03-30 - 2008-04-05,-38%
2008-04-06 - 2008-04-12,-45%
2008-04-13 - 2008-04-19,-41%
2008-04-20 - 2008-04-26,-45%
2008-04-27 - 2008-05-03,-44%
2008-05-04 - 2008-05-10,-42%
2008-05-11 - 2008-05-17,-42%
2008-05-18 - 2008-05-24,-44%
2008-05-25 - 2008-05-31,-41%
2008-06-01 - 2008-06-07,-44%
2008-06-08 - 2008-06-14,-42%
2008-06-15 - 2008-06-21,-41%
2008-06-22 - 2008-06-28,-38%
2008-06-29 - 2008-07-05,-30%
2008-07-06 - 2008-07-12,-35%
2008-07-13 - 2008-07-19,-32%
2008-07-20 - 2008-07-26,-30%
2008-07-27 - 2008-08-02,-32%
2008-08-03 - 2008-08-09,-28%
2008-08-10 - 2008-08-16,-44%
2008-08-17 - 2008-08-23,-23%
2008-08-24 - 2008-08-30,-27%
2008-08-31 - 2008-09-06,-27%
2008-09-07 - 2008-09-13,-41%
2008-09-14 - 2008-09-20,-37%
2008-09-21 - 2008-09-27,-37%
2008-09-28 - 2008-10-04,-34%
2008-10-05 - 2008-10-11,-38%
2008-10-12 - 2008-10-18,-37%
2008-10-19 - 2008-10-25,-44%
2008-10-26 - 2008-11-01,-42%
2008-11-02 - 2008-11-08,-38%
2008-11-09 - 2008-11-15,-44%
2008-11-16 - 2008-11-22,-46%
2008-11-23 - 2008-11-29,-37%
2008-11-30 - 2008-12-06,-35%
2008-12-07 - 2008-12-13,-35%
2008-12-14 - 2008-12-20,-41%
2008-12-21 - 2008-12-27,-41%
2008-12-28 - 2009-01-03,-39%
2009-01-04 - 2009-01-10,-38%
2009-01-11 - 2009-01-17,-34%
2009-01-18 - 2009-01-24,-41%
2009-01-25 - 2009-01-31,-35%
2009-02-01 - 2009-02-07,-41%
2009-02-08 - 2009-02-14,-30%
2009-02-15 - 2009-02-21,-34%
2009-02-22 - 2009-02-28,-38%
2009-03-01 - 2009-03-07,-44%
2009-03-08 - 2009-03-14,-44%
2009-03-15 - 2009-03-21,-41%
2009-03-22 - 2009-03-28,-41%
2009-03-29 - 2009-04-04,-15%
2009-04-05 - 2009-04-11,-4%
2009-04-12 - 2009-04-18,-17%
2009-04-19 - 2009-04-25,-18%
2009-04-26 - 2009-05-02,-13%
2009-05-03 - 2009-05-09,+0%
2009-05-10 - 2009-05-16,-11%
2009-05-17 - 2009-05-23,-17%
2009-05-24 - 2009-05-30,-10%
2009-05-31 - 2009-06-06,-1%
2009-06-07 - 2009-06-13,-10%
2009-06-14 - 2009-06-20,-13%
2009-06-21 - 2009-06-27,-6%
2009-06-28 - 2009-07-04,+15%
2009-07-05 - 2009-07-11,+4%
2009-07-12 - 2009-07-18,-4%
2009-07-19 - 2009-07-25,-6%
2009-07-26 - 2009-08-01,+8%
2009-08-02 - 2009-08-08,+6%
2009-08-09 - 2009-08-15,-3%
2009-08-16 - 2009-08-22,-3%
2009-08-23 - 2009-08-29,-8%
2009-08-30 - 2009-09-05,+6%
2009-09-06 - 2009-09-12,-1%
2009-09-13 - 2009-09-19,-6%
2009-09-20 - 2009-09-26,-15%
2009-09-27 - 2009-10-03,-7%
2009-10-04 - 2009-10-10,-14%
2009-10-11 - 2009-10-17,-17%
2009-10-18 - 2009-10-24,-18%
2009-10-25 - 2009-10-31,-7%
2009-11-01 - 2009-11-07,-3%
2009-11-08 - 2009-11-14,-17%
2009-11-15 - 2009-11-21,-13%
2009-11-22 - 2009-11-28,-14%
2009-11-29 - 2009-12-05,+3%
2009-12-06 - 2009-12-12,-4%
2009-12-13 - 2009-12-19,-7%
2009-12-20 - 2009-12-26,-6%
2009-12-27 - 2010-01-02,+8%
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-7%
2010-01-17 - 2010-01-23,-7%
2010-01-24 - 2010-01-30,+3%
2010-01-31 - 2010-02-06,+10%
2010-02-07 - 2010-02-13,-7%
2010-02-14 - 2010-02-20,-7%
2010-02-21 - 2010-02-27,-1%
2010-02-28 - 2010-03-06,+1%
2010-03-07 - 2010-03-13,-4%
2010-03-14 - 2010-03-20,-10%
2010-03-21 - 2010-03-27,-8%
2010-03-28 - 2010-04-03,+8%
2010-04-04 - 2010-04-10,+7%
2010-04-11 - 2010-04-17,-3%
2010-04-18 - 2010-04-24,-1%
2010-04-25 - 2010-05-01,+13%
2010-05-02 - 2010-05-08,+21%
2010-05-09 - 2010-05-15,+3%
2010-05-16 - 2010-05-22,+3%
2010-05-23 - 2010-05-29,-1%
2010-05-30 - 2010-06-05,+7%
2010-06-06 - 2010-06-12,+4%
2010-06-13 - 2010-06-19,-1%
2010-06-20 - 2010-06-26,+3%
2010-06-27 - 2010-07-03,+24%
2010-07-04 - 2010-07-10,+14%
2010-07-11 - 2010-07-17,+3%
2010-07-18 - 2010-07-24,-11%
2010-07-25 - 2010-07-31,-1%
2010-08-01 - 2010-08-07,+0%
2010-08-08 - 2010-08-14,-1%
2010-08-15 - 2010-08-21,-13%
2010-08-22 - 2010-08-28,-15%
2010-08-29 - 2010-09-04,+4%
2010-09-05 - 2010-09-11,-8%
2010-09-12 - 2010-09-18,-13%
2010-09-19 - 2010-09-25,-6%
2010-09-26 - 2010-10-02,+10%
2010-10-03 - 2010-10-09,+3%
2010-10-10 - 2010-10-16,-3%
2010-10-17 - 2010-10-23,-13%
2010-10-24 - 2010-10-30,-4%
2010-10-31 - 2010-11-06,+8%
2010-11-07 - 2010-11-13,+1%
2010-11-14 - 2010-11-20,-11%
2010-11-21 - 2010-11-27,-13%
2010-11-28 - 2010-12-04,+10%
2010-12-05 - 2010-12-11,-7%
2010-12-12 - 2010-12-18,-3%
2010-12-19 - 2010-12-25,-3%
2010-12-26 - 2011-01-01,+8%
2011-01-02 - 2011-01-08,+15%
2011-01-09 - 2011-01-15,+4%
2011-01-16 - 2011-01-22,-4%
2011-01-23 - 2011-01-29,+3%
2011-01-30 - 2011-02-05,+14%
2011-02-06 - 2011-02-12,+6%
2011-02-13 - 2011-02-19,-15%
2011-02-20 - 2011-02-26,-23%
2011-02-27 - 2011-03-05,-6%
2011-03-06 - 2011-03-12,-23%
2011-03-13 - 2011-03-19,-18%
2011-03-20 - 2011-03-26,-14%
2011-03-27 - 2011-04-02,+0%
2011-04-03 - 2011-04-09,-3%
2011-04-10 - 2011-04-16,-6%
2011-04-17 - 2011-04-23,-7%
2011-04-24 - 2011-04-30,+20%
2011-05-01 - 2011-05-07,+18%
2011-05-08 - 2011-05-14,-10%
2011-05-15 - 2011-05-21,-21%
2011-05-22 - 2011-05-28,-8%
2011-05-29 - 2011-06-04,+8%
2011-06-05 - 2011-06-11,+3%
2011-06-12 - 2011-06-18,-6%
2011-06-19 - 2011-06-25,+0%
2011-06-26 - 2011-07-02,+21%
2011-07-03 - 2011-07-09,+14%
2011-07-10 - 2011-07-16,+6%
2011-07-17 - 2011-07-23,+1%
2011-07-24 - 2011-07-30,+11%
2011-07-31 - 2011-08-06,+24%
2011-08-07 - 2011-08-13,+10%
2011-08-14 - 2011-08-20,+4%
2011-08-21 - 2011-08-27,+11%
2011-08-28 - 2011-09-03,+30%
2011-09-04 - 2011-09-10,+14%
2011-09-11 - 2011-09-17,+3%
2011-09-18 - 2011-09-24,-1%
2011-09-25 - 2011-10-01,+11%
2011-10-02 - 2011-10-08,+18%
2011-10-09 - 2011-10-15,-17%
2011-10-16 - 2011-10-22,-32%
2011-10-23 - 2011-10-29,-35%
2011-10-30 - 2011-11-05,-24%
2011-11-06 - 2011-11-12,-37%
2011-11-13 - 2011-11-19,-39%
2011-11-20 - 2011-11-26,-42%
2011-11-27 - 2011-12-03,-37%
2011-12-04 - 2011-12-10,-39%
2011-12-11 - 2011-12-17,-39%
2011-12-18 - 2011-12-24,-38%
2011-12-25 - 2011-12-31,-27%
2012-01-01 - 2012-01-07,-23%
2012-01-08 - 2012-01-14,-31%
2012-01-15 - 2012-01-21,-37%
2012-01-22 - 2012-01-28,-34%
2012-01-29 - 2012-02-04,-15%
2012-02-05 - 2012-02-11,-27%
2012-02-12 - 2012-02-18,-28%
2012-02-19 - 2012-02-25,-30%
2012-02-26 - 2012-03-03,-20%
2012-03-04 - 2012-03-10,-25%
2012-03-11 - 2012-03-17,-32%
2012-03-18 - 2012-03-24,-37%
2012-03-25 - 2012-03-31,-30%
2012-04-01 - 2012-04-07,-25%
2012-04-08 - 2012-04-14,-28%
2012-04-15 - 2012-04-21,-32%
2012-04-22 - 2012-04-28,-25%
2012-04-29 - 2012-05-05,-18%
2012-05-06 - 2012-05-12,-23%
2012-05-13 - 2012-05-19,-23%
2012-05-20 - 2012-05-26,-27%
2012-05-27 - 2012-06-02,-23%
2012-06-03 - 2012-06-09,-24%
2012-06-10 - 2012-06-16,-28%
2012-06-17 - 2012-06-23,-32%
2012-06-24 - 2012-06-30,-20%
2012-07-01 - 2012-07-07,-21%
2012-07-08 - 2012-07-14,-27%
2012-07-15 - 2012-07-21,-30%
2012-07-22 - 2012-07-28,-25%
2012-07-29 - 2012-08-04,-20%
2012-08-05 - 2012-08-11,-25%
2012-08-12 - 2012-08-18,-28%
2012-08-19 - 2012-08-25,-27%
2012-08-26 - 2012-09-01,-14%
2012-09-02 - 2012-09-08,-15%
2012-09-09 - 2012-09-15,-21%
2012-09-16 - 2012-09-22,-23%
2012-09-23 - 2012-09-29,-24%
2012-09-30 - 2012-10-06,-18%
2012-10-07 - 2012-10-13,-34%
2012-10-14 - 2012-10-20,-35%
2012-10-21 - 2012-10-27,-35%
2012-10-28 - 2012-11-03,-28%
2012-11-04 - 2012-11-10,-28%
2012-11-11 - 2012-11-17,-34%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
banesto particulares,100
santander particulares,65
parapente,25
titan,25
helsinki,25
bancaja particulares,25
banco santander particulares,25
banesnet,20
bsch particulares,20
aircraft,20
cessna,15
volare,15
airplanes,10
banesnet particulares,10
mosquito,10
bancaja proxima,10
bancaja proxima particulares,10
airliners,10
airplane,10
paramotor,10



Rising searches
banco santander particulares,Breakout
banesto particulares,Breakout
bsch particulares,Breakout
santander particulares,Breakout
banesnet,+600%
bancaja particulares,+550%
airplanes,+140%
titan,+60%



