Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Subcultures & Niche Interests
2009-04-12 - 2009-04-18,-30%
2009-04-19 - 2009-04-25,-32%
2009-04-26 - 2009-05-02,-32%
2009-05-03 - 2009-05-09,-44%
2009-05-10 - 2009-05-16,-39%
2009-05-17 - 2009-05-23,-39%
2009-05-24 - 2009-05-30,-36%
2009-05-31 - 2009-06-06,-44%
2009-06-07 - 2009-06-13,-34%
2009-06-14 - 2009-06-20,-35%
2009-06-21 - 2009-06-27,-38%
2009-06-28 - 2009-07-04,-37%
2009-07-05 - 2009-07-11,-40%
2009-07-12 - 2009-07-18,-39%
2009-07-19 - 2009-07-25,-42%
2009-07-26 - 2009-08-01,-42%
2009-08-02 - 2009-08-08,-39%
2009-08-09 - 2009-08-15,-37%
2009-08-16 - 2009-08-22,-34%
2009-08-23 - 2009-08-29,-38%
2009-08-30 - 2009-09-05,-42%
2009-09-06 - 2009-09-12,-40%
2009-09-13 - 2009-09-19,-41%
2009-09-20 - 2009-09-26,-41%
2009-09-27 - 2009-10-03,-35%
2009-10-04 - 2009-10-10,-37%
2009-10-11 - 2009-10-17,-40%
2009-10-18 - 2009-10-24,-37%
2009-10-25 - 2009-10-31,-32%
2009-11-01 - 2009-11-07,-42%
2009-11-08 - 2009-11-14,-35%
2009-11-15 - 2009-11-21,-39%
2009-11-22 - 2009-11-28,-34%
2009-11-29 - 2009-12-05,-24%
2009-12-06 - 2009-12-12,-33%
2009-12-13 - 2009-12-19,-38%
2009-12-20 - 2009-12-26,-27%
2009-12-27 - 2010-01-02,-27%
2010-01-03 - 2010-01-09,-41%
2010-01-10 - 2010-01-16,-40%
2010-01-17 - 2010-01-23,-44%
2010-01-24 - 2010-01-30,-40%
2010-01-31 - 2010-02-06,-36%
2010-02-07 - 2010-02-13,-33%
2010-02-14 - 2010-02-20,-29%
2010-02-21 - 2010-02-27,-31%
2010-02-28 - 2010-03-06,-26%
2010-03-07 - 2010-03-13,-28%
2010-03-14 - 2010-03-20,-33%
2010-03-21 - 2010-03-27,-28%
2010-03-28 - 2010-04-03,-24%
2010-04-04 - 2010-04-10,-26%
2010-04-11 - 2010-04-17,-27%
2010-04-18 - 2010-04-24,-32%
2010-04-25 - 2010-05-01,-23%
2010-05-02 - 2010-05-08,-27%
2010-05-09 - 2010-05-15,-35%
2010-05-16 - 2010-05-22,-27%
2010-05-23 - 2010-05-29,-29%
2010-05-30 - 2010-06-05,-34%
2010-06-06 - 2010-06-12,-32%
2010-06-13 - 2010-06-19,-27%
2010-06-20 - 2010-06-26,-36%
2010-06-27 - 2010-07-03,-32%
2010-07-04 - 2010-07-10,-26%
2010-07-11 - 2010-07-17,-33%
2010-07-18 - 2010-07-24,-32%
2010-07-25 - 2010-07-31,-35%
2010-08-01 - 2010-08-07,-38%
2010-08-08 - 2010-08-14,-33%
2010-08-15 - 2010-08-21,-32%
2010-08-22 - 2010-08-28,-33%
2010-08-29 - 2010-09-04,-36%
2010-09-05 - 2010-09-11,-40%
2010-09-12 - 2010-09-18,-34%
2010-09-19 - 2010-09-25,-37%
2010-09-26 - 2010-10-02,-34%
2010-10-03 - 2010-10-09,-39%
2010-10-10 - 2010-10-16,-34%
2010-10-17 - 2010-10-23,-43%
2010-10-24 - 2010-10-30,-44%
2010-10-31 - 2010-11-06,-42%
2010-11-07 - 2010-11-13,-41%
2010-11-14 - 2010-11-20,-41%
2010-11-21 - 2010-11-27,-45%
2010-11-28 - 2010-12-04,-38%
2010-12-05 - 2010-12-11,-38%
2010-12-12 - 2010-12-18,-37%
2010-12-19 - 2010-12-25,-39%
2010-12-26 - 2011-01-01,-34%
2011-01-02 - 2011-01-08,-36%
2011-01-09 - 2011-01-15,-34%
2011-01-16 - 2011-01-22,-31%
2011-01-23 - 2011-01-29,-39%
2011-01-30 - 2011-02-05,-35%
2011-02-06 - 2011-02-12,-33%
2011-02-13 - 2011-02-19,-33%
2011-02-20 - 2011-02-26,-41%
2011-02-27 - 2011-03-05,-33%
2011-03-06 - 2011-03-12,-32%
2011-03-13 - 2011-03-19,-38%
2011-03-20 - 2011-03-26,-34%
2011-03-27 - 2011-04-02,-31%
2011-04-03 - 2011-04-09,-28%
2011-04-10 - 2011-04-16,-28%
2011-04-17 - 2011-04-23,-29%
2011-04-24 - 2011-04-30,-27%
2011-05-01 - 2011-05-07,-32%
2011-05-08 - 2011-05-14,-26%
2011-05-15 - 2011-05-21,-35%
2011-05-22 - 2011-05-28,-23%
2011-05-29 - 2011-06-04,-29%
2011-06-05 - 2011-06-11,-31%
2011-06-12 - 2011-06-18,-35%
2011-06-19 - 2011-06-25,-33%
2011-06-26 - 2011-07-02,-30%
2011-07-03 - 2011-07-09,-30%
2011-07-10 - 2011-07-16,-31%
2011-07-17 - 2011-07-23,-29%
2011-07-24 - 2011-07-30,-29%
2011-07-31 - 2011-08-06,-34%
2011-08-07 - 2011-08-13,-34%
2011-08-14 - 2011-08-20,-24%
2011-08-21 - 2011-08-27,-24%
2011-08-28 - 2011-09-03,-26%
2011-09-04 - 2011-09-10,-31%
2011-09-11 - 2011-09-17,-27%
2011-09-18 - 2011-09-24,-30%
2011-09-25 - 2011-10-01,-24%
2011-10-02 - 2011-10-08,-23%
2011-10-09 - 2011-10-15,-31%
2011-10-16 - 2011-10-22,-28%
2011-10-23 - 2011-10-29,-26%
2011-10-30 - 2011-11-05,-33%
2011-11-06 - 2011-11-12,-28%
2011-11-13 - 2011-11-19,-30%
2011-11-20 - 2011-11-26,-24%
2011-11-27 - 2011-12-03,-28%
2011-12-04 - 2011-12-10,-30%
2011-12-11 - 2011-12-17,-31%
2011-12-18 - 2011-12-24,-24%
2011-12-25 - 2011-12-31,-19%
2012-01-01 - 2012-01-07,-19%
2012-01-08 - 2012-01-14,-26%
2012-01-15 - 2012-01-21,-22%
2012-01-22 - 2012-01-28,-16%
2012-01-29 - 2012-02-04,-29%
2012-02-05 - 2012-02-11,-30%
2012-02-12 - 2012-02-18,-24%
2012-02-19 - 2012-02-25,-29%
2012-02-26 - 2012-03-03,-24%
2012-03-04 - 2012-03-10,-14%
2012-03-11 - 2012-03-17,-17%
2012-03-18 - 2012-03-24,-23%
2012-03-25 - 2012-03-31,-19%
2012-04-01 - 2012-04-07,-15%
2012-04-08 - 2012-04-14,-15%
2012-04-15 - 2012-04-21,-22%
2012-04-22 - 2012-04-28,-23%
2012-04-29 - 2012-05-05,-19%
2012-05-06 - 2012-05-12,-23%
2012-05-13 - 2012-05-19,-21%
2012-05-20 - 2012-05-26,-26%
2012-05-27 - 2012-06-02,-28%
2012-06-03 - 2012-06-09,-26%
2012-06-10 - 2012-06-16,-26%
2012-06-17 - 2012-06-23,-28%
2012-06-24 - 2012-06-30,-17%
2012-07-01 - 2012-07-07,-30%
2012-07-08 - 2012-07-14,-26%
2012-07-15 - 2012-07-21,-29%
2012-07-22 - 2012-07-28,-23%
2012-07-29 - 2012-08-04,-23%
2012-08-05 - 2012-08-11,-29%
2012-08-12 - 2012-08-18,-24%
2012-08-19 - 2012-08-25,-23%
2012-08-26 - 2012-09-01,-30%
2012-09-02 - 2012-09-08,-31%
2012-09-09 - 2012-09-15,-30%
2012-09-16 - 2012-09-22,-39%
2012-09-23 - 2012-09-29,-29%
2012-09-30 - 2012-10-06,-32%
2012-10-07 - 2012-10-13,-27%
2012-10-14 - 2012-10-20,-33%
2012-10-21 - 2012-10-27,-24%
2012-10-28 - 2012-11-03,-37%
2012-11-04 - 2012-11-10,-33%
2012-11-11 - 2012-11-17,-33%
2012-11-18 - 2012-11-24,-27%
2012-11-25 - 2012-12-01, 



Top searches
一樓一,100
一樓,100
dragon,75
sf,50
墳場,30
一樓鳳,25
vampire,25
戰隊,25
華人永遠,20
超人,20
161,20
underground,20
香島,15
gothic,15
troll,15
夜玥,15
bl,10
shadow,10
dragons,10
161sex,10



Rising searches
sf,Breakout
troll,Breakout
vampire,Breakout
墳場,Breakout
戰隊,Breakout
華人永遠,Breakout
超人,Breakout
香島,Breakout
dragon,+170%
161,+120%



