Web Search Interest
Germany; 2004 - present

Interest over time
Week,Computer Hardware
2005-04-03 - 2005-04-09,-20%
2005-04-10 - 2005-04-16,-24%
2005-04-17 - 2005-04-23,-26%
2005-04-24 - 2005-04-30,-24%
2005-05-01 - 2005-05-07,-24%
2005-05-08 - 2005-05-14,-27%
2005-05-15 - 2005-05-21,-27%
2005-05-22 - 2005-05-28,-29%
2005-05-29 - 2005-06-04,-28%
2005-06-05 - 2005-06-11,-27%
2005-06-12 - 2005-06-18,-29%
2005-06-19 - 2005-06-25,-29%
2005-06-26 - 2005-07-02,-31%
2005-07-03 - 2005-07-09,-31%
2005-07-10 - 2005-07-16,-31%
2005-07-17 - 2005-07-23,-29%
2005-07-24 - 2005-07-30,-30%
2005-07-31 - 2005-08-06,-27%
2005-08-07 - 2005-08-13,-26%
2005-08-14 - 2005-08-20,-29%
2005-08-21 - 2005-08-27,-27%
2005-08-28 - 2005-09-03,-28%
2005-09-04 - 2005-09-10,-31%
2005-09-11 - 2005-09-17,-29%
2005-09-18 - 2005-09-24,-29%
2005-09-25 - 2005-10-01,-24%
2005-10-02 - 2005-10-08,-21%
2005-10-09 - 2005-10-15,-24%
2005-10-16 - 2005-10-22,-21%
2005-10-23 - 2005-10-29,-20%
2005-10-30 - 2005-11-05,-18%
2005-11-06 - 2005-11-12,-20%
2005-11-13 - 2005-11-19,-23%
2005-11-20 - 2005-11-26,-22%
2005-11-27 - 2005-12-03,-23%
2005-12-04 - 2005-12-10,-23%
2005-12-11 - 2005-12-17,-18%
2005-12-18 - 2005-12-24,-22%
2005-12-25 - 2005-12-31,-9%
2006-01-01 - 2006-01-07,-17%
2006-01-08 - 2006-01-14,-22%
2006-01-15 - 2006-01-21,-27%
2006-01-22 - 2006-01-28,-26%
2006-01-29 - 2006-02-04,-26%
2006-02-05 - 2006-02-11,-28%
2006-02-12 - 2006-02-18,-31%
2006-02-19 - 2006-02-25,-30%
2006-02-26 - 2006-03-04,-28%
2006-03-05 - 2006-03-11,-29%
2006-03-12 - 2006-03-18,-28%
2006-03-19 - 2006-03-25,-30%
2006-03-26 - 2006-04-01,-32%
2006-04-02 - 2006-04-08,-33%
2006-04-09 - 2006-04-15,-31%
2006-04-16 - 2006-04-22,-34%
2006-04-23 - 2006-04-29,-36%
2006-04-30 - 2006-05-06,-37%
2006-05-07 - 2006-05-13,-39%
2006-05-14 - 2006-05-20,-38%
2006-05-21 - 2006-05-27,-37%
2006-05-28 - 2006-06-03,-36%
2006-06-04 - 2006-06-10,-38%
2006-06-11 - 2006-06-17,-40%
2006-06-18 - 2006-06-24,-41%
2006-06-25 - 2006-07-01,-40%
2006-07-02 - 2006-07-08,-40%
2006-07-09 - 2006-07-15,-41%
2006-07-16 - 2006-07-22,-41%
2006-07-23 - 2006-07-29,-39%
2006-07-30 - 2006-08-05,-35%
2006-08-06 - 2006-08-12,-33%
2006-08-13 - 2006-08-19,-33%
2006-08-20 - 2006-08-26,-33%
2006-08-27 - 2006-09-02,-28%
2006-09-03 - 2006-09-09,-29%
2006-09-10 - 2006-09-16,-32%
2006-09-17 - 2006-09-23,-32%
2006-09-24 - 2006-09-30,-31%
2006-10-01 - 2006-10-07,-29%
2006-10-08 - 2006-10-14,-30%
2006-10-15 - 2006-10-21,-29%
2006-10-22 - 2006-10-28,-29%
2006-10-29 - 2006-11-04,-28%
2006-11-05 - 2006-11-11,-26%
2006-11-12 - 2006-11-18,-23%
2006-11-19 - 2006-11-25,-26%
2006-11-26 - 2006-12-02,-20%
2006-12-03 - 2006-12-09,-23%
2006-12-10 - 2006-12-16,-24%
2006-12-17 - 2006-12-23,-27%
2006-12-24 - 2006-12-30,-14%
2006-12-31 - 2007-01-06,-21%
2007-01-07 - 2007-01-13,-27%
2007-01-14 - 2007-01-20,-30%
2007-01-21 - 2007-01-27,-31%
2007-01-28 - 2007-02-03,-26%
2007-02-04 - 2007-02-10,-30%
2007-02-11 - 2007-02-17,-29%
2007-02-18 - 2007-02-24,-31%
2007-02-25 - 2007-03-03,-31%
2007-03-04 - 2007-03-10,-31%
2007-03-11 - 2007-03-17,-34%
2007-03-18 - 2007-03-24,-33%
2007-03-25 - 2007-03-31,-33%
2007-04-01 - 2007-04-07,-33%
2007-04-08 - 2007-04-14,-35%
2007-04-15 - 2007-04-21,-39%
2007-04-22 - 2007-04-28,-38%
2007-04-29 - 2007-05-05,-37%
2007-05-06 - 2007-05-12,-37%
2007-05-13 - 2007-05-19,-36%
2007-05-20 - 2007-05-26,-39%
2007-05-27 - 2007-06-02,-35%
2007-06-03 - 2007-06-09,-40%
2007-06-10 - 2007-06-16,-40%
2007-06-17 - 2007-06-23,-39%
2007-06-24 - 2007-06-30,-36%
2007-07-01 - 2007-07-07,-36%
2007-07-08 - 2007-07-14,-37%
2007-07-15 - 2007-07-21,-35%
2007-07-22 - 2007-07-28,-37%
2007-07-29 - 2007-08-04,-35%
2007-08-05 - 2007-08-11,-37%
2007-08-12 - 2007-08-18,-38%
2007-08-19 - 2007-08-25,-37%
2007-08-26 - 2007-09-01,-35%
2007-09-02 - 2007-09-08,-34%
2007-09-09 - 2007-09-15,-36%
2007-09-16 - 2007-09-22,-37%
2007-09-23 - 2007-09-29,-34%
2007-09-30 - 2007-10-06,-34%
2007-10-07 - 2007-10-13,-37%
2007-10-14 - 2007-10-20,-35%
2007-10-21 - 2007-10-27,-34%
2007-10-28 - 2007-11-03,-29%
2007-11-04 - 2007-11-10,-31%
2007-11-11 - 2007-11-17,-30%
2007-11-18 - 2007-11-24,-30%
2007-11-25 - 2007-12-01,-24%
2007-12-02 - 2007-12-08,-26%
2007-12-09 - 2007-12-15,-24%
2007-12-16 - 2007-12-22,-28%
2007-12-23 - 2007-12-29,-19%
2007-12-30 - 2008-01-05,-26%
2008-01-06 - 2008-01-12,-29%
2008-01-13 - 2008-01-19,-31%
2008-01-20 - 2008-01-26,-30%
2008-01-27 - 2008-02-02,-32%
2008-02-03 - 2008-02-09,-33%
2008-02-10 - 2008-02-16,-37%
2008-02-17 - 2008-02-23,-36%
2008-02-24 - 2008-03-01,-36%
2008-03-02 - 2008-03-08,-35%
2008-03-09 - 2008-03-15,-34%
2008-03-16 - 2008-03-22,-34%
2008-03-23 - 2008-03-29,-35%
2008-03-30 - 2008-04-05,-35%
2008-04-06 - 2008-04-12,-37%
2008-04-13 - 2008-04-19,-39%
2008-04-20 - 2008-04-26,-43%
2008-04-27 - 2008-05-03,-43%
2008-05-04 - 2008-05-10,-45%
2008-05-11 - 2008-05-17,-44%
2008-05-18 - 2008-05-24,-45%
2008-05-25 - 2008-05-31,-46%
2008-06-01 - 2008-06-07,-46%
2008-06-08 - 2008-06-14,-46%
2008-06-15 - 2008-06-21,-45%
2008-06-22 - 2008-06-28,-44%
2008-06-29 - 2008-07-05,-41%
2008-07-06 - 2008-07-12,-40%
2008-07-13 - 2008-07-19,-41%
2008-07-20 - 2008-07-26,-40%
2008-07-27 - 2008-08-02,-43%
2008-08-03 - 2008-08-09,-39%
2008-08-10 - 2008-08-16,-38%
2008-08-17 - 2008-08-23,-43%
2008-08-24 - 2008-08-30,-39%
2008-08-31 - 2008-09-06,-37%
2008-09-07 - 2008-09-13,-37%
2008-09-14 - 2008-09-20,-39%
2008-09-21 - 2008-09-27,-39%
2008-09-28 - 2008-10-04,-36%
2008-10-05 - 2008-10-11,-37%
2008-10-12 - 2008-10-18,-38%
2008-10-19 - 2008-10-25,-37%
2008-10-26 - 2008-11-01,-36%
2008-11-02 - 2008-11-08,-36%
2008-11-09 - 2008-11-15,-36%
2008-11-16 - 2008-11-22,-36%
2008-11-23 - 2008-11-29,-33%
2008-11-30 - 2008-12-06,-34%
2008-12-07 - 2008-12-13,-33%
2008-12-14 - 2008-12-20,-35%
2008-12-21 - 2008-12-27,-29%
2008-12-28 - 2009-01-03,-31%
2009-01-04 - 2009-01-10,-34%
2009-01-11 - 2009-01-17,-36%
2009-01-18 - 2009-01-24,-37%
2009-01-25 - 2009-01-31,-39%
2009-02-01 - 2009-02-07,-40%
2009-02-08 - 2009-02-14,-40%
2009-02-15 - 2009-02-21,-43%
2009-02-22 - 2009-02-28,-41%
2009-03-01 - 2009-03-07,-41%
2009-03-08 - 2009-03-14,-41%
2009-03-15 - 2009-03-21,-45%
2009-03-22 - 2009-03-28,-44%
2009-03-29 - 2009-04-04,-45%
2009-04-05 - 2009-04-11,-47%
2009-04-12 - 2009-04-18,-49%
2009-04-19 - 2009-04-25,-50%
2009-04-26 - 2009-05-02,-49%
2009-05-03 - 2009-05-09,-50%
2009-05-10 - 2009-05-16,-50%
2009-05-17 - 2009-05-23,-52%
2009-05-24 - 2009-05-30,-50%
2009-05-31 - 2009-06-06,-50%
2009-06-07 - 2009-06-13,-48%
2009-06-14 - 2009-06-20,-51%
2009-06-21 - 2009-06-27,-49%
2009-06-28 - 2009-07-04,-50%
2009-07-05 - 2009-07-11,-51%
2009-07-12 - 2009-07-18,-49%
2009-07-19 - 2009-07-25,-48%
2009-07-26 - 2009-08-01,-50%
2009-08-02 - 2009-08-08,-49%
2009-08-09 - 2009-08-15,-48%
2009-08-16 - 2009-08-22,-50%
2009-08-23 - 2009-08-29,-47%
2009-08-30 - 2009-09-05,-49%
2009-09-06 - 2009-09-12,-48%
2009-09-13 - 2009-09-19,-49%
2009-09-20 - 2009-09-26,-49%
2009-09-27 - 2009-10-03,-48%
2009-10-04 - 2009-10-10,-47%
2009-10-11 - 2009-10-17,-47%
2009-10-18 - 2009-10-24,-46%
2009-10-25 - 2009-10-31,-43%
2009-11-01 - 2009-11-07,-44%
2009-11-08 - 2009-11-14,-45%
2009-11-15 - 2009-11-21,-45%
2009-11-22 - 2009-11-28,-44%
2009-11-29 - 2009-12-05,-44%
2009-12-06 - 2009-12-12,-44%
2009-12-13 - 2009-12-19,-45%
2009-12-20 - 2009-12-26,-44%
2009-12-27 - 2010-01-02,-43%
2010-01-03 - 2010-01-09,-44%
2010-01-10 - 2010-01-16,-47%
2010-01-17 - 2010-01-23,-48%
2010-01-24 - 2010-01-30,-46%
2010-01-31 - 2010-02-06,-46%
2010-02-07 - 2010-02-13,-48%
2010-02-14 - 2010-02-20,-48%
2010-02-21 - 2010-02-27,-49%
2010-02-28 - 2010-03-06,-50%
2010-03-07 - 2010-03-13,-50%
2010-03-14 - 2010-03-20,-51%
2010-03-21 - 2010-03-27,-53%
2010-03-28 - 2010-04-03,-54%
2010-04-04 - 2010-04-10,-53%
2010-04-11 - 2010-04-17,-53%
2010-04-18 - 2010-04-24,-55%
2010-04-25 - 2010-05-01,-55%
2010-05-02 - 2010-05-08,-55%
2010-05-09 - 2010-05-15,-57%
2010-05-16 - 2010-05-22,-55%
2010-05-23 - 2010-05-29,-56%
2010-05-30 - 2010-06-05,-56%
2010-06-06 - 2010-06-12,-59%
2010-06-13 - 2010-06-19,-57%
2010-06-20 - 2010-06-26,-56%
2010-06-27 - 2010-07-03,-60%
2010-07-04 - 2010-07-10,-60%
2010-07-11 - 2010-07-17,-59%
2010-07-18 - 2010-07-24,-56%
2010-07-25 - 2010-07-31,-54%
2010-08-01 - 2010-08-07,-53%
2010-08-08 - 2010-08-14,-53%
2010-08-15 - 2010-08-21,-52%
2010-08-22 - 2010-08-28,-53%
2010-08-29 - 2010-09-04,-51%
2010-09-05 - 2010-09-11,-53%
2010-09-12 - 2010-09-18,-52%
2010-09-19 - 2010-09-25,-53%
2010-09-26 - 2010-10-02,-52%
2010-10-03 - 2010-10-09,-53%
2010-10-10 - 2010-10-16,-53%
2010-10-17 - 2010-10-23,-52%
2010-10-24 - 2010-10-30,-51%
2010-10-31 - 2010-11-06,-52%
2010-11-07 - 2010-11-13,-52%
2010-11-14 - 2010-11-20,-51%
2010-11-21 - 2010-11-27,-50%
2010-11-28 - 2010-12-04,-51%
2010-12-05 - 2010-12-11,-50%
2010-12-12 - 2010-12-18,-52%
2010-12-19 - 2010-12-25,-52%
2010-12-26 - 2011-01-01,-48%
2011-01-02 - 2011-01-08,-43%
2011-01-09 - 2011-01-15,-47%
2011-01-16 - 2011-01-22,-49%
2011-01-23 - 2011-01-29,-50%
2011-01-30 - 2011-02-05,-49%
2011-02-06 - 2011-02-12,-51%
2011-02-13 - 2011-02-19,-52%
2011-02-20 - 2011-02-26,-51%
2011-02-27 - 2011-03-05,-52%
2011-03-06 - 2011-03-12,-52%
2011-03-13 - 2011-03-19,-55%
2011-03-20 - 2011-03-26,-53%
2011-03-27 - 2011-04-02,-53%
2011-04-03 - 2011-04-09,-54%
2011-04-10 - 2011-04-16,-55%
2011-04-17 - 2011-04-23,-54%
2011-04-24 - 2011-04-30,-55%
2011-05-01 - 2011-05-07,-54%
2011-05-08 - 2011-05-14,-55%
2011-05-15 - 2011-05-21,-54%
2011-05-22 - 2011-05-28,-55%
2011-05-29 - 2011-06-04,-55%
2011-06-05 - 2011-06-11,-54%
2011-06-12 - 2011-06-18,-53%
2011-06-19 - 2011-06-25,-52%
2011-06-26 - 2011-07-02,-54%
2011-07-03 - 2011-07-09,-54%
2011-07-10 - 2011-07-16,-54%
2011-07-17 - 2011-07-23,-52%
2011-07-24 - 2011-07-30,-52%
2011-07-31 - 2011-08-06,-52%
2011-08-07 - 2011-08-13,-51%
2011-08-14 - 2011-08-20,-53%
2011-08-21 - 2011-08-27,-52%
2011-08-28 - 2011-09-03,-52%
2011-09-04 - 2011-09-10,-51%
2011-09-11 - 2011-09-17,-52%
2011-09-18 - 2011-09-24,-52%
2011-09-25 - 2011-10-01,-53%
2011-10-02 - 2011-10-08,-50%
2011-10-09 - 2011-10-15,-50%
2011-10-16 - 2011-10-22,-50%
2011-10-23 - 2011-10-29,-49%
2011-10-30 - 2011-11-05,-49%
2011-11-06 - 2011-11-12,-49%
2011-11-13 - 2011-11-19,-48%
2011-11-20 - 2011-11-26,-47%
2011-11-27 - 2011-12-03,-47%
2011-12-04 - 2011-12-10,-47%
2011-12-11 - 2011-12-17,-46%
2011-12-18 - 2011-12-24,-48%
2011-12-25 - 2011-12-31,-41%
2012-01-01 - 2012-01-07,-48%
2012-01-08 - 2012-01-14,-50%
2012-01-15 - 2012-01-21,-49%
2012-01-22 - 2012-01-28,-52%
2012-01-29 - 2012-02-04,-51%
2012-02-05 - 2012-02-11,-53%
2012-02-12 - 2012-02-18,-53%
2012-02-19 - 2012-02-25,-54%
2012-02-26 - 2012-03-03,-52%
2012-03-04 - 2012-03-10,-53%
2012-03-11 - 2012-03-17,-54%
2012-03-18 - 2012-03-24,-55%
2012-03-25 - 2012-03-31,-56%
2012-04-01 - 2012-04-07,-54%
2012-04-08 - 2012-04-14,-55%
2012-04-15 - 2012-04-21,-57%
2012-04-22 - 2012-04-28,-57%
2012-04-29 - 2012-05-05,-59%
2012-05-06 - 2012-05-12,-55%
2012-05-13 - 2012-05-19,-59%
2012-05-20 - 2012-05-26,-59%
2012-05-27 - 2012-06-02,-59%
2012-06-03 - 2012-06-09,-57%
2012-06-10 - 2012-06-16,-59%
2012-06-17 - 2012-06-23,-57%
2012-06-24 - 2012-06-30,-56%
2012-07-01 - 2012-07-07,-57%
2012-07-08 - 2012-07-14,-57%
2012-07-15 - 2012-07-21,-56%
2012-07-22 - 2012-07-28,-57%
2012-07-29 - 2012-08-04,-56%
2012-08-05 - 2012-08-11,-57%
2012-08-12 - 2012-08-18,-59%
2012-08-19 - 2012-08-25,-55%
2012-08-26 - 2012-09-01,-54%
2012-09-02 - 2012-09-08,-56%
2012-09-09 - 2012-09-15,-54%
2012-09-16 - 2012-09-22,-52%
2012-09-23 - 2012-09-29,-53%
2012-09-30 - 2012-10-06,-54%
2012-10-07 - 2012-10-13,-54%
2012-10-14 - 2012-10-20,-56%
2012-10-21 - 2012-10-27,-52%
2012-10-28 - 2012-11-03,-53%
2012-11-04 - 2012-11-10,-52%
2012-11-11 - 2012-11-17,-52%
2012-11-18 - 2012-11-24,-52%
2012-11-25 - 2012-12-01, 



Top searches
hp,100
treiber,80
asus,65
samsung,60
usb,60
festplatte,55
notebook,50
acer,50
canon,45
nvidia,40
ati,40
intel,35
galaxy,35
drucker,35
radeon,30
geforce,30
logitech,30
apple,25
laptop,25
epson,25



Rising searches
iphone,Breakout
lenovo,Breakout
macbook,Breakout
galaxy,+1,400%
apple,+300%
samsung,+200%
zoll,+160%
acer,+120%
dell,+120%
brother,+110%



