Web Search Interest
Germany; 2004 - present

Interest over time
Week,TV & Video
2005-04-03 - 2005-04-09,+3%
2005-04-10 - 2005-04-16,-3%
2005-04-17 - 2005-04-23,-6%
2005-04-24 - 2005-04-30,-6%
2005-05-01 - 2005-05-07,+0%
2005-05-08 - 2005-05-14,-3%
2005-05-15 - 2005-05-21,+0%
2005-05-22 - 2005-05-28,+0%
2005-05-29 - 2005-06-04,-3%
2005-06-05 - 2005-06-11,+0%
2005-06-12 - 2005-06-18,-6%
2005-06-19 - 2005-06-25,-6%
2005-06-26 - 2005-07-02,-3%
2005-07-03 - 2005-07-09,+0%
2005-07-10 - 2005-07-16,-8%
2005-07-17 - 2005-07-23,-6%
2005-07-24 - 2005-07-30,-6%
2005-07-31 - 2005-08-06,-6%
2005-08-07 - 2005-08-13,-6%
2005-08-14 - 2005-08-20,-3%
2005-08-21 - 2005-08-27,+0%
2005-08-28 - 2005-09-03,-3%
2005-09-04 - 2005-09-10,+0%
2005-09-11 - 2005-09-17,+3%
2005-09-18 - 2005-09-24,+0%
2005-09-25 - 2005-10-01,+8%
2005-10-02 - 2005-10-08,+8%
2005-10-09 - 2005-10-15,+3%
2005-10-16 - 2005-10-22,+6%
2005-10-23 - 2005-10-29,+3%
2005-10-30 - 2005-11-05,+6%
2005-11-06 - 2005-11-12,+6%
2005-11-13 - 2005-11-19,+3%
2005-11-20 - 2005-11-26,+8%
2005-11-27 - 2005-12-03,+14%
2005-12-04 - 2005-12-10,+17%
2005-12-11 - 2005-12-17,+17%
2005-12-18 - 2005-12-24,+17%
2005-12-25 - 2005-12-31,+17%
2006-01-01 - 2006-01-07,+19%
2006-01-08 - 2006-01-14,+14%
2006-01-15 - 2006-01-21,+14%
2006-01-22 - 2006-01-28,+14%
2006-01-29 - 2006-02-04,+19%
2006-02-05 - 2006-02-11,+22%
2006-02-12 - 2006-02-18,+19%
2006-02-19 - 2006-02-25,+22%
2006-02-26 - 2006-03-04,+22%
2006-03-05 - 2006-03-11,+22%
2006-03-12 - 2006-03-18,+25%
2006-03-19 - 2006-03-25,+28%
2006-03-26 - 2006-04-01,+28%
2006-04-02 - 2006-04-08,+17%
2006-04-09 - 2006-04-15,+19%
2006-04-16 - 2006-04-22,+19%
2006-04-23 - 2006-04-29,+14%
2006-04-30 - 2006-05-06,+17%
2006-05-07 - 2006-05-13,+8%
2006-05-14 - 2006-05-20,+17%
2006-05-21 - 2006-05-27,+28%
2006-05-28 - 2006-06-03,+19%
2006-06-04 - 2006-06-10,+25%
2006-06-11 - 2006-06-17,+19%
2006-06-18 - 2006-06-24,+17%
2006-06-25 - 2006-07-01,+14%
2006-07-02 - 2006-07-08,+8%
2006-07-09 - 2006-07-15,+11%
2006-07-16 - 2006-07-22,+11%
2006-07-23 - 2006-07-29,+14%
2006-07-30 - 2006-08-05,+22%
2006-08-06 - 2006-08-12,+25%
2006-08-13 - 2006-08-19,+22%
2006-08-20 - 2006-08-26,+25%
2006-08-27 - 2006-09-02,+33%
2006-09-03 - 2006-09-09,+31%
2006-09-10 - 2006-09-16,+31%
2006-09-17 - 2006-09-23,+28%
2006-09-24 - 2006-09-30,+33%
2006-10-01 - 2006-10-07,+39%
2006-10-08 - 2006-10-14,+47%
2006-10-15 - 2006-10-21,+50%
2006-10-22 - 2006-10-28,+42%
2006-10-29 - 2006-11-04,+50%
2006-11-05 - 2006-11-11,+44%
2006-11-12 - 2006-11-18,+47%
2006-11-19 - 2006-11-25,+61%
2006-11-26 - 2006-12-02,+50%
2006-12-03 - 2006-12-09,+44%
2006-12-10 - 2006-12-16,+44%
2006-12-17 - 2006-12-23,+53%
2006-12-24 - 2006-12-30,+64%
2006-12-31 - 2007-01-06,+61%
2007-01-07 - 2007-01-13,+58%
2007-01-14 - 2007-01-20,+64%
2007-01-21 - 2007-01-27,+64%
2007-01-28 - 2007-02-03,+64%
2007-02-04 - 2007-02-10,+83%
2007-02-11 - 2007-02-17,+81%
2007-02-18 - 2007-02-24,+69%
2007-02-25 - 2007-03-03,+72%
2007-03-04 - 2007-03-10,+72%
2007-03-11 - 2007-03-17,+75%
2007-03-18 - 2007-03-24,+72%
2007-03-25 - 2007-03-31,+67%
2007-04-01 - 2007-04-07,+92%
2007-04-08 - 2007-04-14,+83%
2007-04-15 - 2007-04-21,+72%
2007-04-22 - 2007-04-28,+81%
2007-04-29 - 2007-05-05,+92%
2007-05-06 - 2007-05-12,+83%
2007-05-13 - 2007-05-19,+89%
2007-05-20 - 2007-05-26,+75%
2007-05-27 - 2007-06-02,+75%
2007-06-03 - 2007-06-09,+72%
2007-06-10 - 2007-06-16,+69%
2007-06-17 - 2007-06-23,+64%
2007-06-24 - 2007-06-30,+58%
2007-07-01 - 2007-07-07,+61%
2007-07-08 - 2007-07-14,+61%
2007-07-15 - 2007-07-21,+61%
2007-07-22 - 2007-07-28,+58%
2007-07-29 - 2007-08-04,+61%
2007-08-05 - 2007-08-11,+64%
2007-08-12 - 2007-08-18,+67%
2007-08-19 - 2007-08-25,+61%
2007-08-26 - 2007-09-01,+69%
2007-09-02 - 2007-09-08,+61%
2007-09-09 - 2007-09-15,+72%
2007-09-16 - 2007-09-22,+78%
2007-09-23 - 2007-09-29,+78%
2007-09-30 - 2007-10-06,+86%
2007-10-07 - 2007-10-13,+75%
2007-10-14 - 2007-10-20,+83%
2007-10-21 - 2007-10-27,+81%
2007-10-28 - 2007-11-03,+97%
2007-11-04 - 2007-11-10,+89%
2007-11-11 - 2007-11-17,+86%
2007-11-18 - 2007-11-24,+92%
2007-11-25 - 2007-12-01,+94%
2007-12-02 - 2007-12-08,+86%
2007-12-09 - 2007-12-15,+81%
2007-12-16 - 2007-12-22,+92%
2007-12-23 - 2007-12-29,+125%
2007-12-30 - 2008-01-05,+117%
2008-01-06 - 2008-01-12,+97%
2008-01-13 - 2008-01-19,+106%
2008-01-20 - 2008-01-26,+122%
2008-01-27 - 2008-02-02,+111%
2008-02-03 - 2008-02-09,+108%
2008-02-10 - 2008-02-16,+108%
2008-02-17 - 2008-02-23,+103%
2008-02-24 - 2008-03-01,+114%
2008-03-02 - 2008-03-08,+111%
2008-03-09 - 2008-03-15,+117%
2008-03-16 - 2008-03-22,+125%
2008-03-23 - 2008-03-29,+122%
2008-03-30 - 2008-04-05,+111%
2008-04-06 - 2008-04-12,+117%
2008-04-13 - 2008-04-19,+108%
2008-04-20 - 2008-04-26,+111%
2008-04-27 - 2008-05-03,+128%
2008-05-04 - 2008-05-10,+103%
2008-05-11 - 2008-05-17,+125%
2008-05-18 - 2008-05-24,+128%
2008-05-25 - 2008-05-31,+114%
2008-06-01 - 2008-06-07,+122%
2008-06-08 - 2008-06-14,+100%
2008-06-15 - 2008-06-21,+94%
2008-06-22 - 2008-06-28,+94%
2008-06-29 - 2008-07-05,+92%
2008-07-06 - 2008-07-12,+97%
2008-07-13 - 2008-07-19,+89%
2008-07-20 - 2008-07-26,+103%
2008-07-27 - 2008-08-02,+92%
2008-08-03 - 2008-08-09,+92%
2008-08-10 - 2008-08-16,+103%
2008-08-17 - 2008-08-23,+100%
2008-08-24 - 2008-08-30,+97%
2008-08-31 - 2008-09-06,+103%
2008-09-07 - 2008-09-13,+103%
2008-09-14 - 2008-09-20,+108%
2008-09-21 - 2008-09-27,+106%
2008-09-28 - 2008-10-04,+119%
2008-10-05 - 2008-10-11,+106%
2008-10-12 - 2008-10-18,+119%
2008-10-19 - 2008-10-25,+119%
2008-10-26 - 2008-11-01,+111%
2008-11-02 - 2008-11-08,+117%
2008-11-09 - 2008-11-15,+119%
2008-11-16 - 2008-11-22,+117%
2008-11-23 - 2008-11-29,+119%
2008-11-30 - 2008-12-06,+125%
2008-12-07 - 2008-12-13,+111%
2008-12-14 - 2008-12-20,+119%
2008-12-21 - 2008-12-27,+156%
2008-12-28 - 2009-01-03,+147%
2009-01-04 - 2009-01-10,+125%
2009-01-11 - 2009-01-17,+122%
2009-01-18 - 2009-01-24,+139%
2009-01-25 - 2009-01-31,+122%
2009-02-01 - 2009-02-07,+122%
2009-02-08 - 2009-02-14,+128%
2009-02-15 - 2009-02-21,+131%
2009-02-22 - 2009-02-28,+131%
2009-03-01 - 2009-03-07,+133%
2009-03-08 - 2009-03-14,+133%
2009-03-15 - 2009-03-21,+128%
2009-03-22 - 2009-03-28,+131%
2009-03-29 - 2009-04-04,+125%
2009-04-05 - 2009-04-11,+139%
2009-04-12 - 2009-04-18,+142%
2009-04-19 - 2009-04-25,+139%
2009-04-26 - 2009-05-02,+131%
2009-05-03 - 2009-05-09,+128%
2009-05-10 - 2009-05-16,+131%
2009-05-17 - 2009-05-23,+147%
2009-05-24 - 2009-05-30,+119%
2009-05-31 - 2009-06-06,+125%
2009-06-07 - 2009-06-13,+114%
2009-06-14 - 2009-06-20,+114%
2009-06-21 - 2009-06-27,+111%
2009-06-28 - 2009-07-04,+100%
2009-07-05 - 2009-07-11,+114%
2009-07-12 - 2009-07-18,+103%
2009-07-19 - 2009-07-25,+103%
2009-07-26 - 2009-08-01,+103%
2009-08-02 - 2009-08-08,+108%
2009-08-09 - 2009-08-15,+103%
2009-08-16 - 2009-08-22,+114%
2009-08-23 - 2009-08-29,+111%
2009-08-30 - 2009-09-05,+108%
2009-09-06 - 2009-09-12,+117%
2009-09-13 - 2009-09-19,+122%
2009-09-20 - 2009-09-26,+111%
2009-09-27 - 2009-10-03,+114%
2009-10-04 - 2009-10-10,+114%
2009-10-11 - 2009-10-17,+117%
2009-10-18 - 2009-10-24,+119%
2009-10-25 - 2009-10-31,+117%
2009-11-01 - 2009-11-07,+119%
2009-11-08 - 2009-11-14,+128%
2009-11-15 - 2009-11-21,+122%
2009-11-22 - 2009-11-28,+119%
2009-11-29 - 2009-12-05,+119%
2009-12-06 - 2009-12-12,+125%
2009-12-13 - 2009-12-19,+114%
2009-12-20 - 2009-12-26,+153%
2009-12-27 - 2010-01-02,+156%
2010-01-03 - 2010-01-09,+122%
2010-01-10 - 2010-01-16,+131%
2010-01-17 - 2010-01-23,+117%
2010-01-24 - 2010-01-30,+125%
2010-01-31 - 2010-02-06,+125%
2010-02-07 - 2010-02-13,+131%
2010-02-14 - 2010-02-20,+139%
2010-02-21 - 2010-02-27,+122%
2010-02-28 - 2010-03-06,+122%
2010-03-07 - 2010-03-13,+131%
2010-03-14 - 2010-03-20,+128%
2010-03-21 - 2010-03-27,+142%
2010-03-28 - 2010-04-03,+153%
2010-04-04 - 2010-04-10,+150%
2010-04-11 - 2010-04-17,+142%
2010-04-18 - 2010-04-24,+150%
2010-04-25 - 2010-05-01,+125%
2010-05-02 - 2010-05-08,+122%
2010-05-09 - 2010-05-15,+142%
2010-05-16 - 2010-05-22,+125%
2010-05-23 - 2010-05-29,+139%
2010-05-30 - 2010-06-05,+142%
2010-06-06 - 2010-06-12,+125%
2010-06-13 - 2010-06-19,+136%
2010-06-20 - 2010-06-26,+122%
2010-06-27 - 2010-07-03,+119%
2010-07-04 - 2010-07-10,+103%
2010-07-11 - 2010-07-17,+108%
2010-07-18 - 2010-07-24,+119%
2010-07-25 - 2010-07-31,+119%
2010-08-01 - 2010-08-07,+111%
2010-08-08 - 2010-08-14,+114%
2010-08-15 - 2010-08-21,+114%
2010-08-22 - 2010-08-28,+119%
2010-08-29 - 2010-09-04,+114%
2010-09-05 - 2010-09-11,+114%
2010-09-12 - 2010-09-18,+117%
2010-09-19 - 2010-09-25,+125%
2010-09-26 - 2010-10-02,+125%
2010-10-03 - 2010-10-09,+128%
2010-10-10 - 2010-10-16,+133%
2010-10-17 - 2010-10-23,+128%
2010-10-24 - 2010-10-30,+131%
2010-10-31 - 2010-11-06,+128%
2010-11-07 - 2010-11-13,+136%
2010-11-14 - 2010-11-20,+128%
2010-11-21 - 2010-11-27,+119%
2010-11-28 - 2010-12-04,+133%
2010-12-05 - 2010-12-11,+136%
2010-12-12 - 2010-12-18,+133%
2010-12-19 - 2010-12-25,+156%
2010-12-26 - 2011-01-01,+161%
2011-01-02 - 2011-01-08,+128%
2011-01-09 - 2011-01-15,+128%
2011-01-16 - 2011-01-22,+144%
2011-01-23 - 2011-01-29,+161%
2011-01-30 - 2011-02-05,+147%
2011-02-06 - 2011-02-12,+147%
2011-02-13 - 2011-02-19,+131%
2011-02-20 - 2011-02-26,+139%
2011-02-27 - 2011-03-05,+133%
2011-03-06 - 2011-03-12,+147%
2011-03-13 - 2011-03-19,+153%
2011-03-20 - 2011-03-26,+139%
2011-03-27 - 2011-04-02,+125%
2011-04-03 - 2011-04-09,+136%
2011-04-10 - 2011-04-16,+133%
2011-04-17 - 2011-04-23,+147%
2011-04-24 - 2011-04-30,+150%
2011-05-01 - 2011-05-07,+139%
2011-05-08 - 2011-05-14,+156%
2011-05-15 - 2011-05-21,+128%
2011-05-22 - 2011-05-28,+119%
2011-05-29 - 2011-06-04,+122%
2011-06-05 - 2011-06-11,+142%
2011-06-12 - 2011-06-18,+131%
2011-06-19 - 2011-06-25,+125%
2011-06-26 - 2011-07-02,+106%
2011-07-03 - 2011-07-09,+108%
2011-07-10 - 2011-07-16,+111%
2011-07-17 - 2011-07-23,+117%
2011-07-24 - 2011-07-30,+122%
2011-07-31 - 2011-08-06,+122%
2011-08-07 - 2011-08-13,+128%
2011-08-14 - 2011-08-20,+128%
2011-08-21 - 2011-08-27,+125%
2011-08-28 - 2011-09-03,+122%
2011-09-04 - 2011-09-10,+131%
2011-09-11 - 2011-09-17,+131%
2011-09-18 - 2011-09-24,+133%
2011-09-25 - 2011-10-01,+136%
2011-10-02 - 2011-10-08,+139%
2011-10-09 - 2011-10-15,+128%
2011-10-16 - 2011-10-22,+142%
2011-10-23 - 2011-10-29,+144%
2011-10-30 - 2011-11-05,+147%
2011-11-06 - 2011-11-12,+147%
2011-11-13 - 2011-11-19,+133%
2011-11-20 - 2011-11-26,+142%
2011-11-27 - 2011-12-03,+136%
2011-12-04 - 2011-12-10,+144%
2011-12-11 - 2011-12-17,+139%
2011-12-18 - 2011-12-24,+156%
2011-12-25 - 2011-12-31,+167%
2012-01-01 - 2012-01-07,+150%
2012-01-08 - 2012-01-14,+153%
2012-01-15 - 2012-01-21,+158%
2012-01-22 - 2012-01-28,+167%
2012-01-29 - 2012-02-04,+144%
2012-02-05 - 2012-02-11,+147%
2012-02-12 - 2012-02-18,+156%
2012-02-19 - 2012-02-25,+164%
2012-02-26 - 2012-03-03,+164%
2012-03-04 - 2012-03-10,+153%
2012-03-11 - 2012-03-17,+153%
2012-03-18 - 2012-03-24,+164%
2012-03-25 - 2012-03-31,+158%
2012-04-01 - 2012-04-07,+178%
2012-04-08 - 2012-04-14,+172%
2012-04-15 - 2012-04-21,+147%
2012-04-22 - 2012-04-28,+144%
2012-04-29 - 2012-05-05,+169%
2012-05-06 - 2012-05-12,+150%
2012-05-13 - 2012-05-19,+158%
2012-05-20 - 2012-05-26,+144%
2012-05-27 - 2012-06-02,+147%
2012-06-03 - 2012-06-09,+142%
2012-06-10 - 2012-06-16,+125%
2012-06-17 - 2012-06-23,+119%
2012-06-24 - 2012-06-30,+117%
2012-07-01 - 2012-07-07,+111%
2012-07-08 - 2012-07-14,+106%
2012-07-15 - 2012-07-21,+111%
2012-07-22 - 2012-07-28,+114%
2012-07-29 - 2012-08-04,+117%
2012-08-05 - 2012-08-11,+117%
2012-08-12 - 2012-08-18,+108%
2012-08-19 - 2012-08-25,+114%
2012-08-26 - 2012-09-01,+111%
2012-09-02 - 2012-09-08,+122%
2012-09-09 - 2012-09-15,+117%
2012-09-16 - 2012-09-22,+133%
2012-09-23 - 2012-09-29,+147%
2012-09-30 - 2012-10-06,+167%
2012-10-07 - 2012-10-13,+139%
2012-10-14 - 2012-10-20,+142%
2012-10-21 - 2012-10-27,+139%
2012-10-28 - 2012-11-03,+153%
2012-11-04 - 2012-11-10,+139%
2012-11-11 - 2012-11-17,+136%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
youtube,100
tv,40
you,25
rtl,20
you tube,20
fernsehprogramm,15
tv programm,15
ard,10
heute,10
zdf,10
mediathek,10
video,10
dsds,10
rtl now,5
fernsehprogramm heute,5
tv heute,5
sat1,5
my video,5
pro7,5
big brother,5



Rising searches
mediathek,Breakout
my video,Breakout
rtl now,Breakout
you tube,Breakout
youtube,Breakout
topmodel,+4,450%
you,+4,300%
tv heute,+600%
fernsehprogramm heute,+550%
dsds,+300%



