Web Search Interest
United States; 2004 - present

Interest over time
Week,Engineering & Technology
2010-05-02 - 2010-05-08,-35%
2010-05-09 - 2010-05-15,-35%
2010-05-16 - 2010-05-22,-35%
2010-05-23 - 2010-05-29,-35%
2010-05-30 - 2010-06-05,-35%
2010-06-06 - 2010-06-12,-22%
2010-06-13 - 2010-06-19,-22%
2010-06-20 - 2010-06-26,-39%
2010-06-27 - 2010-07-03,-39%
2010-07-04 - 2010-07-10,-39%
2010-07-11 - 2010-07-17,-39%
2010-07-18 - 2010-07-24,-39%
2010-07-25 - 2010-07-31,-39%
2010-08-01 - 2010-08-07,-39%
2010-08-08 - 2010-08-14,-35%
2010-08-15 - 2010-08-21,-35%
2010-08-22 - 2010-08-28,-35%
2010-08-29 - 2010-09-04,-30%
2010-09-05 - 2010-09-11,-35%
2010-09-12 - 2010-09-18,-35%
2010-09-19 - 2010-09-25,-30%
2010-09-26 - 2010-10-02,-30%
2010-10-03 - 2010-10-09,-30%
2010-10-10 - 2010-10-16,-35%
2010-10-17 - 2010-10-23,-30%
2010-10-24 - 2010-10-30,-30%
2010-10-31 - 2010-11-06,-30%
2010-11-07 - 2010-11-13,-35%
2010-11-14 - 2010-11-20,-35%
2010-11-21 - 2010-11-27,-39%
2010-11-28 - 2010-12-04,-35%
2010-12-05 - 2010-12-11,-35%
2010-12-12 - 2010-12-18,-39%
2010-12-19 - 2010-12-25,-48%
2010-12-26 - 2011-01-01,-52%
2011-01-02 - 2011-01-08,-43%
2011-01-09 - 2011-01-15,-26%
2011-01-16 - 2011-01-22,-26%
2011-01-23 - 2011-01-29,-35%
2011-01-30 - 2011-02-05,-39%
2011-02-06 - 2011-02-12,-39%
2011-02-13 - 2011-02-19,-30%
2011-02-20 - 2011-02-26,-35%
2011-02-27 - 2011-03-05,-30%
2011-03-06 - 2011-03-12,-39%
2011-03-13 - 2011-03-19,-39%
2011-03-20 - 2011-03-26,-39%
2011-03-27 - 2011-04-02,-39%
2011-04-03 - 2011-04-09,-39%
2011-04-10 - 2011-04-16,-39%
2011-04-17 - 2011-04-23,-39%
2011-04-24 - 2011-04-30,-39%
2011-05-01 - 2011-05-07,-39%
2011-05-08 - 2011-05-14,-39%
2011-05-15 - 2011-05-21,-43%
2011-05-22 - 2011-05-28,-43%
2011-05-29 - 2011-06-04,-43%
2011-06-05 - 2011-06-11,-17%
2011-06-12 - 2011-06-18,-43%
2011-06-19 - 2011-06-25,-48%
2011-06-26 - 2011-07-02,-48%
2011-07-03 - 2011-07-09,-52%
2011-07-10 - 2011-07-16,-48%
2011-07-17 - 2011-07-23,-48%
2011-07-24 - 2011-07-30,-48%
2011-07-31 - 2011-08-06,-48%
2011-08-07 - 2011-08-13,-48%
2011-08-14 - 2011-08-20,-43%
2011-08-21 - 2011-08-27,-9%
2011-08-28 - 2011-09-03,-35%
2011-09-04 - 2011-09-10,-39%
2011-09-11 - 2011-09-17,-39%
2011-09-18 - 2011-09-24,-39%
2011-09-25 - 2011-10-01,-39%
2011-10-02 - 2011-10-08,+335%
2011-10-09 - 2011-10-15,-4%
2011-10-16 - 2011-10-22,-22%
2011-10-23 - 2011-10-29,-22%
2011-10-30 - 2011-11-05,-26%
2011-11-06 - 2011-11-12,-30%
2011-11-13 - 2011-11-19,-39%
2011-11-20 - 2011-11-26,-43%
2011-11-27 - 2011-12-03,-35%
2011-12-04 - 2011-12-10,-35%
2011-12-11 - 2011-12-17,-39%
2011-12-18 - 2011-12-24,-43%
2011-12-25 - 2011-12-31,-52%
2012-01-01 - 2012-01-07,-43%
2012-01-08 - 2012-01-14,-39%
2012-01-15 - 2012-01-21,-39%
2012-01-22 - 2012-01-28,-35%
2012-01-29 - 2012-02-04,-39%
2012-02-05 - 2012-02-11,-35%
2012-02-12 - 2012-02-18,-43%
2012-02-19 - 2012-02-25,-39%
2012-02-26 - 2012-03-03,-39%
2012-03-04 - 2012-03-10,-35%
2012-03-11 - 2012-03-17,-43%
2012-03-18 - 2012-03-24,-39%
2012-03-25 - 2012-03-31,-43%
2012-04-01 - 2012-04-07,-39%
2012-04-08 - 2012-04-14,-39%
2012-04-15 - 2012-04-21,-39%
2012-04-22 - 2012-04-28,-39%
2012-04-29 - 2012-05-05,-43%
2012-05-06 - 2012-05-12,-43%
2012-05-13 - 2012-05-19,-43%
2012-05-20 - 2012-05-26,-43%
2012-05-27 - 2012-06-02,-48%
2012-06-03 - 2012-06-09,-35%
2012-06-10 - 2012-06-16,-39%
2012-06-17 - 2012-06-23,-48%
2012-06-24 - 2012-06-30,-48%
2012-07-01 - 2012-07-07,-52%
2012-07-08 - 2012-07-14,-48%
2012-07-15 - 2012-07-21,-48%
2012-07-22 - 2012-07-28,-52%
2012-07-29 - 2012-08-04,-52%
2012-08-05 - 2012-08-11,-52%
2012-08-12 - 2012-08-18,-48%
2012-08-19 - 2012-08-25,-43%
2012-08-26 - 2012-09-01,-48%
2012-09-02 - 2012-09-08,-43%
2012-09-09 - 2012-09-15,-35%
2012-09-16 - 2012-09-22,-39%
2012-09-23 - 2012-09-29,-39%
2012-09-30 - 2012-10-06,-39%
2012-10-07 - 2012-10-13,-43%
2012-10-14 - 2012-10-20,-43%
2012-10-21 - 2012-10-27,-39%
2012-10-28 - 2012-11-03,-39%
2012-11-04 - 2012-11-10,-43%
2012-11-11 - 2012-11-17,-43%
2012-11-18 - 2012-11-24,-48%
2012-11-25 - 2012-12-01, 



Top searches
engineering,100
steve jobs,60
autocad,55
robot,55
autodesk,20
robots,20
cad,20
robotics,15
wired,15
zodiac,10
mechanical engineering,10
edgar,10
manpower,10
inventions,10
civil engineering,10
linear,10
electrical engineering,10
rube goldberg,10
solidworks,5
otc,5



Rising searches
steve jobs,+800%
drone,+350%
r2d2,+250%
g4tv,+80%
solidworks,+80%
e3,+40%
shear,+40%
zodiac,+40%



