Web Search Interest
Italy; 2004 - present

Interest over time
Week,Cycling
2009-11-01 - 2009-11-07,-22%
2009-11-08 - 2009-11-14,-28%
2009-11-15 - 2009-11-21,-19%
2009-11-22 - 2009-11-28,-25%
2009-11-29 - 2009-12-05,-28%
2009-12-06 - 2009-12-12,-25%
2009-12-13 - 2009-12-19,-31%
2009-12-20 - 2009-12-26,-34%
2009-12-27 - 2010-01-02,-25%
2010-01-03 - 2010-01-09,-28%
2010-01-10 - 2010-01-16,-28%
2010-01-17 - 2010-01-23,-28%
2010-01-24 - 2010-01-30,-28%
2010-01-31 - 2010-02-06,-25%
2010-02-07 - 2010-02-13,-19%
2010-02-14 - 2010-02-20,-25%
2010-02-21 - 2010-02-27,-22%
2010-02-28 - 2010-03-06,-16%
2010-03-07 - 2010-03-13,-12%
2010-03-14 - 2010-03-20,-3%
2010-03-21 - 2010-03-27,-3%
2010-03-28 - 2010-04-03,-3%
2010-04-04 - 2010-04-10,+6%
2010-04-11 - 2010-04-17,+6%
2010-04-18 - 2010-04-24,+13%
2010-04-25 - 2010-05-01,+9%
2010-05-02 - 2010-05-08,+13%
2010-05-09 - 2010-05-15,+22%
2010-05-16 - 2010-05-22,+25%
2010-05-23 - 2010-05-29,+50%
2010-05-30 - 2010-06-05,+38%
2010-06-06 - 2010-06-12,+19%
2010-06-13 - 2010-06-19,+13%
2010-06-20 - 2010-06-26,+0%
2010-06-27 - 2010-07-03,+16%
2010-07-04 - 2010-07-10,+41%
2010-07-11 - 2010-07-17,+44%
2010-07-18 - 2010-07-24,+50%
2010-07-25 - 2010-07-31,+16%
2010-08-01 - 2010-08-07,+13%
2010-08-08 - 2010-08-14,+13%
2010-08-15 - 2010-08-21,+16%
2010-08-22 - 2010-08-28,+16%
2010-08-29 - 2010-09-04,+13%
2010-09-05 - 2010-09-11,+6%
2010-09-12 - 2010-09-18,+0%
2010-09-19 - 2010-09-25,-3%
2010-09-26 - 2010-10-02,+3%
2010-10-03 - 2010-10-09,+0%
2010-10-10 - 2010-10-16,-6%
2010-10-17 - 2010-10-23,-19%
2010-10-24 - 2010-10-30,-22%
2010-10-31 - 2010-11-06,-22%
2010-11-07 - 2010-11-13,-25%
2010-11-14 - 2010-11-20,-25%
2010-11-21 - 2010-11-27,-31%
2010-11-28 - 2010-12-04,-34%
2010-12-05 - 2010-12-11,-31%
2010-12-12 - 2010-12-18,-34%
2010-12-19 - 2010-12-25,-37%
2010-12-26 - 2011-01-01,-31%
2011-01-02 - 2011-01-08,-28%
2011-01-09 - 2011-01-15,-28%
2011-01-16 - 2011-01-22,-25%
2011-01-23 - 2011-01-29,-28%
2011-01-30 - 2011-02-05,-22%
2011-02-06 - 2011-02-12,-9%
2011-02-13 - 2011-02-19,-16%
2011-02-20 - 2011-02-26,-16%
2011-02-27 - 2011-03-05,-16%
2011-03-06 - 2011-03-12,-9%
2011-03-13 - 2011-03-19,-3%
2011-03-20 - 2011-03-26,+0%
2011-03-27 - 2011-04-02,+6%
2011-04-03 - 2011-04-09,+16%
2011-04-10 - 2011-04-16,+13%
2011-04-17 - 2011-04-23,+16%
2011-04-24 - 2011-04-30,+13%
2011-05-01 - 2011-05-07,+19%
2011-05-08 - 2011-05-14,+72%
2011-05-15 - 2011-05-21,+34%
2011-05-22 - 2011-05-28,+47%
2011-05-29 - 2011-06-04,+25%
2011-06-05 - 2011-06-11,+13%
2011-06-12 - 2011-06-18,+28%
2011-06-19 - 2011-06-25,+19%
2011-06-26 - 2011-07-02,+19%
2011-07-03 - 2011-07-09,+41%
2011-07-10 - 2011-07-16,+53%
2011-07-17 - 2011-07-23,+78%
2011-07-24 - 2011-07-30,+28%
2011-07-31 - 2011-08-06,+22%
2011-08-07 - 2011-08-13,+25%
2011-08-14 - 2011-08-20,+25%
2011-08-21 - 2011-08-27,+22%
2011-08-28 - 2011-09-03,+22%
2011-09-04 - 2011-09-10,+19%
2011-09-11 - 2011-09-17,+9%
2011-09-18 - 2011-09-24,+6%
2011-09-25 - 2011-10-01,+13%
2011-10-02 - 2011-10-08,+0%
2011-10-09 - 2011-10-15,+0%
2011-10-16 - 2011-10-22,-6%
2011-10-23 - 2011-10-29,-22%
2011-10-30 - 2011-11-05,-19%
2011-11-06 - 2011-11-12,-19%
2011-11-13 - 2011-11-19,-22%
2011-11-20 - 2011-11-26,-22%
2011-11-27 - 2011-12-03,-22%
2011-12-04 - 2011-12-10,-22%
2011-12-11 - 2011-12-17,-22%
2011-12-18 - 2011-12-24,-25%
2011-12-25 - 2011-12-31,-19%
2012-01-01 - 2012-01-07,-22%
2012-01-08 - 2012-01-14,-19%
2012-01-15 - 2012-01-21,-19%
2012-01-22 - 2012-01-28,-19%
2012-01-29 - 2012-02-04,-25%
2012-02-05 - 2012-02-11,-25%
2012-02-12 - 2012-02-18,-22%
2012-02-19 - 2012-02-25,-16%
2012-02-26 - 2012-03-03,-3%
2012-03-04 - 2012-03-10,+6%
2012-03-11 - 2012-03-17,+16%
2012-03-18 - 2012-03-24,+13%
2012-03-25 - 2012-03-31,+19%
2012-04-01 - 2012-04-07,+25%
2012-04-08 - 2012-04-14,+13%
2012-04-15 - 2012-04-21,+22%
2012-04-22 - 2012-04-28,+25%
2012-04-29 - 2012-05-05,+31%
2012-05-06 - 2012-05-12,+38%
2012-05-13 - 2012-05-19,+41%
2012-05-20 - 2012-05-26,+44%
2012-05-27 - 2012-06-02,+31%
2012-06-03 - 2012-06-09,+28%
2012-06-10 - 2012-06-16,+28%
2012-06-17 - 2012-06-23,+19%
2012-06-24 - 2012-06-30,+22%
2012-07-01 - 2012-07-07,+47%
2012-07-08 - 2012-07-14,+56%
2012-07-15 - 2012-07-21,+66%
2012-07-22 - 2012-07-28,+34%
2012-07-29 - 2012-08-04,+25%
2012-08-05 - 2012-08-11,+50%
2012-08-12 - 2012-08-18,+47%
2012-08-19 - 2012-08-25,+47%
2012-08-26 - 2012-09-01,+38%
2012-09-02 - 2012-09-08,+25%
2012-09-09 - 2012-09-15,+22%
2012-09-16 - 2012-09-22,+25%
2012-09-23 - 2012-09-29,+22%
2012-09-30 - 2012-10-06,+13%
2012-10-07 - 2012-10-13,+9%
2012-10-14 - 2012-10-20,+6%
2012-10-21 - 2012-10-27,+3%
2012-10-28 - 2012-11-03,-12%
2012-11-04 - 2012-11-10,-16%
2012-11-11 - 2012-11-17,-19%
2012-11-18 - 2012-11-24,-9%
2012-11-25 - 2012-12-01, 



Top searches
bici,100
mtb,50
bike,45
biciclette,30
bicicletta,30
ciclismo,30
giro,20
itinerari,15
bici corsa,15
tour de france,15
percorsi,10
bici da corsa,10
bianchi,10
mountain bike,10
specialized,10
shimano,10
forum mtb,10
cannondale,10
scott,5
gambacicli,5



Rising searches
forum mtb,+700%
bici usate,+170%
bici,+90%
bici da corsa,+80%
gambacicli,+80%
bici corsa,+70%
mtb,+50%



