Web Search Interest
Italy; 2004 - present

Interest over time
Week,Web Portals
2010-05-09 - 2010-05-15,-36%
2010-05-16 - 2010-05-22,-38%
2010-05-23 - 2010-05-29,-35%
2010-05-30 - 2010-06-05,-35%
2010-06-06 - 2010-06-12,-32%
2010-06-13 - 2010-06-19,-35%
2010-06-20 - 2010-06-26,-32%
2010-06-27 - 2010-07-03,-30%
2010-07-04 - 2010-07-10,-29%
2010-07-11 - 2010-07-17,-38%
2010-07-18 - 2010-07-24,-49%
2010-07-25 - 2010-07-31,-52%
2010-08-01 - 2010-08-07,-54%
2010-08-08 - 2010-08-14,-51%
2010-08-15 - 2010-08-21,-52%
2010-08-22 - 2010-08-28,-49%
2010-08-29 - 2010-09-04,-54%
2010-09-05 - 2010-09-11,-55%
2010-09-12 - 2010-09-18,-55%
2010-09-19 - 2010-09-25,-55%
2010-09-26 - 2010-10-02,-54%
2010-10-03 - 2010-10-09,-51%
2010-10-10 - 2010-10-16,-52%
2010-10-17 - 2010-10-23,-52%
2010-10-24 - 2010-10-30,-54%
2010-10-31 - 2010-11-06,-54%
2010-11-07 - 2010-11-13,-55%
2010-11-14 - 2010-11-20,-55%
2010-11-21 - 2010-11-27,-54%
2010-11-28 - 2010-12-04,-54%
2010-12-05 - 2010-12-11,-54%
2010-12-12 - 2010-12-18,-54%
2010-12-19 - 2010-12-25,-52%
2010-12-26 - 2011-01-01,-52%
2011-01-02 - 2011-01-08,-61%
2011-01-09 - 2011-01-15,-58%
2011-01-16 - 2011-01-22,-59%
2011-01-23 - 2011-01-29,-59%
2011-01-30 - 2011-02-05,-59%
2011-02-06 - 2011-02-12,-58%
2011-02-13 - 2011-02-19,-55%
2011-02-20 - 2011-02-26,-57%
2011-02-27 - 2011-03-05,-55%
2011-03-06 - 2011-03-12,-57%
2011-03-13 - 2011-03-19,-55%
2011-03-20 - 2011-03-26,-55%
2011-03-27 - 2011-04-02,-55%
2011-04-03 - 2011-04-09,-54%
2011-04-10 - 2011-04-16,-54%
2011-04-17 - 2011-04-23,-51%
2011-04-24 - 2011-04-30,-54%
2011-05-01 - 2011-05-07,-54%
2011-05-08 - 2011-05-14,-52%
2011-05-15 - 2011-05-21,-51%
2011-05-22 - 2011-05-28,-51%
2011-05-29 - 2011-06-04,-46%
2011-06-05 - 2011-06-11,-49%
2011-06-12 - 2011-06-18,-49%
2011-06-19 - 2011-06-25,-42%
2011-06-26 - 2011-07-02,-43%
2011-07-03 - 2011-07-09,-42%
2011-07-10 - 2011-07-16,-43%
2011-07-17 - 2011-07-23,-41%
2011-07-24 - 2011-07-30,-43%
2011-07-31 - 2011-08-06,-42%
2011-08-07 - 2011-08-13,-42%
2011-08-14 - 2011-08-20,-42%
2011-08-21 - 2011-08-27,-42%
2011-08-28 - 2011-09-03,-42%
2011-09-04 - 2011-09-10,-42%
2011-09-11 - 2011-09-17,-41%
2011-09-18 - 2011-09-24,-39%
2011-09-25 - 2011-10-01,-38%
2011-10-02 - 2011-10-08,-39%
2011-10-09 - 2011-10-15,-46%
2011-10-16 - 2011-10-22,-52%
2011-10-23 - 2011-10-29,-57%
2011-10-30 - 2011-11-05,-57%
2011-11-06 - 2011-11-12,-49%
2011-11-13 - 2011-11-19,-48%
2011-11-20 - 2011-11-26,-29%
2011-11-27 - 2011-12-03,-29%
2011-12-04 - 2011-12-10,-32%
2011-12-11 - 2011-12-17,-32%
2011-12-18 - 2011-12-24,-36%
2011-12-25 - 2011-12-31,-36%
2012-01-01 - 2012-01-07,-33%
2012-01-08 - 2012-01-14,-35%
2012-01-15 - 2012-01-21,-33%
2012-01-22 - 2012-01-28,-33%
2012-01-29 - 2012-02-04,-36%
2012-02-05 - 2012-02-11,-39%
2012-02-12 - 2012-02-18,-39%
2012-02-19 - 2012-02-25,-38%
2012-02-26 - 2012-03-03,-39%
2012-03-04 - 2012-03-10,-39%
2012-03-11 - 2012-03-17,-39%
2012-03-18 - 2012-03-24,-38%
2012-03-25 - 2012-03-31,-36%
2012-04-01 - 2012-04-07,-35%
2012-04-08 - 2012-04-14,-36%
2012-04-15 - 2012-04-21,-36%
2012-04-22 - 2012-04-28,-33%
2012-04-29 - 2012-05-05,-33%
2012-05-06 - 2012-05-12,-35%
2012-05-13 - 2012-05-19,-38%
2012-05-20 - 2012-05-26,-45%
2012-05-27 - 2012-06-02,-45%
2012-06-03 - 2012-06-09,-51%
2012-06-10 - 2012-06-16,-55%
2012-06-17 - 2012-06-23,-54%
2012-06-24 - 2012-06-30,-54%
2012-07-01 - 2012-07-07,-54%
2012-07-08 - 2012-07-14,-52%
2012-07-15 - 2012-07-21,-55%
2012-07-22 - 2012-07-28,-52%
2012-07-29 - 2012-08-04,-52%
2012-08-05 - 2012-08-11,-55%
2012-08-12 - 2012-08-18,-55%
2012-08-19 - 2012-08-25,-57%
2012-08-26 - 2012-09-01,-58%
2012-09-02 - 2012-09-08,-55%
2012-09-09 - 2012-09-15,-54%
2012-09-16 - 2012-09-22,-54%
2012-09-23 - 2012-09-29,-46%
2012-09-30 - 2012-10-06,-46%
2012-10-07 - 2012-10-13,-42%
2012-10-14 - 2012-10-20,-39%
2012-10-21 - 2012-10-27,-52%
2012-10-28 - 2012-11-03,-58%
2012-11-04 - 2012-11-10,-57%
2012-11-11 - 2012-11-17,-59%
2012-11-18 - 2012-11-24,-52%
2012-11-25 - 2012-12-01, 



Top searches
accedi,100
supereva,55
excite,40
studenti,30
accedi hotmail,30
hotmail.it accedi,20
caserta,20
affari,20
affari italiani,20
badoo.it accedi,15
badoo.it,15
portale,15
reggia,15
caserta reggia,15
reggia di caserta,10
msn accedi,10
uniud,10
prodigy,10
pt,5
dada,5



Rising searches
accedi,Breakout
accedi hotmail,Breakout
affari,Breakout
affari italiani,Breakout
badoo.it,Breakout
badoo.it accedi,Breakout
dada,Breakout
hotmail.it accedi,Breakout
msn accedi,Breakout
uniud,+550%



