Web Search Interest
France; 2004 - present

Interest over time
Week,Software
2010-05-09 - 2010-05-15,-64%
2010-05-16 - 2010-05-22,-64%
2010-05-23 - 2010-05-29,-65%
2010-05-30 - 2010-06-05,-65%
2010-06-06 - 2010-06-12,-65%
2010-06-13 - 2010-06-19,-66%
2010-06-20 - 2010-06-26,-66%
2010-06-27 - 2010-07-03,-67%
2010-07-04 - 2010-07-10,-68%
2010-07-11 - 2010-07-17,-68%
2010-07-18 - 2010-07-24,-68%
2010-07-25 - 2010-07-31,-68%
2010-08-01 - 2010-08-07,-68%
2010-08-08 - 2010-08-14,-67%
2010-08-15 - 2010-08-21,-67%
2010-08-22 - 2010-08-28,-67%
2010-08-29 - 2010-09-04,-67%
2010-09-05 - 2010-09-11,-66%
2010-09-12 - 2010-09-18,-66%
2010-09-19 - 2010-09-25,-66%
2010-09-26 - 2010-10-02,-66%
2010-10-03 - 2010-10-09,-66%
2010-10-10 - 2010-10-16,-65%
2010-10-17 - 2010-10-23,-66%
2010-10-24 - 2010-10-30,-65%
2010-10-31 - 2010-11-06,-64%
2010-11-07 - 2010-11-13,-66%
2010-11-14 - 2010-11-20,-66%
2010-11-21 - 2010-11-27,-67%
2010-11-28 - 2010-12-04,-68%
2010-12-05 - 2010-12-11,-67%
2010-12-12 - 2010-12-18,-67%
2010-12-19 - 2010-12-25,-66%
2010-12-26 - 2011-01-01,-65%
2011-01-02 - 2011-01-08,-66%
2011-01-09 - 2011-01-15,-67%
2011-01-16 - 2011-01-22,-68%
2011-01-23 - 2011-01-29,-67%
2011-01-30 - 2011-02-05,-68%
2011-02-06 - 2011-02-12,-68%
2011-02-13 - 2011-02-19,-69%
2011-02-20 - 2011-02-26,-68%
2011-02-27 - 2011-03-05,-68%
2011-03-06 - 2011-03-12,-68%
2011-03-13 - 2011-03-19,-68%
2011-03-20 - 2011-03-26,-67%
2011-03-27 - 2011-04-02,-69%
2011-04-03 - 2011-04-09,-70%
2011-04-10 - 2011-04-16,-69%
2011-04-17 - 2011-04-23,-68%
2011-04-24 - 2011-04-30,-69%
2011-05-01 - 2011-05-07,-70%
2011-05-08 - 2011-05-14,-69%
2011-05-15 - 2011-05-21,-71%
2011-05-22 - 2011-05-28,-70%
2011-05-29 - 2011-06-04,-69%
2011-06-05 - 2011-06-11,-69%
2011-06-12 - 2011-06-18,-69%
2011-06-19 - 2011-06-25,-69%
2011-06-26 - 2011-07-02,-71%
2011-07-03 - 2011-07-09,-72%
2011-07-10 - 2011-07-16,-71%
2011-07-17 - 2011-07-23,-70%
2011-07-24 - 2011-07-30,-70%
2011-07-31 - 2011-08-06,-70%
2011-08-07 - 2011-08-13,-70%
2011-08-14 - 2011-08-20,-71%
2011-08-21 - 2011-08-27,-69%
2011-08-28 - 2011-09-03,-68%
2011-09-04 - 2011-09-10,-69%
2011-09-11 - 2011-09-17,-69%
2011-09-18 - 2011-09-24,-68%
2011-09-25 - 2011-10-01,-68%
2011-10-02 - 2011-10-08,-68%
2011-10-09 - 2011-10-15,-67%
2011-10-16 - 2011-10-22,-66%
2011-10-23 - 2011-10-29,-67%
2011-10-30 - 2011-11-05,-68%
2011-11-06 - 2011-11-12,-67%
2011-11-13 - 2011-11-19,-68%
2011-11-20 - 2011-11-26,-68%
2011-11-27 - 2011-12-03,-69%
2011-12-04 - 2011-12-10,-69%
2011-12-11 - 2011-12-17,-69%
2011-12-18 - 2011-12-24,-68%
2011-12-25 - 2011-12-31,-65%
2012-01-01 - 2012-01-07,-68%
2012-01-08 - 2012-01-14,-69%
2012-01-15 - 2012-01-21,-68%
2012-01-22 - 2012-01-28,-67%
2012-01-29 - 2012-02-04,-68%
2012-02-05 - 2012-02-11,-69%
2012-02-12 - 2012-02-18,-68%
2012-02-19 - 2012-02-25,-67%
2012-02-26 - 2012-03-03,-68%
2012-03-04 - 2012-03-10,-68%
2012-03-11 - 2012-03-17,-70%
2012-03-18 - 2012-03-24,-69%
2012-03-25 - 2012-03-31,-70%
2012-04-01 - 2012-04-07,-70%
2012-04-08 - 2012-04-14,-70%
2012-04-15 - 2012-04-21,-70%
2012-04-22 - 2012-04-28,-71%
2012-04-29 - 2012-05-05,-71%
2012-05-06 - 2012-05-12,-71%
2012-05-13 - 2012-05-19,-72%
2012-05-20 - 2012-05-26,-71%
2012-05-27 - 2012-06-02,-71%
2012-06-03 - 2012-06-09,-71%
2012-06-10 - 2012-06-16,-72%
2012-06-17 - 2012-06-23,-72%
2012-06-24 - 2012-06-30,-71%
2012-07-01 - 2012-07-07,-72%
2012-07-08 - 2012-07-14,-71%
2012-07-15 - 2012-07-21,-72%
2012-07-22 - 2012-07-28,-72%
2012-07-29 - 2012-08-04,-72%
2012-08-05 - 2012-08-11,-72%
2012-08-12 - 2012-08-18,-72%
2012-08-19 - 2012-08-25,-72%
2012-08-26 - 2012-09-01,-70%
2012-09-02 - 2012-09-08,-70%
2012-09-09 - 2012-09-15,-70%
2012-09-16 - 2012-09-22,-69%
2012-09-23 - 2012-09-29,-68%
2012-09-30 - 2012-10-06,-70%
2012-10-07 - 2012-10-13,-69%
2012-10-14 - 2012-10-20,-69%
2012-10-21 - 2012-10-27,-69%
2012-10-28 - 2012-11-03,-71%
2012-11-04 - 2012-11-10,-70%
2012-11-11 - 2012-11-17,-70%
2012-11-18 - 2012-11-24,-71%
2012-11-25 - 2012-12-01, 



Top searches
windows,100
logiciel,80
telecharger,80
mac,60
firefox,50
google,50
vlc,40
adobe,40
free,35
ubuntu,35
vista,35
linux,30
photoshop,30
chrome,25
excel,25
convertir,25
itunes,25
word,25
clubic,25
microsoft,25



Rising searches
chrome,Breakout
vista,Breakout
ubuntu,+4,300%
itunes,+650%
google,+600%
vlc,+450%
firefox,+170%
word,+110%
mac,+80%
photoshop,+80%



