Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Bowling
2009-11-01 - 2009-11-07,-45%
2009-11-08 - 2009-11-14,-47%
2009-11-15 - 2009-11-21,-42%
2009-11-22 - 2009-11-28,-61%
2009-11-29 - 2009-12-05,-56%
2009-12-06 - 2009-12-12,-56%
2009-12-13 - 2009-12-19,-52%
2009-12-20 - 2009-12-26,-58%
2009-12-27 - 2010-01-02,-41%
2010-01-03 - 2010-01-09,-56%
2010-01-10 - 2010-01-16,-56%
2010-01-17 - 2010-01-23,-54%
2010-01-24 - 2010-01-30,-53%
2010-01-31 - 2010-02-06,-57%
2010-02-07 - 2010-02-13,-52%
2010-02-14 - 2010-02-20,-57%
2010-02-21 - 2010-02-27,-57%
2010-02-28 - 2010-03-06,-51%
2010-03-07 - 2010-03-13,-55%
2010-03-14 - 2010-03-20,-53%
2010-03-21 - 2010-03-27,-56%
2010-03-28 - 2010-04-03,-43%
2010-04-04 - 2010-04-10,-58%
2010-04-11 - 2010-04-17,-51%
2010-04-18 - 2010-04-24,-53%
2010-04-25 - 2010-05-01,-50%
2010-05-02 - 2010-05-08,-57%
2010-05-09 - 2010-05-15,-59%
2010-05-16 - 2010-05-22,-52%
2010-05-23 - 2010-05-29,-49%
2010-05-30 - 2010-06-05,-52%
2010-06-06 - 2010-06-12,-46%
2010-06-13 - 2010-06-19,-61%
2010-06-20 - 2010-06-26,-59%
2010-06-27 - 2010-07-03,-58%
2010-07-04 - 2010-07-10,-66%
2010-07-11 - 2010-07-17,-50%
2010-07-18 - 2010-07-24,-64%
2010-07-25 - 2010-07-31,-57%
2010-08-01 - 2010-08-07,-68%
2010-08-08 - 2010-08-14,-53%
2010-08-15 - 2010-08-21,-59%
2010-08-22 - 2010-08-28,-56%
2010-08-29 - 2010-09-04,-59%
2010-09-05 - 2010-09-11,-58%
2010-09-12 - 2010-09-18,-63%
2010-09-19 - 2010-09-25,-73%
2010-09-26 - 2010-10-02,-69%
2010-10-03 - 2010-10-09,-53%
2010-10-10 - 2010-10-16,-48%
2010-10-17 - 2010-10-23,-58%
2010-10-24 - 2010-10-30,-52%
2010-10-31 - 2010-11-06,-60%
2010-11-07 - 2010-11-13,-53%
2010-11-14 - 2010-11-20,-49%
2010-11-21 - 2010-11-27,-63%
2010-11-28 - 2010-12-04,-56%
2010-12-05 - 2010-12-11,-58%
2010-12-12 - 2010-12-18,-65%
2010-12-19 - 2010-12-25,-56%
2010-12-26 - 2011-01-01,-48%
2011-01-02 - 2011-01-08,-61%
2011-01-09 - 2011-01-15,-70%
2011-01-16 - 2011-01-22,-63%
2011-01-23 - 2011-01-29,-60%
2011-01-30 - 2011-02-05,-66%
2011-02-06 - 2011-02-12,-55%
2011-02-13 - 2011-02-19,-64%
2011-02-20 - 2011-02-26,-61%
2011-02-27 - 2011-03-05,-54%
2011-03-06 - 2011-03-12,-62%
2011-03-13 - 2011-03-19,-61%
2011-03-20 - 2011-03-26,-52%
2011-03-27 - 2011-04-02,-50%
2011-04-03 - 2011-04-09,-63%
2011-04-10 - 2011-04-16,-71%
2011-04-17 - 2011-04-23,-55%
2011-04-24 - 2011-04-30,-72%
2011-05-01 - 2011-05-07,-65%
2011-05-08 - 2011-05-14,-63%
2011-05-15 - 2011-05-21,-63%
2011-05-22 - 2011-05-28,-65%
2011-05-29 - 2011-06-04,-69%
2011-06-05 - 2011-06-11,-64%
2011-06-12 - 2011-06-18,-64%
2011-06-19 - 2011-06-25,-67%
2011-06-26 - 2011-07-02,-67%
2011-07-03 - 2011-07-09,-64%
2011-07-10 - 2011-07-16,-65%
2011-07-17 - 2011-07-23,-63%
2011-07-24 - 2011-07-30,-66%
2011-07-31 - 2011-08-06,-59%
2011-08-07 - 2011-08-13,-60%
2011-08-14 - 2011-08-20,-65%
2011-08-21 - 2011-08-27,-65%
2011-08-28 - 2011-09-03,-56%
2011-09-04 - 2011-09-10,-60%
2011-09-11 - 2011-09-17,-71%
2011-09-18 - 2011-09-24,-62%
2011-09-25 - 2011-10-01,-67%
2011-10-02 - 2011-10-08,-67%
2011-10-09 - 2011-10-15,-68%
2011-10-16 - 2011-10-22,-69%
2011-10-23 - 2011-10-29,-69%
2011-10-30 - 2011-11-05,-66%
2011-11-06 - 2011-11-12,-73%
2011-11-13 - 2011-11-19,-64%
2011-11-20 - 2011-11-26,-66%
2011-11-27 - 2011-12-03,-67%
2011-12-04 - 2011-12-10,-66%
2011-12-11 - 2011-12-17,-69%
2011-12-18 - 2011-12-24,-73%
2011-12-25 - 2011-12-31,-65%
2012-01-01 - 2012-01-07,-69%
2012-01-08 - 2012-01-14,-68%
2012-01-15 - 2012-01-21,-63%
2012-01-22 - 2012-01-28,-62%
2012-01-29 - 2012-02-04,-65%
2012-02-05 - 2012-02-11,-65%
2012-02-12 - 2012-02-18,-67%
2012-02-19 - 2012-02-25,-58%
2012-02-26 - 2012-03-03,-69%
2012-03-04 - 2012-03-10,-59%
2012-03-11 - 2012-03-17,-67%
2012-03-18 - 2012-03-24,-61%
2012-03-25 - 2012-03-31,-62%
2012-04-01 - 2012-04-07,-63%
2012-04-08 - 2012-04-14,-68%
2012-04-15 - 2012-04-21,-54%
2012-04-22 - 2012-04-28,-65%
2012-04-29 - 2012-05-05,-64%
2012-05-06 - 2012-05-12,-69%
2012-05-13 - 2012-05-19,-63%
2012-05-20 - 2012-05-26,-71%
2012-05-27 - 2012-06-02,-63%
2012-06-03 - 2012-06-09,-67%
2012-06-10 - 2012-06-16,-72%
2012-06-17 - 2012-06-23,-70%
2012-06-24 - 2012-06-30,-66%
2012-07-01 - 2012-07-07,-65%
2012-07-08 - 2012-07-14,-61%
2012-07-15 - 2012-07-21,-58%
2012-07-22 - 2012-07-28,-69%
2012-07-29 - 2012-08-04,-59%
2012-08-05 - 2012-08-11,-64%
2012-08-12 - 2012-08-18,-68%
2012-08-19 - 2012-08-25,-62%
2012-08-26 - 2012-09-01,-62%
2012-09-02 - 2012-09-08,-69%
2012-09-09 - 2012-09-15,-65%
2012-09-16 - 2012-09-22,-67%
2012-09-23 - 2012-09-29,-66%
2012-09-30 - 2012-10-06,-69%
2012-10-07 - 2012-10-13,-57%
2012-10-14 - 2012-10-20,-67%
2012-10-21 - 2012-10-27,-74%
2012-10-28 - 2012-11-03,-69%
2012-11-04 - 2012-11-10,-74%
2012-11-11 - 2012-11-17,-68%
2012-11-18 - 2012-11-24,-62%
2012-11-25 - 2012-12-01, 



Top searches
bowling,100
powerpoint viewer,20
valverde,15
pins,15
bowling jogos,10
boling,10
power point viewer,10
jogos de bowling,10
unex,5
rg,5
booling,5
systemair,5
sidewinder,5
peña,5
pps viewer,5
bowlling,5
powerpoint 2007 viewer,5
bowling cascais,5
nijmegen,5
bowling online,5



Rising searches
boling,Breakout
bowling jogos,Breakout
jogos de bowling,Breakout
pins,Breakout
power point viewer,Breakout
rg,Breakout
unex,Breakout
valverde,Breakout
bowling,+500%
powerpoint viewer,+100%



