Web Search Interest
France; 2004 - present

Interest over time
Week,Journalism & News Industry
2009-11-01 - 2009-11-07,-50%
2009-11-08 - 2009-11-14,-55%
2009-11-15 - 2009-11-21,-50%
2009-11-22 - 2009-11-28,-50%
2009-11-29 - 2009-12-05,-55%
2009-12-06 - 2009-12-12,-55%
2009-12-13 - 2009-12-19,-55%
2009-12-20 - 2009-12-26,-55%
2009-12-27 - 2010-01-02,-55%
2010-01-03 - 2010-01-09,-50%
2010-01-10 - 2010-01-16,-41%
2010-01-17 - 2010-01-23,-50%
2010-01-24 - 2010-01-30,-50%
2010-01-31 - 2010-02-06,-45%
2010-02-07 - 2010-02-13,-45%
2010-02-14 - 2010-02-20,-50%
2010-02-21 - 2010-02-27,-50%
2010-02-28 - 2010-03-06,-50%
2010-03-07 - 2010-03-13,-32%
2010-03-14 - 2010-03-20,-45%
2010-03-21 - 2010-03-27,-36%
2010-03-28 - 2010-04-03,-45%
2010-04-04 - 2010-04-10,-45%
2010-04-11 - 2010-04-17,-45%
2010-04-18 - 2010-04-24,-45%
2010-04-25 - 2010-05-01,-50%
2010-05-02 - 2010-05-08,-41%
2010-05-09 - 2010-05-15,-45%
2010-05-16 - 2010-05-22,-50%
2010-05-23 - 2010-05-29,-55%
2010-05-30 - 2010-06-05,-41%
2010-06-06 - 2010-06-12,-41%
2010-06-13 - 2010-06-19,-45%
2010-06-20 - 2010-06-26,-45%
2010-06-27 - 2010-07-03,-50%
2010-07-04 - 2010-07-10,-50%
2010-07-11 - 2010-07-17,-45%
2010-07-18 - 2010-07-24,-55%
2010-07-25 - 2010-07-31,-55%
2010-08-01 - 2010-08-07,-55%
2010-08-08 - 2010-08-14,-59%
2010-08-15 - 2010-08-21,-55%
2010-08-22 - 2010-08-28,-50%
2010-08-29 - 2010-09-04,-55%
2010-09-05 - 2010-09-11,-50%
2010-09-12 - 2010-09-18,-50%
2010-09-19 - 2010-09-25,-50%
2010-09-26 - 2010-10-02,-45%
2010-10-03 - 2010-10-09,-50%
2010-10-10 - 2010-10-16,-50%
2010-10-17 - 2010-10-23,-41%
2010-10-24 - 2010-10-30,-45%
2010-10-31 - 2010-11-06,-41%
2010-11-07 - 2010-11-13,-41%
2010-11-14 - 2010-11-20,-41%
2010-11-21 - 2010-11-27,-27%
2010-11-28 - 2010-12-04,-45%
2010-12-05 - 2010-12-11,-45%
2010-12-12 - 2010-12-18,-45%
2010-12-19 - 2010-12-25,-41%
2010-12-26 - 2011-01-01,-36%
2011-01-02 - 2011-01-08,-36%
2011-01-09 - 2011-01-15,-36%
2011-01-16 - 2011-01-22,-36%
2011-01-23 - 2011-01-29,-41%
2011-01-30 - 2011-02-05,-45%
2011-02-06 - 2011-02-12,-41%
2011-02-13 - 2011-02-19,-45%
2011-02-20 - 2011-02-26,-45%
2011-02-27 - 2011-03-05,-45%
2011-03-06 - 2011-03-12,-45%
2011-03-13 - 2011-03-19,-41%
2011-03-20 - 2011-03-26,-45%
2011-03-27 - 2011-04-02,-50%
2011-04-03 - 2011-04-09,-50%
2011-04-10 - 2011-04-16,-55%
2011-04-17 - 2011-04-23,-55%
2011-04-24 - 2011-04-30,-55%
2011-05-01 - 2011-05-07,-50%
2011-05-08 - 2011-05-14,-50%
2011-05-15 - 2011-05-21,-41%
2011-05-22 - 2011-05-28,-45%
2011-05-29 - 2011-06-04,-50%
2011-06-05 - 2011-06-11,-45%
2011-06-12 - 2011-06-18,-50%
2011-06-19 - 2011-06-25,-50%
2011-06-26 - 2011-07-02,-45%
2011-07-03 - 2011-07-09,-55%
2011-07-10 - 2011-07-16,-45%
2011-07-17 - 2011-07-23,-45%
2011-07-24 - 2011-07-30,-55%
2011-07-31 - 2011-08-06,-55%
2011-08-07 - 2011-08-13,-55%
2011-08-14 - 2011-08-20,-55%
2011-08-21 - 2011-08-27,-55%
2011-08-28 - 2011-09-03,-50%
2011-09-04 - 2011-09-10,-41%
2011-09-11 - 2011-09-17,-41%
2011-09-18 - 2011-09-24,-45%
2011-09-25 - 2011-10-01,-41%
2011-10-02 - 2011-10-08,-45%
2011-10-09 - 2011-10-15,-32%
2011-10-16 - 2011-10-22,-41%
2011-10-23 - 2011-10-29,-41%
2011-10-30 - 2011-11-05,-41%
2011-11-06 - 2011-11-12,-41%
2011-11-13 - 2011-11-19,-41%
2011-11-20 - 2011-11-26,-41%
2011-11-27 - 2011-12-03,-45%
2011-12-04 - 2011-12-10,-45%
2011-12-11 - 2011-12-17,-41%
2011-12-18 - 2011-12-24,-41%
2011-12-25 - 2011-12-31,-45%
2012-01-01 - 2012-01-07,-41%
2012-01-08 - 2012-01-14,-45%
2012-01-15 - 2012-01-21,-41%
2012-01-22 - 2012-01-28,-45%
2012-01-29 - 2012-02-04,-45%
2012-02-05 - 2012-02-11,-45%
2012-02-12 - 2012-02-18,-41%
2012-02-19 - 2012-02-25,-36%
2012-02-26 - 2012-03-03,-27%
2012-03-04 - 2012-03-10,-41%
2012-03-11 - 2012-03-17,-36%
2012-03-18 - 2012-03-24,-41%
2012-03-25 - 2012-03-31,-41%
2012-04-01 - 2012-04-07,-45%
2012-04-08 - 2012-04-14,-50%
2012-04-15 - 2012-04-21,-45%
2012-04-22 - 2012-04-28,-41%
2012-04-29 - 2012-05-05,-41%
2012-05-06 - 2012-05-12,-32%
2012-05-13 - 2012-05-19,-32%
2012-05-20 - 2012-05-26,-36%
2012-05-27 - 2012-06-02,-14%
2012-06-03 - 2012-06-09,-27%
2012-06-10 - 2012-06-16,+27%
2012-06-17 - 2012-06-23,-18%
2012-06-24 - 2012-06-30,-41%
2012-07-01 - 2012-07-07,-45%
2012-07-08 - 2012-07-14,-41%
2012-07-15 - 2012-07-21,-36%
2012-07-22 - 2012-07-28,-45%
2012-07-29 - 2012-08-04,-50%
2012-08-05 - 2012-08-11,-50%
2012-08-12 - 2012-08-18,-45%
2012-08-19 - 2012-08-25,-45%
2012-08-26 - 2012-09-01,-41%
2012-09-02 - 2012-09-08,-36%
2012-09-09 - 2012-09-15,-27%
2012-09-16 - 2012-09-22,-41%
2012-09-23 - 2012-09-29,-41%
2012-09-30 - 2012-10-06,-32%
2012-10-07 - 2012-10-13,-41%
2012-10-14 - 2012-10-20,-41%
2012-10-21 - 2012-10-27,-45%
2012-10-28 - 2012-11-03,-45%
2012-11-04 - 2012-11-10,-41%
2012-11-11 - 2012-11-17,-45%
2012-11-18 - 2012-11-24,+41%
2012-11-25 - 2012-12-01, 



Top searches
pulvar,100
journalisme,85
audrey pulvar,80
journaliste,75
claire chazal,60
presentatrice,60
marie drucker,60
ferrari laurence,60
erwan,50
gilardi,45
animatrice,45
ppda,35
sophie davant,35
thierry gilardi,35
eolas,30
baroin,25
alessandra sublet,20
france presse,20
maitre eolas,20
pcm,20



Rising searches
pulvar,+1,100%
audrey pulvar,+750%
marie drucker,+350%
ppda,+350%
ferrari laurence,+250%
gilardi,+250%
thierry gilardi,+250%
claire chazal,+130%
presentatrice,+110%
sophie davant,+60%



