Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Events & Listings
2009-11-01 - 2009-11-07,+54%
2009-11-08 - 2009-11-14,+73%
2009-11-15 - 2009-11-21,+77%
2009-11-22 - 2009-11-28,+73%
2009-11-29 - 2009-12-05,+73%
2009-12-06 - 2009-12-12,+69%
2009-12-13 - 2009-12-19,+146%
2009-12-20 - 2009-12-26,+285%
2009-12-27 - 2010-01-02,+273%
2010-01-03 - 2010-01-09,+169%
2010-01-10 - 2010-01-16,+123%
2010-01-17 - 2010-01-23,+112%
2010-01-24 - 2010-01-30,+88%
2010-01-31 - 2010-02-06,+77%
2010-02-07 - 2010-02-13,+138%
2010-02-14 - 2010-02-20,+200%
2010-02-21 - 2010-02-27,+88%
2010-02-28 - 2010-03-06,+112%
2010-03-07 - 2010-03-13,+100%
2010-03-14 - 2010-03-20,+100%
2010-03-21 - 2010-03-27,+81%
2010-03-28 - 2010-04-03,+112%
2010-04-04 - 2010-04-10,+96%
2010-04-11 - 2010-04-17,+73%
2010-04-18 - 2010-04-24,+81%
2010-04-25 - 2010-05-01,+138%
2010-05-02 - 2010-05-08,+104%
2010-05-09 - 2010-05-15,+81%
2010-05-16 - 2010-05-22,+85%
2010-05-23 - 2010-05-29,+77%
2010-05-30 - 2010-06-05,+81%
2010-06-06 - 2010-06-12,+73%
2010-06-13 - 2010-06-19,+92%
2010-06-20 - 2010-06-26,+73%
2010-06-27 - 2010-07-03,+127%
2010-07-04 - 2010-07-10,+108%
2010-07-11 - 2010-07-17,+131%
2010-07-18 - 2010-07-24,+154%
2010-07-25 - 2010-07-31,+185%
2010-08-01 - 2010-08-07,+181%
2010-08-08 - 2010-08-14,+154%
2010-08-15 - 2010-08-21,+119%
2010-08-22 - 2010-08-28,+100%
2010-08-29 - 2010-09-04,+81%
2010-09-05 - 2010-09-11,+69%
2010-09-12 - 2010-09-18,+58%
2010-09-19 - 2010-09-25,+77%
2010-09-26 - 2010-10-02,+69%
2010-10-03 - 2010-10-09,+58%
2010-10-10 - 2010-10-16,+65%
2010-10-17 - 2010-10-23,+65%
2010-10-24 - 2010-10-30,+69%
2010-10-31 - 2010-11-06,+54%
2010-11-07 - 2010-11-13,+50%
2010-11-14 - 2010-11-20,+58%
2010-11-21 - 2010-11-27,+50%
2010-11-28 - 2010-12-04,+50%
2010-12-05 - 2010-12-11,+58%
2010-12-12 - 2010-12-18,+81%
2010-12-19 - 2010-12-25,+138%
2010-12-26 - 2011-01-01,+131%
2011-01-02 - 2011-01-08,+69%
2011-01-09 - 2011-01-15,+54%
2011-01-16 - 2011-01-22,+58%
2011-01-23 - 2011-01-29,+54%
2011-01-30 - 2011-02-05,+142%
2011-02-06 - 2011-02-12,+85%
2011-02-13 - 2011-02-19,+65%
2011-02-20 - 2011-02-26,+65%
2011-02-27 - 2011-03-05,+69%
2011-03-06 - 2011-03-12,+65%
2011-03-13 - 2011-03-19,+31%
2011-03-20 - 2011-03-26,+35%
2011-03-27 - 2011-04-02,+35%
2011-04-03 - 2011-04-09,+62%
2011-04-10 - 2011-04-16,+58%
2011-04-17 - 2011-04-23,+81%
2011-04-24 - 2011-04-30,+65%
2011-05-01 - 2011-05-07,+54%
2011-05-08 - 2011-05-14,+58%
2011-05-15 - 2011-05-21,+58%
2011-05-22 - 2011-05-28,+50%
2011-05-29 - 2011-06-04,+77%
2011-06-05 - 2011-06-11,+69%
2011-06-12 - 2011-06-18,+65%
2011-06-19 - 2011-06-25,+73%
2011-06-26 - 2011-07-02,+127%
2011-07-03 - 2011-07-09,+104%
2011-07-10 - 2011-07-16,+131%
2011-07-17 - 2011-07-23,+123%
2011-07-24 - 2011-07-30,+115%
2011-07-31 - 2011-08-06,+112%
2011-08-07 - 2011-08-13,+119%
2011-08-14 - 2011-08-20,+112%
2011-08-21 - 2011-08-27,+88%
2011-08-28 - 2011-09-03,+73%
2011-09-04 - 2011-09-10,+65%
2011-09-11 - 2011-09-17,+85%
2011-09-18 - 2011-09-24,+62%
2011-09-25 - 2011-10-01,+88%
2011-10-02 - 2011-10-08,+92%
2011-10-09 - 2011-10-15,+65%
2011-10-16 - 2011-10-22,+85%
2011-10-23 - 2011-10-29,+88%
2011-10-30 - 2011-11-05,+88%
2011-11-06 - 2011-11-12,+73%
2011-11-13 - 2011-11-19,+65%
2011-11-20 - 2011-11-26,+65%
2011-11-27 - 2011-12-03,+54%
2011-12-04 - 2011-12-10,+46%
2011-12-11 - 2011-12-17,+73%
2011-12-18 - 2011-12-24,+123%
2011-12-25 - 2011-12-31,+142%
2012-01-01 - 2012-01-07,+96%
2012-01-08 - 2012-01-14,+77%
2012-01-15 - 2012-01-21,+85%
2012-01-22 - 2012-01-28,+204%
2012-01-29 - 2012-02-04,+81%
2012-02-05 - 2012-02-11,+81%
2012-02-12 - 2012-02-18,+77%
2012-02-19 - 2012-02-25,+62%
2012-02-26 - 2012-03-03,+65%
2012-03-04 - 2012-03-10,+54%
2012-03-11 - 2012-03-17,+62%
2012-03-18 - 2012-03-24,+62%
2012-03-25 - 2012-03-31,+69%
2012-04-01 - 2012-04-07,+112%
2012-04-08 - 2012-04-14,+92%
2012-04-15 - 2012-04-21,+58%
2012-04-22 - 2012-04-28,+88%
2012-04-29 - 2012-05-05,+92%
2012-05-06 - 2012-05-12,+65%
2012-05-13 - 2012-05-19,+69%
2012-05-20 - 2012-05-26,+73%
2012-05-27 - 2012-06-02,+73%
2012-06-03 - 2012-06-09,+92%
2012-06-10 - 2012-06-16,+131%
2012-06-17 - 2012-06-23,+115%
2012-06-24 - 2012-06-30,+112%
2012-07-01 - 2012-07-07,+123%
2012-07-08 - 2012-07-14,+96%
2012-07-15 - 2012-07-21,+119%
2012-07-22 - 2012-07-28,+104%
2012-07-29 - 2012-08-04,+100%
2012-08-05 - 2012-08-11,+88%
2012-08-12 - 2012-08-18,+85%
2012-08-19 - 2012-08-25,+73%
2012-08-26 - 2012-09-01,+58%
2012-09-02 - 2012-09-08,+50%
2012-09-09 - 2012-09-15,+54%
2012-09-16 - 2012-09-22,+58%
2012-09-23 - 2012-09-29,+58%
2012-09-30 - 2012-10-06,+81%
2012-10-07 - 2012-10-13,+42%
2012-10-14 - 2012-10-20,+27%
2012-10-21 - 2012-10-27,+38%
2012-10-28 - 2012-11-03,+50%
2012-11-04 - 2012-11-10,+42%
2012-11-11 - 2012-11-17,+46%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
cinema,100
ua,45
amc,25
hong kong cinema,20
ua cinema,20
戲院,20
broadway,20
mcl,20
broadway cinema,20
ifc,20
ifc cinema,15
grand cinema,15
hk cinema,15
amc cinema,10
pacific place,10
嘉禾,10
mcl cinema,10
酒吧,10
festival,10
shanghai,10



Rising searches
grand cinema,Breakout
mcl,+450%
pacific place,+300%
amc,+250%
amc cinema,+250%
broadway cinema,+250%
hk cinema,+200%
broadway,+160%
cinema,+150%
ua cinema,+130%



