Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Water Sports
2010-05-02 - 2010-05-08,-61%
2010-05-09 - 2010-05-15,-52%
2010-05-16 - 2010-05-22,-52%
2010-05-23 - 2010-05-29,-43%
2010-05-30 - 2010-06-05,-61%
2010-06-06 - 2010-06-12,-39%
2010-06-13 - 2010-06-19,-61%
2010-06-20 - 2010-06-26,-61%
2010-06-27 - 2010-07-03,-48%
2010-07-04 - 2010-07-10,-48%
2010-07-11 - 2010-07-17,-52%
2010-07-18 - 2010-07-24,-52%
2010-07-25 - 2010-07-31,-26%
2010-08-01 - 2010-08-07,-26%
2010-08-08 - 2010-08-14,-17%
2010-08-15 - 2010-08-21,-35%
2010-08-22 - 2010-08-28,-35%
2010-08-29 - 2010-09-04,-57%
2010-09-05 - 2010-09-11,-52%
2010-09-12 - 2010-09-18,-57%
2010-09-19 - 2010-09-25,-57%
2010-09-26 - 2010-10-02,-65%
2010-10-03 - 2010-10-09,-61%
2010-10-10 - 2010-10-16,-61%
2010-10-17 - 2010-10-23,-61%
2010-10-24 - 2010-10-30,-57%
2010-10-31 - 2010-11-06,-48%
2010-11-07 - 2010-11-13,-57%
2010-11-14 - 2010-11-20,-65%
2010-11-21 - 2010-11-27,-61%
2010-11-28 - 2010-12-04,-70%
2010-12-05 - 2010-12-11,-70%
2010-12-12 - 2010-12-18,-61%
2010-12-19 - 2010-12-25,-65%
2010-12-26 - 2011-01-01,-74%
2011-01-02 - 2011-01-08,-74%
2011-01-09 - 2011-01-15,-70%
2011-01-16 - 2011-01-22,-61%
2011-01-23 - 2011-01-29,-74%
2011-01-30 - 2011-02-05,-65%
2011-02-06 - 2011-02-12,-61%
2011-02-13 - 2011-02-19,-65%
2011-02-20 - 2011-02-26,-61%
2011-02-27 - 2011-03-05,-52%
2011-03-06 - 2011-03-12,-65%
2011-03-13 - 2011-03-19,-61%
2011-03-20 - 2011-03-26,-57%
2011-03-27 - 2011-04-02,-57%
2011-04-03 - 2011-04-09,-52%
2011-04-10 - 2011-04-16,-30%
2011-04-17 - 2011-04-23,+161%
2011-04-24 - 2011-04-30,+48%
2011-05-01 - 2011-05-07,+296%
2011-05-08 - 2011-05-14,+35%
2011-05-15 - 2011-05-21,-9%
2011-05-22 - 2011-05-28,-13%
2011-05-29 - 2011-06-04,+26%
2011-06-05 - 2011-06-11,+35%
2011-06-12 - 2011-06-18,-22%
2011-06-19 - 2011-06-25,-22%
2011-06-26 - 2011-07-02,-35%
2011-07-03 - 2011-07-09,-30%
2011-07-10 - 2011-07-16,-26%
2011-07-17 - 2011-07-23,-22%
2011-07-24 - 2011-07-30,+13%
2011-07-31 - 2011-08-06,+9%
2011-08-07 - 2011-08-13,+43%
2011-08-14 - 2011-08-20,-22%
2011-08-21 - 2011-08-27,-26%
2011-08-28 - 2011-09-03,-39%
2011-09-04 - 2011-09-10,-30%
2011-09-11 - 2011-09-17,-48%
2011-09-18 - 2011-09-24,-48%
2011-09-25 - 2011-10-01,-57%
2011-10-02 - 2011-10-08,-48%
2011-10-09 - 2011-10-15,-35%
2011-10-16 - 2011-10-22,-48%
2011-10-23 - 2011-10-29,-17%
2011-10-30 - 2011-11-05,+0%
2011-11-06 - 2011-11-12,-57%
2011-11-13 - 2011-11-19,-30%
2011-11-20 - 2011-11-26,-43%
2011-11-27 - 2011-12-03,-57%
2011-12-04 - 2011-12-10,-57%
2011-12-11 - 2011-12-17,-52%
2011-12-18 - 2011-12-24,-48%
2011-12-25 - 2011-12-31,-39%
2012-01-01 - 2012-01-07,-48%
2012-01-08 - 2012-01-14,-57%
2012-01-15 - 2012-01-21,-52%
2012-01-22 - 2012-01-28,-57%
2012-01-29 - 2012-02-04,-52%
2012-02-05 - 2012-02-11,-52%
2012-02-12 - 2012-02-18,-48%
2012-02-19 - 2012-02-25,-48%
2012-02-26 - 2012-03-03,-52%
2012-03-04 - 2012-03-10,-57%
2012-03-11 - 2012-03-17,-48%
2012-03-18 - 2012-03-24,-52%
2012-03-25 - 2012-03-31,-57%
2012-04-01 - 2012-04-07,-43%
2012-04-08 - 2012-04-14,-52%
2012-04-15 - 2012-04-21,-52%
2012-04-22 - 2012-04-28,-57%
2012-04-29 - 2012-05-05,-48%
2012-05-06 - 2012-05-12,-43%
2012-05-13 - 2012-05-19,-48%
2012-05-20 - 2012-05-26,-43%
2012-05-27 - 2012-06-02,-35%
2012-06-03 - 2012-06-09,-39%
2012-06-10 - 2012-06-16,-39%
2012-06-17 - 2012-06-23,-39%
2012-06-24 - 2012-06-30,-39%
2012-07-01 - 2012-07-07,-35%
2012-07-08 - 2012-07-14,-39%
2012-07-15 - 2012-07-21,-26%
2012-07-22 - 2012-07-28,+4%
2012-07-29 - 2012-08-04,+296%
2012-08-05 - 2012-08-11,+139%
2012-08-12 - 2012-08-18,+30%
2012-08-19 - 2012-08-25,+26%
2012-08-26 - 2012-09-01,-17%
2012-09-02 - 2012-09-08,-22%
2012-09-09 - 2012-09-15,+48%
2012-09-16 - 2012-09-22,-13%
2012-09-23 - 2012-09-29,-22%
2012-09-30 - 2012-10-06,-43%
2012-10-07 - 2012-10-13,-43%
2012-10-14 - 2012-10-20,-52%
2012-10-21 - 2012-10-27,-57%
2012-10-28 - 2012-11-03,-52%
2012-11-04 - 2012-11-10,-48%
2012-11-11 - 2012-11-17,-48%
2012-11-18 - 2012-11-24,-48%
2012-11-25 - 2012-12-01, 



Top searches
troika,100
phelps,55
menorca,50
rec,45
kitesurf,45
phelps michael,45
kite,20
kite surf,10
canal mancha,10
medidas troika,10
swimming,10
canal da mancha,10
rui pedro,10
tunel mancha,10
fnc,10
tunel da mancha,10
caiaque,10
hotel menorca,5
troica,5
swim,5



Rising searches
canal da mancha,Breakout
canal mancha,Breakout
medidas troika,Breakout
phelps,Breakout
phelps michael,Breakout
rec,Breakout
rui pedro,Breakout
swimming,Breakout
troika,Breakout
tunel mancha,Breakout



