Web Search Interest
Italy; 2004 - present

Interest over time
Week,Luggage & Travel Accessories
2005-03-27 - 2005-04-02,-3%
2005-04-03 - 2005-04-09,-8%
2005-04-10 - 2005-04-16,+5%
2005-04-17 - 2005-04-23,-8%
2005-04-24 - 2005-04-30,-15%
2005-05-01 - 2005-05-07,-7%
2005-05-08 - 2005-05-14,+2%
2005-05-15 - 2005-05-21,+3%
2005-05-22 - 2005-05-28,+2%
2005-05-29 - 2005-06-04,-19%
2005-06-05 - 2005-06-11,+5%
2005-06-12 - 2005-06-18,+5%
2005-06-19 - 2005-06-25,+14%
2005-06-26 - 2005-07-02,+14%
2005-07-03 - 2005-07-09,+12%
2005-07-10 - 2005-07-16,+20%
2005-07-17 - 2005-07-23,+37%
2005-07-24 - 2005-07-30,+36%
2005-07-31 - 2005-08-06,+64%
2005-08-07 - 2005-08-13,+31%
2005-08-14 - 2005-08-20,+10%
2005-08-21 - 2005-08-27,+12%
2005-08-28 - 2005-09-03,+19%
2005-09-04 - 2005-09-10,+24%
2005-09-11 - 2005-09-17,+10%
2005-09-18 - 2005-09-24,+7%
2005-09-25 - 2005-10-01,+3%
2005-10-02 - 2005-10-08,+7%
2005-10-09 - 2005-10-15,+8%
2005-10-16 - 2005-10-22,-8%
2005-10-23 - 2005-10-29,+0%
2005-10-30 - 2005-11-05,-5%
2005-11-06 - 2005-11-12,-19%
2005-11-13 - 2005-11-19,-7%
2005-11-20 - 2005-11-26,+2%
2005-11-27 - 2005-12-03,+12%
2005-12-04 - 2005-12-10,+14%
2005-12-11 - 2005-12-17,+29%
2005-12-18 - 2005-12-24,+41%
2005-12-25 - 2005-12-31,+5%
2006-01-01 - 2006-01-07,-2%
2006-01-08 - 2006-01-14,-14%
2006-01-15 - 2006-01-21,-14%
2006-01-22 - 2006-01-28,-20%
2006-01-29 - 2006-02-04,-17%
2006-02-05 - 2006-02-11,-7%
2006-02-12 - 2006-02-18,-5%
2006-02-19 - 2006-02-25,-8%
2006-02-26 - 2006-03-04,-2%
2006-03-05 - 2006-03-11,-7%
2006-03-12 - 2006-03-18,-14%
2006-03-19 - 2006-03-25,+5%
2006-03-26 - 2006-04-01,-14%
2006-04-02 - 2006-04-08,+0%
2006-04-09 - 2006-04-15,-2%
2006-04-16 - 2006-04-22,+8%
2006-04-23 - 2006-04-29,-5%
2006-04-30 - 2006-05-06,+8%
2006-05-07 - 2006-05-13,+3%
2006-05-14 - 2006-05-20,-2%
2006-05-21 - 2006-05-27,-5%
2006-05-28 - 2006-06-03,-7%
2006-06-04 - 2006-06-10,+3%
2006-06-11 - 2006-06-17,+7%
2006-06-18 - 2006-06-24,+5%
2006-06-25 - 2006-07-01,+12%
2006-07-02 - 2006-07-08,+34%
2006-07-09 - 2006-07-15,+15%
2006-07-16 - 2006-07-22,+53%
2006-07-23 - 2006-07-29,+46%
2006-07-30 - 2006-08-05,+53%
2006-08-06 - 2006-08-12,+37%
2006-08-13 - 2006-08-19,+29%
2006-08-20 - 2006-08-26,+37%
2006-08-27 - 2006-09-02,+37%
2006-09-03 - 2006-09-09,+31%
2006-09-10 - 2006-09-16,+12%
2006-09-17 - 2006-09-23,+20%
2006-09-24 - 2006-09-30,+7%
2006-10-01 - 2006-10-07,+3%
2006-10-08 - 2006-10-14,+5%
2006-10-15 - 2006-10-21,+3%
2006-10-22 - 2006-10-28,+2%
2006-10-29 - 2006-11-04,+2%
2006-11-05 - 2006-11-11,+10%
2006-11-12 - 2006-11-18,-5%
2006-11-19 - 2006-11-25,-5%
2006-11-26 - 2006-12-02,+15%
2006-12-03 - 2006-12-09,+14%
2006-12-10 - 2006-12-16,+37%
2006-12-17 - 2006-12-23,+47%
2006-12-24 - 2006-12-30,-5%
2006-12-31 - 2007-01-06,-7%
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,-3%
2007-01-21 - 2007-01-27,-8%
2007-01-28 - 2007-02-03,-10%
2007-02-04 - 2007-02-10,-5%
2007-02-11 - 2007-02-17,-5%
2007-02-18 - 2007-02-24,-8%
2007-02-25 - 2007-03-03,+25%
2007-03-04 - 2007-03-10,+22%
2007-03-11 - 2007-03-17,+19%
2007-03-18 - 2007-03-24,+12%
2007-03-25 - 2007-03-31,+7%
2007-04-01 - 2007-04-07,+19%
2007-04-08 - 2007-04-14,+14%
2007-04-15 - 2007-04-21,+12%
2007-04-22 - 2007-04-28,+12%
2007-04-29 - 2007-05-05,-2%
2007-05-06 - 2007-05-12,+0%
2007-05-13 - 2007-05-19,+10%
2007-05-20 - 2007-05-26,+3%
2007-05-27 - 2007-06-02,+0%
2007-06-03 - 2007-06-09,+12%
2007-06-10 - 2007-06-16,+17%
2007-06-17 - 2007-06-23,+22%
2007-06-24 - 2007-06-30,+22%
2007-07-01 - 2007-07-07,+34%
2007-07-08 - 2007-07-14,+49%
2007-07-15 - 2007-07-21,+39%
2007-07-22 - 2007-07-28,+54%
2007-07-29 - 2007-08-04,+59%
2007-08-05 - 2007-08-11,+69%
2007-08-12 - 2007-08-18,+39%
2007-08-19 - 2007-08-25,+25%
2007-08-26 - 2007-09-01,+49%
2007-09-02 - 2007-09-08,+46%
2007-09-09 - 2007-09-15,+42%
2007-09-16 - 2007-09-22,+29%
2007-09-23 - 2007-09-29,+22%
2007-09-30 - 2007-10-06,+31%
2007-10-07 - 2007-10-13,+12%
2007-10-14 - 2007-10-20,+20%
2007-10-21 - 2007-10-27,+3%
2007-10-28 - 2007-11-03,+2%
2007-11-04 - 2007-11-10,+7%
2007-11-11 - 2007-11-17,+8%
2007-11-18 - 2007-11-24,+15%
2007-11-25 - 2007-12-01,+24%
2007-12-02 - 2007-12-08,+24%
2007-12-09 - 2007-12-15,+42%
2007-12-16 - 2007-12-22,+61%
2007-12-23 - 2007-12-29,+15%
2007-12-30 - 2008-01-05,+0%
2008-01-06 - 2008-01-12,+5%
2008-01-13 - 2008-01-19,+2%
2008-01-20 - 2008-01-26,-8%
2008-01-27 - 2008-02-02,-3%
2008-02-03 - 2008-02-09,-3%
2008-02-10 - 2008-02-16,-5%
2008-02-17 - 2008-02-23,-7%
2008-02-24 - 2008-03-01,+0%
2008-03-02 - 2008-03-08,+2%
2008-03-09 - 2008-03-15,+3%
2008-03-16 - 2008-03-22,+7%
2008-03-23 - 2008-03-29,+0%
2008-03-30 - 2008-04-05,+7%
2008-04-06 - 2008-04-12,+5%
2008-04-13 - 2008-04-19,+3%
2008-04-20 - 2008-04-26,+3%
2008-04-27 - 2008-05-03,+5%
2008-05-04 - 2008-05-10,+12%
2008-05-11 - 2008-05-17,+2%
2008-05-18 - 2008-05-24,+5%
2008-05-25 - 2008-05-31,-2%
2008-06-01 - 2008-06-07,+0%
2008-06-08 - 2008-06-14,+8%
2008-06-15 - 2008-06-21,+14%
2008-06-22 - 2008-06-28,+19%
2008-06-29 - 2008-07-05,+25%
2008-07-06 - 2008-07-12,+37%
2008-07-13 - 2008-07-19,+31%
2008-07-20 - 2008-07-26,+42%
2008-07-27 - 2008-08-02,+56%
2008-08-03 - 2008-08-09,+44%
2008-08-10 - 2008-08-16,+32%
2008-08-17 - 2008-08-23,+34%
2008-08-24 - 2008-08-30,+32%
2008-08-31 - 2008-09-06,+36%
2008-09-07 - 2008-09-13,+25%
2008-09-14 - 2008-09-20,+22%
2008-09-21 - 2008-09-27,+8%
2008-09-28 - 2008-10-04,+7%
2008-10-05 - 2008-10-11,+0%
2008-10-12 - 2008-10-18,-5%
2008-10-19 - 2008-10-25,+2%
2008-10-26 - 2008-11-01,-5%
2008-11-02 - 2008-11-08,-10%
2008-11-09 - 2008-11-15,-7%
2008-11-16 - 2008-11-22,+0%
2008-11-23 - 2008-11-29,+3%
2008-11-30 - 2008-12-06,+15%
2008-12-07 - 2008-12-13,+22%
2008-12-14 - 2008-12-20,+29%
2008-12-21 - 2008-12-27,+8%
2008-12-28 - 2009-01-03,+2%
2009-01-04 - 2009-01-10,-12%
2009-01-11 - 2009-01-17,-3%
2009-01-18 - 2009-01-24,-19%
2009-01-25 - 2009-01-31,-14%
2009-02-01 - 2009-02-07,-12%
2009-02-08 - 2009-02-14,-7%
2009-02-15 - 2009-02-21,-20%
2009-02-22 - 2009-02-28,-7%
2009-03-01 - 2009-03-07,+2%
2009-03-08 - 2009-03-14,+2%
2009-03-15 - 2009-03-21,-2%
2009-03-22 - 2009-03-28,-3%
2009-03-29 - 2009-04-04,-2%
2009-04-05 - 2009-04-11,-7%
2009-04-12 - 2009-04-18,+3%
2009-04-19 - 2009-04-25,+0%
2009-04-26 - 2009-05-02,-5%
2009-05-03 - 2009-05-09,+7%
2009-05-10 - 2009-05-16,+0%
2009-05-17 - 2009-05-23,+2%
2009-05-24 - 2009-05-30,-2%
2009-05-31 - 2009-06-06,-7%
2009-06-07 - 2009-06-13,-7%
2009-06-14 - 2009-06-20,-2%
2009-06-21 - 2009-06-27,+10%
2009-06-28 - 2009-07-04,+14%
2009-07-05 - 2009-07-11,+22%
2009-07-12 - 2009-07-18,+25%
2009-07-19 - 2009-07-25,+44%
2009-07-26 - 2009-08-01,+42%
2009-08-02 - 2009-08-08,+46%
2009-08-09 - 2009-08-15,+32%
2009-08-16 - 2009-08-22,+25%
2009-08-23 - 2009-08-29,+25%
2009-08-30 - 2009-09-05,+27%
2009-09-06 - 2009-09-12,+22%
2009-09-13 - 2009-09-19,+14%
2009-09-20 - 2009-09-26,+7%
2009-09-27 - 2009-10-03,+0%
2009-10-04 - 2009-10-10,+0%
2009-10-11 - 2009-10-17,+5%
2009-10-18 - 2009-10-24,+2%
2009-10-25 - 2009-10-31,-8%
2009-11-01 - 2009-11-07,-5%
2009-11-08 - 2009-11-14,-3%
2009-11-15 - 2009-11-21,-3%
2009-11-22 - 2009-11-28,+8%
2009-11-29 - 2009-12-05,+10%
2009-12-06 - 2009-12-12,+32%
2009-12-13 - 2009-12-19,+37%
2009-12-20 - 2009-12-26,+27%
2009-12-27 - 2010-01-02,-5%
2010-01-03 - 2010-01-09,+2%
2010-01-10 - 2010-01-16,-7%
2010-01-17 - 2010-01-23,-14%
2010-01-24 - 2010-01-30,-17%
2010-01-31 - 2010-02-06,-8%
2010-02-07 - 2010-02-13,-12%
2010-02-14 - 2010-02-20,-8%
2010-02-21 - 2010-02-27,-5%
2010-02-28 - 2010-03-06,+0%
2010-03-07 - 2010-03-13,+22%
2010-03-14 - 2010-03-20,+15%
2010-03-21 - 2010-03-27,+17%
2010-03-28 - 2010-04-03,+2%
2010-04-04 - 2010-04-10,+0%
2010-04-11 - 2010-04-17,+5%
2010-04-18 - 2010-04-24,+5%
2010-04-25 - 2010-05-01,+8%
2010-05-02 - 2010-05-08,+15%
2010-05-09 - 2010-05-15,+7%
2010-05-16 - 2010-05-22,+17%
2010-05-23 - 2010-05-29,+7%
2010-05-30 - 2010-06-05,+0%
2010-06-06 - 2010-06-12,+7%
2010-06-13 - 2010-06-19,+5%
2010-06-20 - 2010-06-26,+2%
2010-06-27 - 2010-07-03,+14%
2010-07-04 - 2010-07-10,+24%
2010-07-11 - 2010-07-17,+24%
2010-07-18 - 2010-07-24,+36%
2010-07-25 - 2010-07-31,+47%
2010-08-01 - 2010-08-07,+42%
2010-08-08 - 2010-08-14,+31%
2010-08-15 - 2010-08-21,+31%
2010-08-22 - 2010-08-28,+22%
2010-08-29 - 2010-09-04,+34%
2010-09-05 - 2010-09-11,+22%
2010-09-12 - 2010-09-18,+8%
2010-09-19 - 2010-09-25,+5%
2010-09-26 - 2010-10-02,+3%
2010-10-03 - 2010-10-09,-2%
2010-10-10 - 2010-10-16,-8%
2010-10-17 - 2010-10-23,-5%
2010-10-24 - 2010-10-30,-3%
2010-10-31 - 2010-11-06,-8%
2010-11-07 - 2010-11-13,-5%
2010-11-14 - 2010-11-20,-8%
2010-11-21 - 2010-11-27,+3%
2010-11-28 - 2010-12-04,+10%
2010-12-05 - 2010-12-11,+15%
2010-12-12 - 2010-12-18,+25%
2010-12-19 - 2010-12-25,+20%
2010-12-26 - 2011-01-01,+0%
2011-01-02 - 2011-01-08,-2%
2011-01-09 - 2011-01-15,-2%
2011-01-16 - 2011-01-22,-14%
2011-01-23 - 2011-01-29,-17%
2011-01-30 - 2011-02-05,-8%
2011-02-06 - 2011-02-12,-8%
2011-02-13 - 2011-02-19,-12%
2011-02-20 - 2011-02-26,-8%
2011-02-27 - 2011-03-05,-3%
2011-03-06 - 2011-03-12,-7%
2011-03-13 - 2011-03-19,-10%
2011-03-20 - 2011-03-26,-5%
2011-03-27 - 2011-04-02,-5%
2011-04-03 - 2011-04-09,-3%
2011-04-10 - 2011-04-16,-3%
2011-04-17 - 2011-04-23,-8%
2011-04-24 - 2011-04-30,-7%
2011-05-01 - 2011-05-07,-3%
2011-05-08 - 2011-05-14,-3%
2011-05-15 - 2011-05-21,-10%
2011-05-22 - 2011-05-28,+0%
2011-05-29 - 2011-06-04,-5%
2011-06-05 - 2011-06-11,+2%
2011-06-12 - 2011-06-18,+2%
2011-06-19 - 2011-06-25,+12%
2011-06-26 - 2011-07-02,+15%
2011-07-03 - 2011-07-09,+27%
2011-07-10 - 2011-07-16,+31%
2011-07-17 - 2011-07-23,+37%
2011-07-24 - 2011-07-30,+51%
2011-07-31 - 2011-08-06,+47%
2011-08-07 - 2011-08-13,+41%
2011-08-14 - 2011-08-20,+29%
2011-08-21 - 2011-08-27,+34%
2011-08-28 - 2011-09-03,+41%
2011-09-04 - 2011-09-10,+27%
2011-09-11 - 2011-09-17,+17%
2011-09-18 - 2011-09-24,+12%
2011-09-25 - 2011-10-01,+14%
2011-10-02 - 2011-10-08,+3%
2011-10-09 - 2011-10-15,+7%
2011-10-16 - 2011-10-22,-7%
2011-10-23 - 2011-10-29,-10%
2011-10-30 - 2011-11-05,-5%
2011-11-06 - 2011-11-12,-5%
2011-11-13 - 2011-11-19,-5%
2011-11-20 - 2011-11-26,-3%
2011-11-27 - 2011-12-03,+7%
2011-12-04 - 2011-12-10,+17%
2011-12-11 - 2011-12-17,+19%
2011-12-18 - 2011-12-24,+24%
2011-12-25 - 2011-12-31,+8%
2012-01-01 - 2012-01-07,-10%
2012-01-08 - 2012-01-14,-12%
2012-01-15 - 2012-01-21,-7%
2012-01-22 - 2012-01-28,-10%
2012-01-29 - 2012-02-04,-17%
2012-02-05 - 2012-02-11,-14%
2012-02-12 - 2012-02-18,+0%
2012-02-19 - 2012-02-25,+0%
2012-02-26 - 2012-03-03,-3%
2012-03-04 - 2012-03-10,+7%
2012-03-11 - 2012-03-17,+0%
2012-03-18 - 2012-03-24,+7%
2012-03-25 - 2012-03-31,+0%
2012-04-01 - 2012-04-07,+7%
2012-04-08 - 2012-04-14,+7%
2012-04-15 - 2012-04-21,+8%
2012-04-22 - 2012-04-28,+3%
2012-04-29 - 2012-05-05,+2%
2012-05-06 - 2012-05-12,+2%
2012-05-13 - 2012-05-19,+5%
2012-05-20 - 2012-05-26,+0%
2012-05-27 - 2012-06-02,+2%
2012-06-03 - 2012-06-09,+8%
2012-06-10 - 2012-06-16,+0%
2012-06-17 - 2012-06-23,+8%
2012-06-24 - 2012-06-30,+12%
2012-07-01 - 2012-07-07,+22%
2012-07-08 - 2012-07-14,+27%
2012-07-15 - 2012-07-21,+34%
2012-07-22 - 2012-07-28,+39%
2012-07-29 - 2012-08-04,+47%
2012-08-05 - 2012-08-11,+47%
2012-08-12 - 2012-08-18,+37%
2012-08-19 - 2012-08-25,+34%
2012-08-26 - 2012-09-01,+36%
2012-09-02 - 2012-09-08,+29%
2012-09-09 - 2012-09-15,+24%
2012-09-16 - 2012-09-22,+14%
2012-09-23 - 2012-09-29,+14%
2012-09-30 - 2012-10-06,+5%
2012-10-07 - 2012-10-13,+2%
2012-10-14 - 2012-10-20,+10%
2012-10-21 - 2012-10-27,+0%
2012-10-28 - 2012-11-03,+2%
2012-11-04 - 2012-11-10,+7%
2012-11-11 - 2012-11-17,+3%
2012-11-18 - 2012-11-24,+7%
2012-11-25 - 2012-12-01, 



Top searches
valigie,100
zaino,75
valigia,60
carpisa,60
trolley,55
samsonite,55
roncato,50
piquadro,45
valige,45
eastpak,40
borsa viaggi,30
intimissimi,30
zaini,25
intimissimi catalogo,25
prenatal,20
segue,20
pquadro,20
canova,20
oviesse,15
victorinox,15



Rising searches
intimissimi,Breakout
intimissimi catalogo,Breakout
prenatal,Breakout
carpisa,+850%
piquadro,+400%
valigie,+180%
eastpak,+170%
valigia,+170%
trolley,+120%
zaino,+110%



