Web Search Interest
Italy; 2004 - present

Interest over time
Week,Online Media
2010-05-09 - 2010-05-15,+200%
2010-05-16 - 2010-05-22,+204%
2010-05-23 - 2010-05-29,+216%
2010-05-30 - 2010-06-05,+232%
2010-06-06 - 2010-06-12,+224%
2010-06-13 - 2010-06-19,+228%
2010-06-20 - 2010-06-26,+232%
2010-06-27 - 2010-07-03,+216%
2010-07-04 - 2010-07-10,+208%
2010-07-11 - 2010-07-17,+208%
2010-07-18 - 2010-07-24,+200%
2010-07-25 - 2010-07-31,+216%
2010-08-01 - 2010-08-07,+224%
2010-08-08 - 2010-08-14,+232%
2010-08-15 - 2010-08-21,+240%
2010-08-22 - 2010-08-28,+228%
2010-08-29 - 2010-09-04,+208%
2010-09-05 - 2010-09-11,+224%
2010-09-12 - 2010-09-18,+204%
2010-09-19 - 2010-09-25,+184%
2010-09-26 - 2010-10-02,+196%
2010-10-03 - 2010-10-09,+188%
2010-10-10 - 2010-10-16,+200%
2010-10-17 - 2010-10-23,+188%
2010-10-24 - 2010-10-30,+188%
2010-10-31 - 2010-11-06,+212%
2010-11-07 - 2010-11-13,+188%
2010-11-14 - 2010-11-20,+196%
2010-11-21 - 2010-11-27,+188%
2010-11-28 - 2010-12-04,+188%
2010-12-05 - 2010-12-11,+212%
2010-12-12 - 2010-12-18,+192%
2010-12-19 - 2010-12-25,+228%
2010-12-26 - 2011-01-01,+244%
2011-01-02 - 2011-01-08,+228%
2011-01-09 - 2011-01-15,+188%
2011-01-16 - 2011-01-22,+188%
2011-01-23 - 2011-01-29,+196%
2011-01-30 - 2011-02-05,+204%
2011-02-06 - 2011-02-12,+192%
2011-02-13 - 2011-02-19,+216%
2011-02-20 - 2011-02-26,+196%
2011-02-27 - 2011-03-05,+200%
2011-03-06 - 2011-03-12,+192%
2011-03-13 - 2011-03-19,+212%
2011-03-20 - 2011-03-26,+184%
2011-03-27 - 2011-04-02,+188%
2011-04-03 - 2011-04-09,+184%
2011-04-10 - 2011-04-16,+184%
2011-04-17 - 2011-04-23,+212%
2011-04-24 - 2011-04-30,+204%
2011-05-01 - 2011-05-07,+184%
2011-05-08 - 2011-05-14,+188%
2011-05-15 - 2011-05-21,+188%
2011-05-22 - 2011-05-28,+192%
2011-05-29 - 2011-06-04,+208%
2011-06-05 - 2011-06-11,+188%
2011-06-12 - 2011-06-18,+200%
2011-06-19 - 2011-06-25,+192%
2011-06-26 - 2011-07-02,+196%
2011-07-03 - 2011-07-09,+200%
2011-07-10 - 2011-07-16,+192%
2011-07-17 - 2011-07-23,+196%
2011-07-24 - 2011-07-30,+200%
2011-07-31 - 2011-08-06,+208%
2011-08-07 - 2011-08-13,+216%
2011-08-14 - 2011-08-20,+240%
2011-08-21 - 2011-08-27,+204%
2011-08-28 - 2011-09-03,+196%
2011-09-04 - 2011-09-10,+196%
2011-09-11 - 2011-09-17,+180%
2011-09-18 - 2011-09-24,+184%
2011-09-25 - 2011-10-01,+180%
2011-10-02 - 2011-10-08,+184%
2011-10-09 - 2011-10-15,+180%
2011-10-16 - 2011-10-22,+184%
2011-10-23 - 2011-10-29,+188%
2011-10-30 - 2011-11-05,+204%
2011-11-06 - 2011-11-12,+184%
2011-11-13 - 2011-11-19,+180%
2011-11-20 - 2011-11-26,+184%
2011-11-27 - 2011-12-03,+188%
2011-12-04 - 2011-12-10,+208%
2011-12-11 - 2011-12-17,+188%
2011-12-18 - 2011-12-24,+208%
2011-12-25 - 2011-12-31,+240%
2012-01-01 - 2012-01-07,+208%
2012-01-08 - 2012-01-14,+168%
2012-01-15 - 2012-01-21,+184%
2012-01-22 - 2012-01-28,+176%
2012-01-29 - 2012-02-04,+164%
2012-02-05 - 2012-02-11,+172%
2012-02-12 - 2012-02-18,+160%
2012-02-19 - 2012-02-25,+168%
2012-02-26 - 2012-03-03,+156%
2012-03-04 - 2012-03-10,+164%
2012-03-11 - 2012-03-17,+148%
2012-03-18 - 2012-03-24,+152%
2012-03-25 - 2012-03-31,+140%
2012-04-01 - 2012-04-07,+164%
2012-04-08 - 2012-04-14,+160%
2012-04-15 - 2012-04-21,+136%
2012-04-22 - 2012-04-28,+148%
2012-04-29 - 2012-05-05,+148%
2012-05-06 - 2012-05-12,+148%
2012-05-13 - 2012-05-19,+136%
2012-05-20 - 2012-05-26,+124%
2012-05-27 - 2012-06-02,+116%
2012-06-03 - 2012-06-09,+132%
2012-06-10 - 2012-06-16,+128%
2012-06-17 - 2012-06-23,+128%
2012-06-24 - 2012-06-30,+124%
2012-07-01 - 2012-07-07,+128%
2012-07-08 - 2012-07-14,+124%
2012-07-15 - 2012-07-21,+128%
2012-07-22 - 2012-07-28,+128%
2012-07-29 - 2012-08-04,+132%
2012-08-05 - 2012-08-11,+140%
2012-08-12 - 2012-08-18,+148%
2012-08-19 - 2012-08-25,+136%
2012-08-26 - 2012-09-01,+128%
2012-09-02 - 2012-09-08,+128%
2012-09-09 - 2012-09-15,+112%
2012-09-16 - 2012-09-22,+108%
2012-09-23 - 2012-09-29,+116%
2012-09-30 - 2012-10-06,+116%
2012-10-07 - 2012-10-13,+116%
2012-10-14 - 2012-10-20,+116%
2012-10-21 - 2012-10-27,+112%
2012-10-28 - 2012-11-03,+136%
2012-11-04 - 2012-11-10,+116%
2012-11-11 - 2012-11-17,+120%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
youtube,100
giochi,40
you,30
you tube,25
streaming,10
video,5
giochi online,5
megavideo,5
musica,5
streaming megavideo,5
flashgames,5
flash,5
youtube musica,0
mp3,0
scaricare musica,0
juventus,0
webcam,0
video youtube,0
giochi on line,0
yuotube,0



Rising searches
megavideo,Breakout
streaming megavideo,Breakout
video youtube,Breakout
you,Breakout
you tube,Breakout
youtube,Breakout
youtube musica,Breakout
yuotube,Breakout
flashgames,+1,750%
streaming,+1,100%



