Web Search Interest
Italy; 2004 - present

Interest over time
Week,Live Sporting Events
2009-04-19 - 2009-04-25,+60%
2009-04-26 - 2009-05-02,+65%
2009-05-03 - 2009-05-09,+55%
2009-05-10 - 2009-05-16,+55%
2009-05-17 - 2009-05-23,+55%
2009-05-24 - 2009-05-30,+40%
2009-05-31 - 2009-06-06,+50%
2009-06-07 - 2009-06-13,+25%
2009-06-14 - 2009-06-20,+40%
2009-06-21 - 2009-06-27,+20%
2009-06-28 - 2009-07-04,+25%
2009-07-05 - 2009-07-11,+75%
2009-07-12 - 2009-07-18,+45%
2009-07-19 - 2009-07-25,+45%
2009-07-26 - 2009-08-01,+45%
2009-08-02 - 2009-08-08,+95%
2009-08-09 - 2009-08-15,+55%
2009-08-16 - 2009-08-22,+95%
2009-08-23 - 2009-08-29,+100%
2009-08-30 - 2009-09-05,+70%
2009-09-06 - 2009-09-12,+80%
2009-09-13 - 2009-09-19,+100%
2009-09-20 - 2009-09-26,+105%
2009-09-27 - 2009-10-03,+130%
2009-10-04 - 2009-10-10,+55%
2009-10-11 - 2009-10-17,+60%
2009-10-18 - 2009-10-24,+85%
2009-10-25 - 2009-10-31,+105%
2009-11-01 - 2009-11-07,+95%
2009-11-08 - 2009-11-14,+65%
2009-11-15 - 2009-11-21,+45%
2009-11-22 - 2009-11-28,+80%
2009-11-29 - 2009-12-05,+75%
2009-12-06 - 2009-12-12,+125%
2009-12-13 - 2009-12-19,+45%
2009-12-20 - 2009-12-26,+25%
2009-12-27 - 2010-01-02,+0%
2010-01-03 - 2010-01-09,+40%
2010-01-10 - 2010-01-16,+80%
2010-01-17 - 2010-01-23,+65%
2010-01-24 - 2010-01-30,+65%
2010-01-31 - 2010-02-06,+55%
2010-02-07 - 2010-02-13,+60%
2010-02-14 - 2010-02-20,+115%
2010-02-21 - 2010-02-27,+120%
2010-02-28 - 2010-03-06,+70%
2010-03-07 - 2010-03-13,+90%
2010-03-14 - 2010-03-20,+105%
2010-03-21 - 2010-03-27,+105%
2010-03-28 - 2010-04-03,+105%
2010-04-04 - 2010-04-10,+80%
2010-04-11 - 2010-04-17,+90%
2010-04-18 - 2010-04-24,+90%
2010-04-25 - 2010-05-01,+85%
2010-05-02 - 2010-05-08,+75%
2010-05-09 - 2010-05-15,+80%
2010-05-16 - 2010-05-22,+70%
2010-05-23 - 2010-05-29,+35%
2010-05-30 - 2010-06-05,+40%
2010-06-06 - 2010-06-12,+65%
2010-06-13 - 2010-06-19,+70%
2010-06-20 - 2010-06-26,+120%
2010-06-27 - 2010-07-03,+60%
2010-07-04 - 2010-07-10,+20%
2010-07-11 - 2010-07-17,+40%
2010-07-18 - 2010-07-24,+40%
2010-07-25 - 2010-07-31,+65%
2010-08-01 - 2010-08-07,+80%
2010-08-08 - 2010-08-14,+65%
2010-08-15 - 2010-08-21,+135%
2010-08-22 - 2010-08-28,+160%
2010-08-29 - 2010-09-04,+85%
2010-09-05 - 2010-09-11,+85%
2010-09-12 - 2010-09-18,+160%
2010-09-19 - 2010-09-25,+100%
2010-09-26 - 2010-10-02,+135%
2010-10-03 - 2010-10-09,+75%
2010-10-10 - 2010-10-16,+80%
2010-10-17 - 2010-10-23,+135%
2010-10-24 - 2010-10-30,+145%
2010-10-31 - 2010-11-06,+125%
2010-11-07 - 2010-11-13,+115%
2010-11-14 - 2010-11-20,+90%
2010-11-21 - 2010-11-27,+150%
2010-11-28 - 2010-12-04,+105%
2010-12-05 - 2010-12-11,+120%
2010-12-12 - 2010-12-18,+120%
2010-12-19 - 2010-12-25,+50%
2010-12-26 - 2011-01-01,+30%
2011-01-02 - 2011-01-08,+75%
2011-01-09 - 2011-01-15,+85%
2011-01-16 - 2011-01-22,+105%
2011-01-23 - 2011-01-29,+110%
2011-01-30 - 2011-02-05,+140%
2011-02-06 - 2011-02-12,+110%
2011-02-13 - 2011-02-19,+195%
2011-02-20 - 2011-02-26,+130%
2011-02-27 - 2011-03-05,+170%
2011-03-06 - 2011-03-12,+130%
2011-03-13 - 2011-03-19,+115%
2011-03-20 - 2011-03-26,+95%
2011-03-27 - 2011-04-02,+95%
2011-04-03 - 2011-04-09,+115%
2011-04-10 - 2011-04-16,+120%
2011-04-17 - 2011-04-23,+125%
2011-04-24 - 2011-04-30,+85%
2011-05-01 - 2011-05-07,+105%
2011-05-08 - 2011-05-14,+100%
2011-05-15 - 2011-05-21,+75%
2011-05-22 - 2011-05-28,+75%
2011-05-29 - 2011-06-04,+60%
2011-06-05 - 2011-06-11,+50%
2011-06-12 - 2011-06-18,+55%
2011-06-19 - 2011-06-25,+50%
2011-06-26 - 2011-07-02,+60%
2011-07-03 - 2011-07-09,+120%
2011-07-10 - 2011-07-16,+115%
2011-07-17 - 2011-07-23,+145%
2011-07-24 - 2011-07-30,+85%
2011-07-31 - 2011-08-06,+80%
2011-08-07 - 2011-08-13,+70%
2011-08-14 - 2011-08-20,+100%
2011-08-21 - 2011-08-27,+130%
2011-08-28 - 2011-09-03,+135%
2011-09-04 - 2011-09-10,+275%
2011-09-11 - 2011-09-17,+175%
2011-09-18 - 2011-09-24,+205%
2011-09-25 - 2011-10-01,+160%
2011-10-02 - 2011-10-08,+110%
2011-10-09 - 2011-10-15,+110%
2011-10-16 - 2011-10-22,+145%
2011-10-23 - 2011-10-29,+160%
2011-10-30 - 2011-11-05,+135%
2011-11-06 - 2011-11-12,+90%
2011-11-13 - 2011-11-19,+90%
2011-11-20 - 2011-11-26,+150%
2011-11-27 - 2011-12-03,+165%
2011-12-04 - 2011-12-10,+175%
2011-12-11 - 2011-12-17,+145%
2011-12-18 - 2011-12-24,+130%
2011-12-25 - 2011-12-31,+35%
2012-01-01 - 2012-01-07,+80%
2012-01-08 - 2012-01-14,+120%
2012-01-15 - 2012-01-21,+140%
2012-01-22 - 2012-01-28,+175%
2012-01-29 - 2012-02-04,+135%
2012-02-05 - 2012-02-11,+120%
2012-02-12 - 2012-02-18,+150%
2012-02-19 - 2012-02-25,+175%
2012-02-26 - 2012-03-03,+135%
2012-03-04 - 2012-03-10,+170%
2012-03-11 - 2012-03-17,+160%
2012-03-18 - 2012-03-24,+165%
2012-03-25 - 2012-03-31,+180%
2012-04-01 - 2012-04-07,+220%
2012-04-08 - 2012-04-14,+150%
2012-04-15 - 2012-04-21,+125%
2012-04-22 - 2012-04-28,+215%
2012-04-29 - 2012-05-05,+210%
2012-05-06 - 2012-05-12,+175%
2012-05-13 - 2012-05-19,+180%
2012-05-20 - 2012-05-26,+135%
2012-05-27 - 2012-06-02,+105%
2012-06-03 - 2012-06-09,+225%
2012-06-10 - 2012-06-16,+390%
2012-06-17 - 2012-06-23,+365%
2012-06-24 - 2012-06-30,+275%
2012-07-01 - 2012-07-07,+100%
2012-07-08 - 2012-07-14,+55%
2012-07-15 - 2012-07-21,+60%
2012-07-22 - 2012-07-28,+85%
2012-07-29 - 2012-08-04,+135%
2012-08-05 - 2012-08-11,+120%
2012-08-12 - 2012-08-18,+85%
2012-08-19 - 2012-08-25,+160%
2012-08-26 - 2012-09-01,+195%
2012-09-02 - 2012-09-08,+135%
2012-09-09 - 2012-09-15,+115%
2012-09-16 - 2012-09-22,+230%
2012-09-23 - 2012-09-29,+220%
2012-09-30 - 2012-10-06,+215%
2012-10-07 - 2012-10-13,+155%
2012-10-14 - 2012-10-20,+115%
2012-10-21 - 2012-10-27,+175%
2012-10-28 - 2012-11-03,+185%
2012-11-04 - 2012-11-10,+190%
2012-11-11 - 2012-11-17,+160%
2012-11-18 - 2012-11-24,+205%
2012-11-25 - 2012-12-01, 



Top searches
diretta,100
stadio,40
diretta goal,20
san siro,15
turchia,15
calcio diretta,10
euro 2012,10
uefa,5
brasile,5
san siro stadio,5
stadionews,5
tribuna stadio,5
coppa uefa,5
nuovo stadio,5
stadi,5
meazza,5
stadio juventus,5
stadium,5
diretta milan,5
italiano portoghese,5



Rising searches
diretta,Breakout
diretta goal,Breakout
euro 2012,Breakout
stadionews,Breakout
calcio diretta,+800%
san siro,+40%



