Web Search Interest
Spain; 2004 - present

Interest over time
Week,TV & Video
2005-04-03 - 2005-04-09,+0%
2005-04-10 - 2005-04-16,-10%
2005-04-17 - 2005-04-23,-10%
2005-04-24 - 2005-04-30,-6%
2005-05-01 - 2005-05-07,-3%
2005-05-08 - 2005-05-14,-16%
2005-05-15 - 2005-05-21,-10%
2005-05-22 - 2005-05-28,-10%
2005-05-29 - 2005-06-04,-13%
2005-06-05 - 2005-06-11,-13%
2005-06-12 - 2005-06-18,-3%
2005-06-19 - 2005-06-25,+0%
2005-06-26 - 2005-07-02,+10%
2005-07-03 - 2005-07-09,+19%
2005-07-10 - 2005-07-16,+13%
2005-07-17 - 2005-07-23,+10%
2005-07-24 - 2005-07-30,+26%
2005-07-31 - 2005-08-06,+23%
2005-08-07 - 2005-08-13,+29%
2005-08-14 - 2005-08-20,+39%
2005-08-21 - 2005-08-27,+45%
2005-08-28 - 2005-09-03,+45%
2005-09-04 - 2005-09-10,+42%
2005-09-11 - 2005-09-17,+32%
2005-09-18 - 2005-09-24,+32%
2005-09-25 - 2005-10-01,+26%
2005-10-02 - 2005-10-08,+29%
2005-10-09 - 2005-10-15,+32%
2005-10-16 - 2005-10-22,+19%
2005-10-23 - 2005-10-29,+32%
2005-10-30 - 2005-11-05,+23%
2005-11-06 - 2005-11-12,+32%
2005-11-13 - 2005-11-19,+16%
2005-11-20 - 2005-11-26,+3%
2005-11-27 - 2005-12-03,+6%
2005-12-04 - 2005-12-10,+23%
2005-12-11 - 2005-12-17,+19%
2005-12-18 - 2005-12-24,+29%
2005-12-25 - 2005-12-31,+26%
2006-01-01 - 2006-01-07,+32%
2006-01-08 - 2006-01-14,+23%
2006-01-15 - 2006-01-21,+32%
2006-01-22 - 2006-01-28,+29%
2006-01-29 - 2006-02-04,+29%
2006-02-05 - 2006-02-11,+23%
2006-02-12 - 2006-02-18,+10%
2006-02-19 - 2006-02-25,+13%
2006-02-26 - 2006-03-04,+10%
2006-03-05 - 2006-03-11,+16%
2006-03-12 - 2006-03-18,+16%
2006-03-19 - 2006-03-25,+26%
2006-03-26 - 2006-04-01,+32%
2006-04-02 - 2006-04-08,+26%
2006-04-09 - 2006-04-15,+39%
2006-04-16 - 2006-04-22,+26%
2006-04-23 - 2006-04-29,+26%
2006-04-30 - 2006-05-06,+35%
2006-05-07 - 2006-05-13,+23%
2006-05-14 - 2006-05-20,+23%
2006-05-21 - 2006-05-27,+26%
2006-05-28 - 2006-06-03,+29%
2006-06-04 - 2006-06-10,+32%
2006-06-11 - 2006-06-17,+42%
2006-06-18 - 2006-06-24,+29%
2006-06-25 - 2006-07-01,+32%
2006-07-02 - 2006-07-08,+29%
2006-07-09 - 2006-07-15,+32%
2006-07-16 - 2006-07-22,+29%
2006-07-23 - 2006-07-29,+35%
2006-07-30 - 2006-08-05,+32%
2006-08-06 - 2006-08-12,+35%
2006-08-13 - 2006-08-19,+52%
2006-08-20 - 2006-08-26,+52%
2006-08-27 - 2006-09-02,+48%
2006-09-03 - 2006-09-09,+65%
2006-09-10 - 2006-09-16,+71%
2006-09-17 - 2006-09-23,+58%
2006-09-24 - 2006-09-30,+55%
2006-10-01 - 2006-10-07,+58%
2006-10-08 - 2006-10-14,+100%
2006-10-15 - 2006-10-21,+74%
2006-10-22 - 2006-10-28,+65%
2006-10-29 - 2006-11-04,+74%
2006-11-05 - 2006-11-11,+68%
2006-11-12 - 2006-11-18,+74%
2006-11-19 - 2006-11-25,+71%
2006-11-26 - 2006-12-02,+68%
2006-12-03 - 2006-12-09,+87%
2006-12-10 - 2006-12-16,+71%
2006-12-17 - 2006-12-23,+74%
2006-12-24 - 2006-12-30,+87%
2006-12-31 - 2007-01-06,+97%
2007-01-07 - 2007-01-13,+74%
2007-01-14 - 2007-01-20,+68%
2007-01-21 - 2007-01-27,+77%
2007-01-28 - 2007-02-03,+68%
2007-02-04 - 2007-02-10,+74%
2007-02-11 - 2007-02-17,+71%
2007-02-18 - 2007-02-24,+77%
2007-02-25 - 2007-03-03,+74%
2007-03-04 - 2007-03-10,+81%
2007-03-11 - 2007-03-17,+77%
2007-03-18 - 2007-03-24,+71%
2007-03-25 - 2007-03-31,+77%
2007-04-01 - 2007-04-07,+110%
2007-04-08 - 2007-04-14,+87%
2007-04-15 - 2007-04-21,+90%
2007-04-22 - 2007-04-28,+100%
2007-04-29 - 2007-05-05,+113%
2007-05-06 - 2007-05-12,+94%
2007-05-13 - 2007-05-19,+103%
2007-05-20 - 2007-05-26,+103%
2007-05-27 - 2007-06-02,+100%
2007-06-03 - 2007-06-09,+103%
2007-06-10 - 2007-06-16,+116%
2007-06-17 - 2007-06-23,+123%
2007-06-24 - 2007-06-30,+132%
2007-07-01 - 2007-07-07,+126%
2007-07-08 - 2007-07-14,+126%
2007-07-15 - 2007-07-21,+123%
2007-07-22 - 2007-07-28,+126%
2007-07-29 - 2007-08-04,+116%
2007-08-05 - 2007-08-11,+119%
2007-08-12 - 2007-08-18,+142%
2007-08-19 - 2007-08-25,+139%
2007-08-26 - 2007-09-01,+142%
2007-09-02 - 2007-09-08,+129%
2007-09-09 - 2007-09-15,+177%
2007-09-16 - 2007-09-22,+155%
2007-09-23 - 2007-09-29,+158%
2007-09-30 - 2007-10-06,+142%
2007-10-07 - 2007-10-13,+155%
2007-10-14 - 2007-10-20,+139%
2007-10-21 - 2007-10-27,+142%
2007-10-28 - 2007-11-03,+158%
2007-11-04 - 2007-11-10,+142%
2007-11-11 - 2007-11-17,+155%
2007-11-18 - 2007-11-24,+165%
2007-11-25 - 2007-12-01,+152%
2007-12-02 - 2007-12-08,+168%
2007-12-09 - 2007-12-15,+155%
2007-12-16 - 2007-12-22,+155%
2007-12-23 - 2007-12-29,+197%
2007-12-30 - 2008-01-05,+181%
2008-01-06 - 2008-01-12,+158%
2008-01-13 - 2008-01-19,+152%
2008-01-20 - 2008-01-26,+158%
2008-01-27 - 2008-02-02,+152%
2008-02-03 - 2008-02-09,+165%
2008-02-10 - 2008-02-16,+155%
2008-02-17 - 2008-02-23,+171%
2008-02-24 - 2008-03-01,+181%
2008-03-02 - 2008-03-08,+158%
2008-03-09 - 2008-03-15,+187%
2008-03-16 - 2008-03-22,+213%
2008-03-23 - 2008-03-29,+187%
2008-03-30 - 2008-04-05,+174%
2008-04-06 - 2008-04-12,+171%
2008-04-13 - 2008-04-19,+174%
2008-04-20 - 2008-04-26,+187%
2008-04-27 - 2008-05-03,+200%
2008-05-04 - 2008-05-10,+177%
2008-05-11 - 2008-05-17,+190%
2008-05-18 - 2008-05-24,+181%
2008-05-25 - 2008-05-31,+181%
2008-06-01 - 2008-06-07,+181%
2008-06-08 - 2008-06-14,+197%
2008-06-15 - 2008-06-21,+181%
2008-06-22 - 2008-06-28,+190%
2008-06-29 - 2008-07-05,+168%
2008-07-06 - 2008-07-12,+177%
2008-07-13 - 2008-07-19,+171%
2008-07-20 - 2008-07-26,+197%
2008-07-27 - 2008-08-02,+165%
2008-08-03 - 2008-08-09,+168%
2008-08-10 - 2008-08-16,+213%
2008-08-17 - 2008-08-23,+203%
2008-08-24 - 2008-08-30,+174%
2008-08-31 - 2008-09-06,+171%
2008-09-07 - 2008-09-13,+187%
2008-09-14 - 2008-09-20,+177%
2008-09-21 - 2008-09-27,+206%
2008-09-28 - 2008-10-04,+184%
2008-10-05 - 2008-10-11,+184%
2008-10-12 - 2008-10-18,+181%
2008-10-19 - 2008-10-25,+184%
2008-10-26 - 2008-11-01,+184%
2008-11-02 - 2008-11-08,+187%
2008-11-09 - 2008-11-15,+190%
2008-11-16 - 2008-11-22,+187%
2008-11-23 - 2008-11-29,+194%
2008-11-30 - 2008-12-06,+187%
2008-12-07 - 2008-12-13,+219%
2008-12-14 - 2008-12-20,+194%
2008-12-21 - 2008-12-27,+223%
2008-12-28 - 2009-01-03,+223%
2009-01-04 - 2009-01-10,+216%
2009-01-11 - 2009-01-17,+190%
2009-01-18 - 2009-01-24,+197%
2009-01-25 - 2009-01-31,+187%
2009-02-01 - 2009-02-07,+171%
2009-02-08 - 2009-02-14,+177%
2009-02-15 - 2009-02-21,+171%
2009-02-22 - 2009-02-28,+174%
2009-03-01 - 2009-03-07,+168%
2009-03-08 - 2009-03-14,+168%
2009-03-15 - 2009-03-21,+174%
2009-03-22 - 2009-03-28,+165%
2009-03-29 - 2009-04-04,+165%
2009-04-05 - 2009-04-11,+206%
2009-04-12 - 2009-04-18,+187%
2009-04-19 - 2009-04-25,+190%
2009-04-26 - 2009-05-02,+210%
2009-05-03 - 2009-05-09,+184%
2009-05-10 - 2009-05-16,+197%
2009-05-17 - 2009-05-23,+184%
2009-05-24 - 2009-05-30,+181%
2009-05-31 - 2009-06-06,+184%
2009-06-07 - 2009-06-13,+177%
2009-06-14 - 2009-06-20,+174%
2009-06-21 - 2009-06-27,+181%
2009-06-28 - 2009-07-04,+171%
2009-07-05 - 2009-07-11,+184%
2009-07-12 - 2009-07-18,+181%
2009-07-19 - 2009-07-25,+187%
2009-07-26 - 2009-08-01,+168%
2009-08-02 - 2009-08-08,+174%
2009-08-09 - 2009-08-15,+187%
2009-08-16 - 2009-08-22,+190%
2009-08-23 - 2009-08-29,+190%
2009-08-30 - 2009-09-05,+177%
2009-09-06 - 2009-09-12,+206%
2009-09-13 - 2009-09-19,+197%
2009-09-20 - 2009-09-26,+184%
2009-09-27 - 2009-10-03,+168%
2009-10-04 - 2009-10-10,+168%
2009-10-11 - 2009-10-17,+181%
2009-10-18 - 2009-10-24,+168%
2009-10-25 - 2009-10-31,+171%
2009-11-01 - 2009-11-07,+177%
2009-11-08 - 2009-11-14,+174%
2009-11-15 - 2009-11-21,+171%
2009-11-22 - 2009-11-28,+187%
2009-11-29 - 2009-12-05,+177%
2009-12-06 - 2009-12-12,+203%
2009-12-13 - 2009-12-19,+177%
2009-12-20 - 2009-12-26,+184%
2009-12-27 - 2010-01-02,+194%
2010-01-03 - 2010-01-09,+187%
2010-01-10 - 2010-01-16,+171%
2010-01-17 - 2010-01-23,+190%
2010-01-24 - 2010-01-30,+187%
2010-01-31 - 2010-02-06,+197%
2010-02-07 - 2010-02-13,+203%
2010-02-14 - 2010-02-20,+200%
2010-02-21 - 2010-02-27,+203%
2010-02-28 - 2010-03-06,+184%
2010-03-07 - 2010-03-13,+181%
2010-03-14 - 2010-03-20,+190%
2010-03-21 - 2010-03-27,+181%
2010-03-28 - 2010-04-03,+213%
2010-04-04 - 2010-04-10,+177%
2010-04-11 - 2010-04-17,+174%
2010-04-18 - 2010-04-24,+171%
2010-04-25 - 2010-05-01,+165%
2010-05-02 - 2010-05-08,+171%
2010-05-09 - 2010-05-15,+174%
2010-05-16 - 2010-05-22,+171%
2010-05-23 - 2010-05-29,+200%
2010-05-30 - 2010-06-05,+181%
2010-06-06 - 2010-06-12,+181%
2010-06-13 - 2010-06-19,+187%
2010-06-20 - 2010-06-26,+181%
2010-06-27 - 2010-07-03,+187%
2010-07-04 - 2010-07-10,+177%
2010-07-11 - 2010-07-17,+184%
2010-07-18 - 2010-07-24,+171%
2010-07-25 - 2010-07-31,+165%
2010-08-01 - 2010-08-07,+165%
2010-08-08 - 2010-08-14,+165%
2010-08-15 - 2010-08-21,+168%
2010-08-22 - 2010-08-28,+171%
2010-08-29 - 2010-09-04,+158%
2010-09-05 - 2010-09-11,+174%
2010-09-12 - 2010-09-18,+177%
2010-09-19 - 2010-09-25,+168%
2010-09-26 - 2010-10-02,+168%
2010-10-03 - 2010-10-09,+158%
2010-10-10 - 2010-10-16,+190%
2010-10-17 - 2010-10-23,+177%
2010-10-24 - 2010-10-30,+165%
2010-10-31 - 2010-11-06,+177%
2010-11-07 - 2010-11-13,+174%
2010-11-14 - 2010-11-20,+171%
2010-11-21 - 2010-11-27,+165%
2010-11-28 - 2010-12-04,+161%
2010-12-05 - 2010-12-11,+181%
2010-12-12 - 2010-12-18,+165%
2010-12-19 - 2010-12-25,+190%
2010-12-26 - 2011-01-01,+190%
2011-01-02 - 2011-01-08,+187%
2011-01-09 - 2011-01-15,+165%
2011-01-16 - 2011-01-22,+181%
2011-01-23 - 2011-01-29,+177%
2011-01-30 - 2011-02-05,+177%
2011-02-06 - 2011-02-12,+171%
2011-02-13 - 2011-02-19,+184%
2011-02-20 - 2011-02-26,+187%
2011-02-27 - 2011-03-05,+177%
2011-03-06 - 2011-03-12,+187%
2011-03-13 - 2011-03-19,+181%
2011-03-20 - 2011-03-26,+171%
2011-03-27 - 2011-04-02,+165%
2011-04-03 - 2011-04-09,+161%
2011-04-10 - 2011-04-16,+168%
2011-04-17 - 2011-04-23,+200%
2011-04-24 - 2011-04-30,+174%
2011-05-01 - 2011-05-07,+181%
2011-05-08 - 2011-05-14,+171%
2011-05-15 - 2011-05-21,+174%
2011-05-22 - 2011-05-28,+165%
2011-05-29 - 2011-06-04,+171%
2011-06-05 - 2011-06-11,+165%
2011-06-12 - 2011-06-18,+165%
2011-06-19 - 2011-06-25,+168%
2011-06-26 - 2011-07-02,+161%
2011-07-03 - 2011-07-09,+177%
2011-07-10 - 2011-07-16,+171%
2011-07-17 - 2011-07-23,+174%
2011-07-24 - 2011-07-30,+181%
2011-07-31 - 2011-08-06,+161%
2011-08-07 - 2011-08-13,+165%
2011-08-14 - 2011-08-20,+187%
2011-08-21 - 2011-08-27,+174%
2011-08-28 - 2011-09-03,+168%
2011-09-04 - 2011-09-10,+174%
2011-09-11 - 2011-09-17,+161%
2011-09-18 - 2011-09-24,+168%
2011-09-25 - 2011-10-01,+158%
2011-10-02 - 2011-10-08,+152%
2011-10-09 - 2011-10-15,+168%
2011-10-16 - 2011-10-22,+171%
2011-10-23 - 2011-10-29,+171%
2011-10-30 - 2011-11-05,+187%
2011-11-06 - 2011-11-12,+168%
2011-11-13 - 2011-11-19,+168%
2011-11-20 - 2011-11-26,+174%
2011-11-27 - 2011-12-03,+168%
2011-12-04 - 2011-12-10,+187%
2011-12-11 - 2011-12-17,+161%
2011-12-18 - 2011-12-24,+187%
2011-12-25 - 2011-12-31,+177%
2012-01-01 - 2012-01-07,+177%
2012-01-08 - 2012-01-14,+155%
2012-01-15 - 2012-01-21,+174%
2012-01-22 - 2012-01-28,+184%
2012-01-29 - 2012-02-04,+165%
2012-02-05 - 2012-02-11,+168%
2012-02-12 - 2012-02-18,+177%
2012-02-19 - 2012-02-25,+177%
2012-02-26 - 2012-03-03,+171%
2012-03-04 - 2012-03-10,+165%
2012-03-11 - 2012-03-17,+174%
2012-03-18 - 2012-03-24,+177%
2012-03-25 - 2012-03-31,+184%
2012-04-01 - 2012-04-07,+194%
2012-04-08 - 2012-04-14,+174%
2012-04-15 - 2012-04-21,+174%
2012-04-22 - 2012-04-28,+165%
2012-04-29 - 2012-05-05,+174%
2012-05-06 - 2012-05-12,+158%
2012-05-13 - 2012-05-19,+158%
2012-05-20 - 2012-05-26,+171%
2012-05-27 - 2012-06-02,+155%
2012-06-03 - 2012-06-09,+145%
2012-06-10 - 2012-06-16,+155%
2012-06-17 - 2012-06-23,+132%
2012-06-24 - 2012-06-30,+129%
2012-07-01 - 2012-07-07,+123%
2012-07-08 - 2012-07-14,+126%
2012-07-15 - 2012-07-21,+116%
2012-07-22 - 2012-07-28,+129%
2012-07-29 - 2012-08-04,+129%
2012-08-05 - 2012-08-11,+145%
2012-08-12 - 2012-08-18,+126%
2012-08-19 - 2012-08-25,+129%
2012-08-26 - 2012-09-01,+129%
2012-09-02 - 2012-09-08,+126%
2012-09-09 - 2012-09-15,+132%
2012-09-16 - 2012-09-22,+126%
2012-09-23 - 2012-09-29,+142%
2012-09-30 - 2012-10-06,+142%
2012-10-07 - 2012-10-13,+145%
2012-10-14 - 2012-10-20,+148%
2012-10-21 - 2012-10-27,+132%
2012-10-28 - 2012-11-03,+145%
2012-11-04 - 2012-11-10,+132%
2012-11-11 - 2012-11-17,+142%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
youtube,100
tv,20
telecinco,20
you,15
programacion,15
you tube,10
antena 3,10
programacion tv,10
gran hermano,5
series,5
peliculas,5
tve,5
cuatro,5
rtve,5
television,5
peliculas online,5
la sexta,5
tv3,5
antena3,5
abc,0



Rising searches
la sexta,Breakout
peliculas online,Breakout
series yonkis,Breakout
you,Breakout
you tube,Breakout
youtube,Breakout
cuatro,+3,500%
peliculas,+650%
series,+150%
rtve,+80%



