Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Literary Classics
2005-12-25 - 2005-12-31,-54%
2006-01-01 - 2006-01-07,-43%
2006-01-08 - 2006-01-14,-29%
2006-01-15 - 2006-01-21,-29%
2006-01-22 - 2006-01-28,-25%
2006-01-29 - 2006-02-04,-33%
2006-02-05 - 2006-02-11,-39%
2006-02-12 - 2006-02-18,-37%
2006-02-19 - 2006-02-25,-35%
2006-02-26 - 2006-03-04,-32%
2006-03-05 - 2006-03-11,-40%
2006-03-12 - 2006-03-18,-38%
2006-03-19 - 2006-03-25,-31%
2006-03-26 - 2006-04-01,-45%
2006-04-02 - 2006-04-08,-58%
2006-04-09 - 2006-04-15,-58%
2006-04-16 - 2006-04-22,-45%
2006-04-23 - 2006-04-29,-42%
2006-04-30 - 2006-05-06,-35%
2006-05-07 - 2006-05-13,-35%
2006-05-14 - 2006-05-20,-41%
2006-05-21 - 2006-05-27,-39%
2006-05-28 - 2006-06-03,-42%
2006-06-04 - 2006-06-10,-47%
2006-06-11 - 2006-06-17,-52%
2006-06-18 - 2006-06-24,-67%
2006-06-25 - 2006-07-01,-68%
2006-07-02 - 2006-07-08,-70%
2006-07-09 - 2006-07-15,-73%
2006-07-16 - 2006-07-22,-75%
2006-07-23 - 2006-07-29,-72%
2006-07-30 - 2006-08-05,-81%
2006-08-06 - 2006-08-12,-75%
2006-08-13 - 2006-08-19,-74%
2006-08-20 - 2006-08-26,-74%
2006-08-27 - 2006-09-02,-77%
2006-09-03 - 2006-09-09,-77%
2006-09-10 - 2006-09-16,-75%
2006-09-17 - 2006-09-23,-59%
2006-09-24 - 2006-09-30,-51%
2006-10-01 - 2006-10-07,-55%
2006-10-08 - 2006-10-14,-56%
2006-10-15 - 2006-10-21,-60%
2006-10-22 - 2006-10-28,-58%
2006-10-29 - 2006-11-04,-54%
2006-11-05 - 2006-11-11,-59%
2006-11-12 - 2006-11-18,-58%
2006-11-19 - 2006-11-25,-54%
2006-11-26 - 2006-12-02,-59%
2006-12-03 - 2006-12-09,-55%
2006-12-10 - 2006-12-16,-59%
2006-12-17 - 2006-12-23,-74%
2006-12-24 - 2006-12-30,-68%
2006-12-31 - 2007-01-06,-60%
2007-01-07 - 2007-01-13,-55%
2007-01-14 - 2007-01-20,-52%
2007-01-21 - 2007-01-27,-55%
2007-01-28 - 2007-02-03,-62%
2007-02-04 - 2007-02-10,-59%
2007-02-11 - 2007-02-17,-60%
2007-02-18 - 2007-02-24,-58%
2007-02-25 - 2007-03-03,-48%
2007-03-04 - 2007-03-10,-53%
2007-03-11 - 2007-03-17,-49%
2007-03-18 - 2007-03-24,-60%
2007-03-25 - 2007-03-31,-66%
2007-04-01 - 2007-04-07,-70%
2007-04-08 - 2007-04-14,-55%
2007-04-15 - 2007-04-21,-55%
2007-04-22 - 2007-04-28,-53%
2007-04-29 - 2007-05-05,-59%
2007-05-06 - 2007-05-12,-53%
2007-05-13 - 2007-05-19,-49%
2007-05-20 - 2007-05-26,-59%
2007-05-27 - 2007-06-02,-56%
2007-06-03 - 2007-06-09,-61%
2007-06-10 - 2007-06-16,-66%
2007-06-17 - 2007-06-23,-73%
2007-06-24 - 2007-06-30,-74%
2007-07-01 - 2007-07-07,-78%
2007-07-08 - 2007-07-14,-78%
2007-07-15 - 2007-07-21,-76%
2007-07-22 - 2007-07-28,-80%
2007-07-29 - 2007-08-04,-81%
2007-08-05 - 2007-08-11,-77%
2007-08-12 - 2007-08-18,-78%
2007-08-19 - 2007-08-25,-77%
2007-08-26 - 2007-09-01,-80%
2007-09-02 - 2007-09-08,-77%
2007-09-09 - 2007-09-15,-75%
2007-09-16 - 2007-09-22,-65%
2007-09-23 - 2007-09-29,-63%
2007-09-30 - 2007-10-06,-59%
2007-10-07 - 2007-10-13,-66%
2007-10-14 - 2007-10-20,-59%
2007-10-21 - 2007-10-27,-62%
2007-10-28 - 2007-11-03,-63%
2007-11-04 - 2007-11-10,-56%
2007-11-11 - 2007-11-17,-59%
2007-11-18 - 2007-11-24,-59%
2007-11-25 - 2007-12-01,-61%
2007-12-02 - 2007-12-08,-60%
2007-12-09 - 2007-12-15,-61%
2007-12-16 - 2007-12-22,-72%
2007-12-23 - 2007-12-29,-72%
2007-12-30 - 2008-01-05,-69%
2008-01-06 - 2008-01-12,-61%
2008-01-13 - 2008-01-19,-61%
2008-01-20 - 2008-01-26,-58%
2008-01-27 - 2008-02-02,-66%
2008-02-03 - 2008-02-09,-65%
2008-02-10 - 2008-02-16,-57%
2008-02-17 - 2008-02-23,-55%
2008-02-24 - 2008-03-01,-57%
2008-03-02 - 2008-03-08,-55%
2008-03-09 - 2008-03-15,-63%
2008-03-16 - 2008-03-22,-75%
2008-03-23 - 2008-03-29,-73%
2008-03-30 - 2008-04-05,-62%
2008-04-06 - 2008-04-12,-56%
2008-04-13 - 2008-04-19,-53%
2008-04-20 - 2008-04-26,-57%
2008-04-27 - 2008-05-03,-59%
2008-05-04 - 2008-05-10,-59%
2008-05-11 - 2008-05-17,-58%
2008-05-18 - 2008-05-24,-61%
2008-05-25 - 2008-05-31,-60%
2008-06-01 - 2008-06-07,-62%
2008-06-08 - 2008-06-14,-65%
2008-06-15 - 2008-06-21,-70%
2008-06-22 - 2008-06-28,-77%
2008-06-29 - 2008-07-05,-76%
2008-07-06 - 2008-07-12,-80%
2008-07-13 - 2008-07-19,-78%
2008-07-20 - 2008-07-26,-82%
2008-07-27 - 2008-08-02,-83%
2008-08-03 - 2008-08-09,-83%
2008-08-10 - 2008-08-16,-82%
2008-08-17 - 2008-08-23,-83%
2008-08-24 - 2008-08-30,-81%
2008-08-31 - 2008-09-06,-81%
2008-09-07 - 2008-09-13,-80%
2008-09-14 - 2008-09-20,-72%
2008-09-21 - 2008-09-27,-67%
2008-09-28 - 2008-10-04,-67%
2008-10-05 - 2008-10-11,-69%
2008-10-12 - 2008-10-18,-65%
2008-10-19 - 2008-10-25,-66%
2008-10-26 - 2008-11-01,-61%
2008-11-02 - 2008-11-08,-68%
2008-11-09 - 2008-11-15,-66%
2008-11-16 - 2008-11-22,-62%
2008-11-23 - 2008-11-29,-67%
2008-11-30 - 2008-12-06,-66%
2008-12-07 - 2008-12-13,-69%
2008-12-14 - 2008-12-20,-67%
2008-12-21 - 2008-12-27,-80%
2008-12-28 - 2009-01-03,-73%
2009-01-04 - 2009-01-10,-65%
2009-01-11 - 2009-01-17,-63%
2009-01-18 - 2009-01-24,-68%
2009-01-25 - 2009-01-31,-65%
2009-02-01 - 2009-02-07,-66%
2009-02-08 - 2009-02-14,-67%
2009-02-15 - 2009-02-21,-65%
2009-02-22 - 2009-02-28,-70%
2009-03-01 - 2009-03-07,-62%
2009-03-08 - 2009-03-14,-60%
2009-03-15 - 2009-03-21,-57%
2009-03-22 - 2009-03-28,-68%
2009-03-29 - 2009-04-04,-78%
2009-04-05 - 2009-04-11,-77%
2009-04-12 - 2009-04-18,-67%
2009-04-19 - 2009-04-25,-62%
2009-04-26 - 2009-05-02,-63%
2009-05-03 - 2009-05-09,-62%
2009-05-10 - 2009-05-16,-58%
2009-05-17 - 2009-05-23,-61%
2009-05-24 - 2009-05-30,-63%
2009-05-31 - 2009-06-06,-68%
2009-06-07 - 2009-06-13,-69%
2009-06-14 - 2009-06-20,-75%
2009-06-21 - 2009-06-27,-78%
2009-06-28 - 2009-07-04,-80%
2009-07-05 - 2009-07-11,-82%
2009-07-12 - 2009-07-18,-82%
2009-07-19 - 2009-07-25,-83%
2009-07-26 - 2009-08-01,-82%
2009-08-02 - 2009-08-08,-84%
2009-08-09 - 2009-08-15,-82%
2009-08-16 - 2009-08-22,-84%
2009-08-23 - 2009-08-29,-84%
2009-08-30 - 2009-09-05,-83%
2009-09-06 - 2009-09-12,-80%
2009-09-13 - 2009-09-19,-76%
2009-09-20 - 2009-09-26,-72%
2009-09-27 - 2009-10-03,-73%
2009-10-04 - 2009-10-10,-70%
2009-10-11 - 2009-10-17,-71%
2009-10-18 - 2009-10-24,-69%
2009-10-25 - 2009-10-31,-70%
2009-11-01 - 2009-11-07,-69%
2009-11-08 - 2009-11-14,-67%
2009-11-15 - 2009-11-21,-66%
2009-11-22 - 2009-11-28,-66%
2009-11-29 - 2009-12-05,-65%
2009-12-06 - 2009-12-12,-67%
2009-12-13 - 2009-12-19,-68%
2009-12-20 - 2009-12-26,-72%
2009-12-27 - 2010-01-02,-65%
2010-01-03 - 2010-01-09,-63%
2010-01-10 - 2010-01-16,-63%
2010-01-17 - 2010-01-23,-61%
2010-01-24 - 2010-01-30,-65%
2010-01-31 - 2010-02-06,-65%
2010-02-07 - 2010-02-13,-69%
2010-02-14 - 2010-02-20,-70%
2010-02-21 - 2010-02-27,-65%
2010-02-28 - 2010-03-06,-63%
2010-03-07 - 2010-03-13,-63%
2010-03-14 - 2010-03-20,-60%
2010-03-21 - 2010-03-27,-66%
2010-03-28 - 2010-04-03,-80%
2010-04-04 - 2010-04-10,-75%
2010-04-11 - 2010-04-17,-63%
2010-04-18 - 2010-04-24,-61%
2010-04-25 - 2010-05-01,-63%
2010-05-02 - 2010-05-08,-62%
2010-05-09 - 2010-05-15,-60%
2010-05-16 - 2010-05-22,-58%
2010-05-23 - 2010-05-29,-59%
2010-05-30 - 2010-06-05,-66%
2010-06-06 - 2010-06-12,-69%
2010-06-13 - 2010-06-19,-72%
2010-06-20 - 2010-06-26,-81%
2010-06-27 - 2010-07-03,-73%
2010-07-04 - 2010-07-10,-78%
2010-07-11 - 2010-07-17,-77%
2010-07-18 - 2010-07-24,-80%
2010-07-25 - 2010-07-31,-82%
2010-08-01 - 2010-08-07,-83%
2010-08-08 - 2010-08-14,-84%
2010-08-15 - 2010-08-21,-81%
2010-08-22 - 2010-08-28,-76%
2010-08-29 - 2010-09-04,-82%
2010-09-05 - 2010-09-11,-81%
2010-09-12 - 2010-09-18,-73%
2010-09-19 - 2010-09-25,-71%
2010-09-26 - 2010-10-02,-66%
2010-10-03 - 2010-10-09,-68%
2010-10-10 - 2010-10-16,-70%
2010-10-17 - 2010-10-23,-70%
2010-10-24 - 2010-10-30,-70%
2010-10-31 - 2010-11-06,-70%
2010-11-07 - 2010-11-13,-65%
2010-11-14 - 2010-11-20,-65%
2010-11-21 - 2010-11-27,-69%
2010-11-28 - 2010-12-04,-65%
2010-12-05 - 2010-12-11,-66%
2010-12-12 - 2010-12-18,-69%
2010-12-19 - 2010-12-25,-77%
2010-12-26 - 2011-01-01,-75%
2011-01-02 - 2011-01-08,-72%
2011-01-09 - 2011-01-15,-68%
2011-01-16 - 2011-01-22,-71%
2011-01-23 - 2011-01-29,-70%
2011-01-30 - 2011-02-05,-71%
2011-02-06 - 2011-02-12,-69%
2011-02-13 - 2011-02-19,-68%
2011-02-20 - 2011-02-26,-69%
2011-02-27 - 2011-03-05,-68%
2011-03-06 - 2011-03-12,-68%
2011-03-13 - 2011-03-19,-63%
2011-03-20 - 2011-03-26,-60%
2011-03-27 - 2011-04-02,-62%
2011-04-03 - 2011-04-09,-70%
2011-04-10 - 2011-04-16,-78%
2011-04-17 - 2011-04-23,-78%
2011-04-24 - 2011-04-30,-70%
2011-05-01 - 2011-05-07,-66%
2011-05-08 - 2011-05-14,-66%
2011-05-15 - 2011-05-21,-67%
2011-05-22 - 2011-05-28,-66%
2011-05-29 - 2011-06-04,-66%
2011-06-05 - 2011-06-11,-72%
2011-06-12 - 2011-06-18,-62%
2011-06-19 - 2011-06-25,-76%
2011-06-26 - 2011-07-02,-82%
2011-07-03 - 2011-07-09,-81%
2011-07-10 - 2011-07-16,-83%
2011-07-17 - 2011-07-23,-82%
2011-07-24 - 2011-07-30,-85%
2011-07-31 - 2011-08-06,-85%
2011-08-07 - 2011-08-13,-83%
2011-08-14 - 2011-08-20,-82%
2011-08-21 - 2011-08-27,-78%
2011-08-28 - 2011-09-03,-81%
2011-09-04 - 2011-09-10,-78%
2011-09-11 - 2011-09-17,-77%
2011-09-18 - 2011-09-24,-72%
2011-09-25 - 2011-10-01,-71%
2011-10-02 - 2011-10-08,-70%
2011-10-09 - 2011-10-15,-69%
2011-10-16 - 2011-10-22,-70%
2011-10-23 - 2011-10-29,-68%
2011-10-30 - 2011-11-05,-71%
2011-11-06 - 2011-11-12,-67%
2011-11-13 - 2011-11-19,-68%
2011-11-20 - 2011-11-26,-68%
2011-11-27 - 2011-12-03,-61%
2011-12-04 - 2011-12-10,-69%
2011-12-11 - 2011-12-17,-71%
2011-12-18 - 2011-12-24,-76%
2011-12-25 - 2011-12-31,-72%
2012-01-01 - 2012-01-07,-65%
2012-01-08 - 2012-01-14,-61%
2012-01-15 - 2012-01-21,-65%
2012-01-22 - 2012-01-28,-68%
2012-01-29 - 2012-02-04,-67%
2012-02-05 - 2012-02-11,-62%
2012-02-12 - 2012-02-18,-68%
2012-02-19 - 2012-02-25,-69%
2012-02-26 - 2012-03-03,-66%
2012-03-04 - 2012-03-10,-62%
2012-03-11 - 2012-03-17,-59%
2012-03-18 - 2012-03-24,-65%
2012-03-25 - 2012-03-31,-77%
2012-04-01 - 2012-04-07,-76%
2012-04-08 - 2012-04-14,-68%
2012-04-15 - 2012-04-21,-62%
2012-04-22 - 2012-04-28,-66%
2012-04-29 - 2012-05-05,-66%
2012-05-06 - 2012-05-12,-63%
2012-05-13 - 2012-05-19,-66%
2012-05-20 - 2012-05-26,-63%
2012-05-27 - 2012-06-02,-67%
2012-06-03 - 2012-06-09,-72%
2012-06-10 - 2012-06-16,-71%
2012-06-17 - 2012-06-23,-78%
2012-06-24 - 2012-06-30,-78%
2012-07-01 - 2012-07-07,-80%
2012-07-08 - 2012-07-14,-80%
2012-07-15 - 2012-07-21,-83%
2012-07-22 - 2012-07-28,-81%
2012-07-29 - 2012-08-04,-85%
2012-08-05 - 2012-08-11,-84%
2012-08-12 - 2012-08-18,-83%
2012-08-19 - 2012-08-25,-82%
2012-08-26 - 2012-09-01,-81%
2012-09-02 - 2012-09-08,-81%
2012-09-09 - 2012-09-15,-81%
2012-09-16 - 2012-09-22,-75%
2012-09-23 - 2012-09-29,-74%
2012-09-30 - 2012-10-06,-77%
2012-10-07 - 2012-10-13,-75%
2012-10-14 - 2012-10-20,-71%
2012-10-21 - 2012-10-27,-74%
2012-10-28 - 2012-11-03,-74%
2012-11-04 - 2012-11-10,-73%
2012-11-11 - 2012-11-17,-73%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
fernando pessoa,100
maias,50
eça,40
poemas,35
os maias,30
poemas pessoa,25
shakespeare,25
poemas fernando pessoa,20
resumo maias,20
eça queiroz,20
biblia,20
eça de queiroz,20
sherlock,15
sherlock holmes,15
bocage,10
poemas de pessoa,10
resumo os maias,10
eça queiros,10
eça de queirós,10
william shakespeare,10



Rising searches
poemas pessoa,+550%
poemas,+450%
poemas fernando pessoa,+450%
sherlock,+400%
sherlock holmes,+350%
resumo maias,+180%
eça de queiroz,+150%
biblia,+130%
fernando pessoa,+120%
eça queiroz,+110%



