Web Search Interest
France; 2004 - present

Interest over time
Week,Homemaking & Interior Decor
2010-05-02 - 2010-05-08,+22%
2010-05-09 - 2010-05-15,+28%
2010-05-16 - 2010-05-22,+28%
2010-05-23 - 2010-05-29,+12%
2010-05-30 - 2010-06-05,+14%
2010-06-06 - 2010-06-12,+18%
2010-06-13 - 2010-06-19,+14%
2010-06-20 - 2010-06-26,+6%
2010-06-27 - 2010-07-03,+4%
2010-07-04 - 2010-07-10,+10%
2010-07-11 - 2010-07-17,+20%
2010-07-18 - 2010-07-24,+24%
2010-07-25 - 2010-07-31,+22%
2010-08-01 - 2010-08-07,+32%
2010-08-08 - 2010-08-14,+32%
2010-08-15 - 2010-08-21,+32%
2010-08-22 - 2010-08-28,+36%
2010-08-29 - 2010-09-04,+22%
2010-09-05 - 2010-09-11,+22%
2010-09-12 - 2010-09-18,+24%
2010-09-19 - 2010-09-25,+32%
2010-09-26 - 2010-10-02,+24%
2010-10-03 - 2010-10-09,+24%
2010-10-10 - 2010-10-16,+34%
2010-10-17 - 2010-10-23,+26%
2010-10-24 - 2010-10-30,+38%
2010-10-31 - 2010-11-06,+40%
2010-11-07 - 2010-11-13,+44%
2010-11-14 - 2010-11-20,+46%
2010-11-21 - 2010-11-27,+44%
2010-11-28 - 2010-12-04,+36%
2010-12-05 - 2010-12-11,+36%
2010-12-12 - 2010-12-18,+30%
2010-12-19 - 2010-12-25,+26%
2010-12-26 - 2011-01-01,+20%
2011-01-02 - 2011-01-08,+20%
2011-01-09 - 2011-01-15,+30%
2011-01-16 - 2011-01-22,+36%
2011-01-23 - 2011-01-29,+34%
2011-01-30 - 2011-02-05,+42%
2011-02-06 - 2011-02-12,+38%
2011-02-13 - 2011-02-19,+44%
2011-02-20 - 2011-02-26,+46%
2011-02-27 - 2011-03-05,+38%
2011-03-06 - 2011-03-12,+36%
2011-03-13 - 2011-03-19,+26%
2011-03-20 - 2011-03-26,+26%
2011-03-27 - 2011-04-02,+28%
2011-04-03 - 2011-04-09,+20%
2011-04-10 - 2011-04-16,+16%
2011-04-17 - 2011-04-23,+16%
2011-04-24 - 2011-04-30,+12%
2011-05-01 - 2011-05-07,+16%
2011-05-08 - 2011-05-14,+14%
2011-05-15 - 2011-05-21,+16%
2011-05-22 - 2011-05-28,+16%
2011-05-29 - 2011-06-04,+16%
2011-06-05 - 2011-06-11,+16%
2011-06-12 - 2011-06-18,+16%
2011-06-19 - 2011-06-25,+14%
2011-06-26 - 2011-07-02,+2%
2011-07-03 - 2011-07-09,+16%
2011-07-10 - 2011-07-16,+20%
2011-07-17 - 2011-07-23,+30%
2011-07-24 - 2011-07-30,+36%
2011-07-31 - 2011-08-06,+34%
2011-08-07 - 2011-08-13,+38%
2011-08-14 - 2011-08-20,+34%
2011-08-21 - 2011-08-27,+36%
2011-08-28 - 2011-09-03,+24%
2011-09-04 - 2011-09-10,+26%
2011-09-11 - 2011-09-17,+24%
2011-09-18 - 2011-09-24,+34%
2011-09-25 - 2011-10-01,+26%
2011-10-02 - 2011-10-08,+26%
2011-10-09 - 2011-10-15,+36%
2011-10-16 - 2011-10-22,+32%
2011-10-23 - 2011-10-29,+40%
2011-10-30 - 2011-11-05,+54%
2011-11-06 - 2011-11-12,+54%
2011-11-13 - 2011-11-19,+46%
2011-11-20 - 2011-11-26,+54%
2011-11-27 - 2011-12-03,+52%
2011-12-04 - 2011-12-10,+52%
2011-12-11 - 2011-12-17,+44%
2011-12-18 - 2011-12-24,+44%
2011-12-25 - 2011-12-31,+30%
2012-01-01 - 2012-01-07,+26%
2012-01-08 - 2012-01-14,+34%
2012-01-15 - 2012-01-21,+46%
2012-01-22 - 2012-01-28,+56%
2012-01-29 - 2012-02-04,+36%
2012-02-05 - 2012-02-11,+42%
2012-02-12 - 2012-02-18,+40%
2012-02-19 - 2012-02-25,+44%
2012-02-26 - 2012-03-03,+42%
2012-03-04 - 2012-03-10,+42%
2012-03-11 - 2012-03-17,+36%
2012-03-18 - 2012-03-24,+38%
2012-03-25 - 2012-03-31,+30%
2012-04-01 - 2012-04-07,+34%
2012-04-08 - 2012-04-14,+36%
2012-04-15 - 2012-04-21,+46%
2012-04-22 - 2012-04-28,+42%
2012-04-29 - 2012-05-05,+44%
2012-05-06 - 2012-05-12,+34%
2012-05-13 - 2012-05-19,+34%
2012-05-20 - 2012-05-26,+32%
2012-05-27 - 2012-06-02,+16%
2012-06-03 - 2012-06-09,+22%
2012-06-10 - 2012-06-16,+18%
2012-06-17 - 2012-06-23,+14%
2012-06-24 - 2012-06-30,+14%
2012-07-01 - 2012-07-07,+16%
2012-07-08 - 2012-07-14,+22%
2012-07-15 - 2012-07-21,+34%
2012-07-22 - 2012-07-28,+28%
2012-07-29 - 2012-08-04,+28%
2012-08-05 - 2012-08-11,+34%
2012-08-12 - 2012-08-18,+38%
2012-08-19 - 2012-08-25,+44%
2012-08-26 - 2012-09-01,+40%
2012-09-02 - 2012-09-08,+30%
2012-09-09 - 2012-09-15,+36%
2012-09-16 - 2012-09-22,+36%
2012-09-23 - 2012-09-29,+42%
2012-09-30 - 2012-10-06,+44%
2012-10-07 - 2012-10-13,+40%
2012-10-14 - 2012-10-20,+40%
2012-10-21 - 2012-10-27,+38%
2012-10-28 - 2012-11-03,+54%
2012-11-04 - 2012-11-10,+48%
2012-11-11 - 2012-11-17,+48%
2012-11-18 - 2012-11-24,+66%
2012-11-25 - 2012-12-01, 



Top searches
deco,100
décoration,65
decoration,60
déco,60
stickers,45
rideaux,40
plante,25
rideau,20
alinea,15
cadre,15
moulin,15
d&co,15
bougie,15
deco m6,15
sticker,10
coussin,10
heytens,10
bougies,10
vase,10
partylite,10



Rising searches
d&co,Breakout
deco m6,Breakout
stickers,+400%
deco,+170%
alinea,+160%
coussin,+160%
sticker,+120%
rideau,+100%
déco,+90%
vase,+40%



