Web Search Interest
Germany; 2004 - present

Interest over time
Week,Cycling
2009-11-01 - 2009-11-07,-19%
2009-11-08 - 2009-11-14,-19%
2009-11-15 - 2009-11-21,-15%
2009-11-22 - 2009-11-28,-22%
2009-11-29 - 2009-12-05,-19%
2009-12-06 - 2009-12-12,-22%
2009-12-13 - 2009-12-19,-30%
2009-12-20 - 2009-12-26,-30%
2009-12-27 - 2010-01-02,-26%
2010-01-03 - 2010-01-09,-26%
2010-01-10 - 2010-01-16,-26%
2010-01-17 - 2010-01-23,-22%
2010-01-24 - 2010-01-30,-30%
2010-01-31 - 2010-02-06,-22%
2010-02-07 - 2010-02-13,-26%
2010-02-14 - 2010-02-20,-19%
2010-02-21 - 2010-02-27,-7%
2010-02-28 - 2010-03-06,+4%
2010-03-07 - 2010-03-13,+0%
2010-03-14 - 2010-03-20,+11%
2010-03-21 - 2010-03-27,+30%
2010-03-28 - 2010-04-03,+26%
2010-04-04 - 2010-04-10,+37%
2010-04-11 - 2010-04-17,+30%
2010-04-18 - 2010-04-24,+41%
2010-04-25 - 2010-05-01,+52%
2010-05-02 - 2010-05-08,+33%
2010-05-09 - 2010-05-15,+30%
2010-05-16 - 2010-05-22,+26%
2010-05-23 - 2010-05-29,+41%
2010-05-30 - 2010-06-05,+30%
2010-06-06 - 2010-06-12,+30%
2010-06-13 - 2010-06-19,+26%
2010-06-20 - 2010-06-26,+26%
2010-06-27 - 2010-07-03,+37%
2010-07-04 - 2010-07-10,+59%
2010-07-11 - 2010-07-17,+63%
2010-07-18 - 2010-07-24,+85%
2010-07-25 - 2010-07-31,+41%
2010-08-01 - 2010-08-07,+37%
2010-08-08 - 2010-08-14,+30%
2010-08-15 - 2010-08-21,+26%
2010-08-22 - 2010-08-28,+19%
2010-08-29 - 2010-09-04,+19%
2010-09-05 - 2010-09-11,+11%
2010-09-12 - 2010-09-18,+7%
2010-09-19 - 2010-09-25,+4%
2010-09-26 - 2010-10-02,-4%
2010-10-03 - 2010-10-09,-4%
2010-10-10 - 2010-10-16,-4%
2010-10-17 - 2010-10-23,-19%
2010-10-24 - 2010-10-30,-19%
2010-10-31 - 2010-11-06,-15%
2010-11-07 - 2010-11-13,-22%
2010-11-14 - 2010-11-20,-26%
2010-11-21 - 2010-11-27,-26%
2010-11-28 - 2010-12-04,-33%
2010-12-05 - 2010-12-11,-33%
2010-12-12 - 2010-12-18,-33%
2010-12-19 - 2010-12-25,-37%
2010-12-26 - 2011-01-01,-37%
2011-01-02 - 2011-01-08,-22%
2011-01-09 - 2011-01-15,-11%
2011-01-16 - 2011-01-22,-4%
2011-01-23 - 2011-01-29,-11%
2011-01-30 - 2011-02-05,-11%
2011-02-06 - 2011-02-12,+4%
2011-02-13 - 2011-02-19,+0%
2011-02-20 - 2011-02-26,-4%
2011-02-27 - 2011-03-05,+7%
2011-03-06 - 2011-03-12,+26%
2011-03-13 - 2011-03-19,+26%
2011-03-20 - 2011-03-26,+52%
2011-03-27 - 2011-04-02,+59%
2011-04-03 - 2011-04-09,+63%
2011-04-10 - 2011-04-16,+63%
2011-04-17 - 2011-04-23,+85%
2011-04-24 - 2011-04-30,+81%
2011-05-01 - 2011-05-07,+67%
2011-05-08 - 2011-05-14,+81%
2011-05-15 - 2011-05-21,+56%
2011-05-22 - 2011-05-28,+70%
2011-05-29 - 2011-06-04,+63%
2011-06-05 - 2011-06-11,+63%
2011-06-12 - 2011-06-18,+63%
2011-06-19 - 2011-06-25,+44%
2011-06-26 - 2011-07-02,+56%
2011-07-03 - 2011-07-09,+70%
2011-07-10 - 2011-07-16,+81%
2011-07-17 - 2011-07-23,+89%
2011-07-24 - 2011-07-30,+52%
2011-07-31 - 2011-08-06,+52%
2011-08-07 - 2011-08-13,+37%
2011-08-14 - 2011-08-20,+44%
2011-08-21 - 2011-08-27,+41%
2011-08-28 - 2011-09-03,+44%
2011-09-04 - 2011-09-10,+33%
2011-09-11 - 2011-09-17,+26%
2011-09-18 - 2011-09-24,+22%
2011-09-25 - 2011-10-01,+30%
2011-10-02 - 2011-10-08,+26%
2011-10-09 - 2011-10-15,+4%
2011-10-16 - 2011-10-22,-4%
2011-10-23 - 2011-10-29,-4%
2011-10-30 - 2011-11-05,-4%
2011-11-06 - 2011-11-12,-7%
2011-11-13 - 2011-11-19,-11%
2011-11-20 - 2011-11-26,-11%
2011-11-27 - 2011-12-03,-19%
2011-12-04 - 2011-12-10,-15%
2011-12-11 - 2011-12-17,-19%
2011-12-18 - 2011-12-24,-26%
2011-12-25 - 2011-12-31,-22%
2012-01-01 - 2012-01-07,-15%
2012-01-08 - 2012-01-14,-15%
2012-01-15 - 2012-01-21,-15%
2012-01-22 - 2012-01-28,-4%
2012-01-29 - 2012-02-04,-15%
2012-02-05 - 2012-02-11,-15%
2012-02-12 - 2012-02-18,-15%
2012-02-19 - 2012-02-25,+0%
2012-02-26 - 2012-03-03,+22%
2012-03-04 - 2012-03-10,+33%
2012-03-11 - 2012-03-17,+52%
2012-03-18 - 2012-03-24,+74%
2012-03-25 - 2012-03-31,+74%
2012-04-01 - 2012-04-07,+59%
2012-04-08 - 2012-04-14,+48%
2012-04-15 - 2012-04-21,+48%
2012-04-22 - 2012-04-28,+44%
2012-04-29 - 2012-05-05,+78%
2012-05-06 - 2012-05-12,+56%
2012-05-13 - 2012-05-19,+56%
2012-05-20 - 2012-05-26,+70%
2012-05-27 - 2012-06-02,+74%
2012-06-03 - 2012-06-09,+52%
2012-06-10 - 2012-06-16,+48%
2012-06-17 - 2012-06-23,+56%
2012-06-24 - 2012-06-30,+59%
2012-07-01 - 2012-07-07,+78%
2012-07-08 - 2012-07-14,+81%
2012-07-15 - 2012-07-21,+70%
2012-07-22 - 2012-07-28,+67%
2012-07-29 - 2012-08-04,+63%
2012-08-05 - 2012-08-11,+67%
2012-08-12 - 2012-08-18,+81%
2012-08-19 - 2012-08-25,+78%
2012-08-26 - 2012-09-01,+56%
2012-09-02 - 2012-09-08,+52%
2012-09-09 - 2012-09-15,+41%
2012-09-16 - 2012-09-22,+33%
2012-09-23 - 2012-09-29,+22%
2012-09-30 - 2012-10-06,+15%
2012-10-07 - 2012-10-13,+7%
2012-10-14 - 2012-10-20,+4%
2012-10-21 - 2012-10-27,+11%
2012-10-28 - 2012-11-03,-11%
2012-11-04 - 2012-11-10,-11%
2012-11-11 - 2012-11-17,-11%
2012-11-18 - 2012-11-24,+0%
2012-11-25 - 2012-12-01, 



Top searches
fahrrad,100
bike,50
fahrräder,25
mtb,25
tour,25
shimano,20
mountainbike,20
rennrad,15
tour de france,15
stadler,15
cube,15
bmx,10
radsport,10
pegasus,10
specialized,10
scott,10
schwalbe,10
stevens,5
rose,5
cannondale,5



Rising searches
radon,+180%
cube,+120%
ghost,+110%
canyon,+100%
bulls,+80%
specialized,+70%
gazelle,+60%
pegasus,+60%
schwalbe,+50%
sram,+50%



